Identity  : 	id11019
Reference : 	Qgt8RDWmI9c
Offset    : 	-1
FV Conf   : 	15.323
ASD Conf  : 	7.347

FRAME 	X 	Y 	W 	H 
002450 	333 	75 	91 	91 
002451 	333 	75 	91 	91 
002452 	333 	75 	91 	91 
002453 	333 	75 	91 	91 
002454 	333 	75 	91 	91 
002455 	329 	66 	108 	109 
002456 	329 	66 	108 	109 
002457 	329 	66 	108 	109 
002458 	329 	66 	108 	109 
002459 	329 	66 	108 	109 
002460 	329 	66 	108 	109 
002461 	329 	66 	108 	109 
002462 	329 	66 	108 	109 
002463 	329 	66 	108 	109 
002464 	329 	66 	108 	109 
002465 	333 	75 	91 	91 
002466 	333 	75 	91 	91 
002467 	333 	75 	91 	91 
002468 	317 	66 	108 	109 
002469 	317 	66 	108 	109 
002470 	323 	75 	91 	91 
002471 	323 	75 	91 	91 
002472 	323 	75 	91 	91 
002473 	305 	66 	108 	109 
002474 	314 	75 	90 	91 
002475 	293 	66 	108 	109 
002476 	304 	75 	90 	91 
002477 	304 	75 	90 	91 
002478 	304 	75 	90 	91 
002479 	304 	75 	90 	91 
002480 	304 	75 	90 	91 
002481 	293 	66 	108 	109 
002482 	304 	75 	90 	91 
002483 	304 	75 	90 	91 
002484 	304 	75 	90 	91 
002485 	293 	66 	108 	109 
002486 	293 	66 	108 	109 
002487 	319 	87 	76 	76 
002488 	319 	87 	76 	76 
002489 	319 	87 	76 	76 
002490 	319 	87 	76 	76 
002491 	314 	85 	90 	91 
002492 	314 	75 	90 	91 
002493 	305 	66 	108 	109 
002494 	327 	87 	76 	76 
002495 	305 	66 	108 	109 
002496 	305 	66 	108 	109 
002497 	323 	75 	91 	91 
002498 	323 	75 	91 	91 
002499 	323 	75 	91 	91 
002500 	323 	75 	91 	91 
002501 	317 	66 	108 	109 
002502 	317 	66 	108 	109 
002503 	317 	66 	108 	109 
002504 	317 	66 	108 	109 
002505 	317 	78 	108 	109 
002506 	317 	78 	108 	109 
002507 	317 	78 	108 	109 
002508 	333 	85 	91 	91 
002509 	317 	66 	108 	109 
002510 	323 	85 	91 	91 
002511 	323 	85 	91 	91 
002512 	323 	85 	91 	91 
002513 	323 	85 	91 	91 
002514 	323 	85 	91 	91 
002515 	323 	85 	91 	91 
002516 	323 	85 	91 	91 
002517 	323 	85 	91 	91 
002518 	323 	75 	91 	91 
002519 	323 	75 	91 	91 
002520 	317 	66 	108 	109 
002521 	317 	66 	108 	109 
002522 	317 	66 	108 	109 
002523 	317 	66 	108 	109 
002524 	317 	66 	108 	109 
002525 	317 	66 	108 	109 
002526 	317 	66 	108 	109 
002527 	333 	85 	91 	91 
002528 	329 	66 	108 	109 
002529 	329 	66 	108 	109 
002530 	329 	66 	108 	109 
002531 	343 	85 	91 	91 
002532 	343 	85 	91 	91 
002533 	341 	66 	108 	109 
002534 	341 	66 	108 	109 
002535 	353 	66 	108 	109 
002536 	353 	66 	108 	109 
002537 	353 	66 	108 	109 
002538 	353 	66 	108 	109 
002539 	353 	66 	108 	109 
002540 	353 	66 	108 	109 
002541 	353 	66 	108 	109 
002542 	365 	66 	108 	109 
002543 	365 	66 	108 	109 
002544 	365 	66 	108 	109 
002545 	365 	66 	108 	109 
002546 	365 	66 	108 	109 
002547 	365 	66 	108 	109 
002548 	365 	66 	108 	109 
002549 	365 	66 	108 	109 
002550 	365 	66 	108 	109 
002551 	365 	66 	108 	109 
002552 	365 	66 	108 	109 
002553 	365 	66 	108 	109 
002554 	365 	66 	108 	109 
002555 	365 	66 	108 	109 
002556 	365 	66 	108 	109 
002557 	365 	66 	108 	109 
002558 	365 	66 	108 	109 
002559 	365 	66 	108 	109 
002560 	365 	66 	108 	109 
002561 	365 	66 	108 	109 
002562 	365 	66 	108 	109 
002563 	365 	66 	108 	109 
002564 	365 	66 	108 	109 
002565 	365 	66 	108 	109 
002566 	365 	66 	108 	109 
002567 	365 	66 	108 	109 
002568 	365 	66 	108 	109 
002569 	365 	66 	108 	109 
002570 	376 	66 	109 	109 
002571 	376 	66 	109 	109 
002572 	376 	66 	109 	109 
002573 	376 	66 	109 	109 
002574 	376 	66 	109 	109 
002575 	376 	66 	109 	109 
002576 	376 	66 	109 	109 
002577 	376 	66 	109 	109 
002578 	376 	66 	109 	109 
002579 	383 	85 	91 	91 
002580 	376 	78 	109 	109 
002581 	376 	78 	109 	109 
002582 	383 	95 	91 	91 
002583 	383 	95 	91 	91 
002584 	365 	78 	108 	109 
002585 	365 	78 	108 	109 
002586 	365 	78 	108 	109 
002587 	353 	78 	108 	109 
002588 	353 	78 	108 	109 
002589 	353 	78 	108 	109 
002590 	341 	78 	108 	109 
002591 	341 	78 	108 	109 
002592 	341 	78 	108 	109 
002593 	343 	95 	91 	91 
002594 	343 	95 	91 	91 
002595 	329 	90 	108 	109 
002596 	341 	90 	108 	109 
002597 	341 	90 	108 	109 
002598 	341 	90 	108 	109 
002599 	341 	90 	108 	109 
002600 	341 	90 	108 	109 
002601 	329 	90 	108 	109 
002602 	329 	90 	108 	109 
002603 	329 	90 	108 	109 
002604 	343 	105 	91 	91 
002605 	329 	90 	108 	109 
002606 	343 	105 	91 	91 
