Identity  : 	id11022
Reference : 	KogD-VZitXI
Offset    : 	0
FV Conf   : 	14.129
ASD Conf  : 	6.237

FRAME 	X 	Y 	W 	H 
009010 	164 	79 	156 	156 
009011 	164 	79 	156 	156 
009012 	165 	94 	130 	130 
009013 	165 	94 	130 	130 
009014 	147 	79 	156 	156 
009015 	151 	80 	130 	130 
009016 	151 	80 	130 	130 
009017 	151 	80 	130 	130 
009018 	151 	66 	130 	130 
009019 	151 	66 	130 	130 
009020 	151 	66 	130 	130 
009021 	151 	66 	130 	130 
009022 	151 	66 	130 	130 
009023 	151 	66 	130 	130 
009024 	151 	51 	130 	130 
009025 	151 	51 	130 	130 
009026 	165 	51 	130 	130 
009027 	165 	51 	130 	130 
009028 	165 	51 	130 	130 
009029 	165 	51 	130 	130 
009030 	165 	51 	130 	130 
009031 	165 	51 	130 	130 
009032 	165 	51 	130 	130 
009033 	185 	66 	109 	109 
009034 	180 	51 	130 	130 
009035 	180 	51 	130 	130 
009036 	180 	51 	130 	130 
009037 	180 	66 	130 	130 
009038 	180 	66 	130 	130 
009039 	180 	51 	130 	130 
009040 	180 	51 	130 	130 
009041 	180 	51 	130 	130 
009042 	180 	51 	130 	130 
009043 	180 	51 	130 	130 
009044 	180 	51 	130 	130 
009045 	180 	51 	130 	130 
009046 	180 	51 	130 	130 
009047 	180 	66 	130 	130 
009048 	180 	66 	130 	130 
009049 	180 	66 	130 	130 
009050 	180 	66 	130 	130 
009051 	180 	66 	130 	130 
009052 	180 	66 	130 	130 
009053 	180 	66 	130 	130 
009054 	180 	66 	130 	130 
009055 	180 	66 	130 	130 
009056 	180 	66 	130 	130 
009057 	180 	66 	130 	130 
009058 	180 	80 	130 	130 
009059 	180 	80 	130 	130 
009060 	180 	80 	130 	130 
009061 	180 	80 	130 	130 
009062 	180 	80 	130 	130 
009063 	180 	80 	130 	130 
009064 	180 	80 	130 	130 
009065 	180 	80 	130 	130 
009066 	180 	80 	130 	130 
009067 	180 	80 	130 	130 
009068 	180 	80 	130 	130 
009069 	180 	80 	130 	130 
009070 	180 	80 	130 	130 
009071 	180 	80 	130 	130 
009072 	180 	80 	130 	130 
009073 	180 	80 	130 	130 
009074 	180 	80 	130 	130 
009075 	180 	80 	130 	130 
009076 	180 	80 	130 	130 
009077 	180 	80 	130 	130 
009078 	180 	80 	130 	130 
009079 	180 	80 	130 	130 
009080 	180 	80 	130 	130 
009081 	180 	80 	130 	130 
009082 	180 	80 	130 	130 
009083 	180 	80 	130 	130 
009084 	180 	80 	130 	130 
009085 	180 	66 	130 	130 
009086 	180 	66 	130 	130 
009087 	180 	66 	130 	130 
009088 	180 	66 	130 	130 
