Identity  : 	id11048
Reference : 	XBxLJGCPjFM
Offset    : 	-7
FV Conf   : 	17.158
ASD Conf  : 	6.563

FRAME 	X 	Y 	W 	H 
020032 	233 	78 	109 	109 
020033 	233 	78 	109 	109 
020034 	233 	78 	109 	109 
020035 	233 	78 	109 	109 
020036 	233 	78 	109 	109 
020037 	233 	78 	109 	109 
020038 	233 	78 	109 	109 
020039 	233 	78 	109 	109 
020040 	233 	78 	109 	109 
020041 	233 	78 	109 	109 
020042 	233 	78 	109 	109 
020043 	233 	78 	109 	109 
020044 	233 	78 	109 	109 
020045 	244 	85 	90 	91 
020046 	244 	85 	90 	91 
020047 	244 	85 	90 	91 
020048 	244 	85 	90 	91 
020049 	244 	85 	90 	91 
020050 	244 	85 	90 	91 
020051 	254 	85 	90 	91 
020052 	245 	78 	109 	109 
020053 	254 	85 	90 	91 
020054 	245 	78 	109 	109 
020055 	254 	85 	90 	91 
020056 	254 	85 	90 	91 
020057 	254 	85 	90 	91 
020058 	254 	85 	90 	91 
020059 	254 	85 	90 	91 
020060 	254 	85 	90 	91 
020061 	245 	78 	109 	109 
020062 	264 	95 	90 	91 
020063 	264 	95 	90 	91 
020064 	264 	95 	90 	91 
020065 	264 	95 	90 	91 
020066 	264 	95 	90 	91 
020067 	264 	95 	90 	91 
020068 	264 	95 	90 	91 
020069 	264 	95 	90 	91 
020070 	264 	95 	90 	91 
020071 	264 	95 	90 	91 
020072 	264 	95 	90 	91 
020073 	264 	95 	90 	91 
020074 	264 	95 	90 	91 
020075 	264 	95 	90 	91 
020076 	264 	95 	90 	91 
020077 	264 	95 	90 	91 
020078 	264 	95 	90 	91 
020079 	264 	95 	90 	91 
020080 	264 	95 	90 	91 
020081 	264 	95 	90 	91 
020082 	264 	95 	90 	91 
020083 	264 	95 	90 	91 
020084 	264 	95 	90 	91 
020085 	264 	95 	90 	91 
020086 	264 	95 	90 	91 
020087 	264 	95 	90 	91 
020088 	264 	95 	90 	91 
020089 	264 	95 	90 	91 
020090 	254 	95 	90 	91 
020091 	254 	95 	90 	91 
020092 	254 	95 	90 	91 
020093 	254 	95 	90 	91 
020094 	254 	95 	90 	91 
020095 	254 	85 	90 	91 
020096 	264 	85 	90 	91 
020097 	264 	85 	90 	91 
020098 	264 	85 	90 	91 
020099 	264 	85 	90 	91 
020100 	264 	85 	90 	91 
020101 	245 	66 	109 	109 
020102 	245 	66 	109 	109 
020103 	245 	66 	109 	109 
020104 	245 	66 	109 	109 
020105 	254 	85 	90 	91 
020106 	254 	85 	90 	91 
020107 	254 	85 	90 	91 
020108 	254 	85 	90 	91 
020109 	254 	85 	90 	91 
