Identity  : 	id11051
Reference : 	o8o7xuDGe2U
Offset    : 	-4
FV Conf   : 	13.002
ASD Conf  : 	7.559

FRAME 	X 	Y 	W 	H 
002582 	194 	66 	130 	130 
002583 	194 	66 	130 	130 
002584 	194 	66 	130 	130 
002585 	194 	66 	130 	130 
002586 	194 	66 	130 	130 
002587 	194 	66 	130 	130 
002588 	194 	66 	130 	130 
002589 	194 	66 	130 	130 
002590 	194 	66 	130 	130 
002591 	194 	66 	130 	130 
002592 	194 	66 	130 	130 
002593 	194 	66 	130 	130 
002594 	194 	66 	130 	130 
002595 	194 	66 	130 	130 
002596 	209 	78 	109 	109 
002597 	194 	66 	130 	130 
002598 	194 	66 	130 	130 
002599 	194 	66 	130 	130 
002600 	194 	66 	130 	130 
002601 	194 	66 	130 	130 
002602 	194 	66 	130 	130 
002603 	197 	78 	109 	109 
002604 	197 	78 	109 	109 
002605 	197 	78 	109 	109 
002606 	197 	78 	109 	109 
002607 	197 	78 	109 	109 
002608 	197 	78 	109 	109 
002609 	197 	78 	109 	109 
002610 	197 	78 	109 	109 
002611 	197 	78 	109 	109 
002612 	197 	78 	109 	109 
002613 	197 	78 	109 	109 
002614 	197 	78 	109 	109 
002615 	197 	78 	109 	109 
002616 	197 	78 	109 	109 
002617 	194 	66 	130 	130 
002618 	194 	66 	130 	130 
002619 	209 	78 	109 	109 
002620 	194 	66 	130 	130 
002621 	194 	66 	130 	130 
002622 	194 	66 	130 	130 
002623 	194 	66 	130 	130 
002624 	194 	66 	130 	130 
002625 	194 	66 	130 	130 
002626 	194 	66 	130 	130 
002627 	194 	66 	130 	130 
002628 	194 	66 	130 	130 
002629 	194 	66 	130 	130 
002630 	194 	66 	130 	130 
002631 	194 	66 	130 	130 
002632 	194 	66 	130 	130 
002633 	194 	66 	130 	130 
002634 	194 	66 	130 	130 
002635 	194 	66 	130 	130 
002636 	194 	66 	130 	130 
002637 	209 	78 	109 	109 
002638 	208 	66 	130 	130 
002639 	208 	66 	130 	130 
002640 	208 	66 	130 	130 
002641 	221 	78 	109 	109 
002642 	208 	66 	130 	130 
002643 	208 	66 	130 	130 
002644 	223 	66 	130 	130 
002645 	221 	66 	109 	109 
002646 	221 	66 	109 	109 
002647 	221 	66 	109 	109 
002648 	221 	66 	109 	109 
002649 	208 	66 	130 	130 
002650 	208 	66 	130 	130 
002651 	208 	66 	130 	130 
002652 	208 	66 	130 	130 
002653 	209 	78 	109 	109 
002654 	209 	78 	109 	109 
002655 	209 	78 	109 	109 
002656 	209 	78 	109 	109 
002657 	209 	90 	109 	109 
002658 	209 	90 	109 	109 
002659 	209 	90 	109 	109 
002660 	209 	90 	109 	109 
002661 	194 	80 	130 	130 
002662 	194 	80 	130 	130 
002663 	194 	80 	130 	130 
002664 	194 	80 	130 	130 
002665 	209 	78 	109 	109 
002666 	209 	78 	109 	109 
002667 	209 	78 	109 	109 
002668 	221 	78 	109 	109 
002669 	221 	78 	109 	109 
002670 	221 	78 	109 	109 
002671 	233 	78 	109 	109 
002672 	233 	78 	109 	109 
002673 	233 	78 	109 	109 
002674 	233 	78 	109 	109 
002675 	233 	78 	109 	109 
002676 	233 	78 	109 	109 
002677 	233 	78 	109 	109 
002678 	233 	78 	109 	109 
002679 	221 	78 	109 	109 
002680 	221 	78 	109 	109 
002681 	221 	78 	109 	109 
002682 	221 	78 	109 	109 
002683 	221 	78 	109 	109 
002684 	221 	78 	109 	109 
002685 	221 	78 	109 	109 
002686 	221 	78 	109 	109 
002687 	221 	78 	109 	109 
002688 	221 	78 	109 	109 
002689 	221 	78 	109 	109 
002690 	221 	78 	109 	109 
002691 	221 	78 	109 	109 
002692 	221 	78 	109 	109 
002693 	221 	78 	109 	109 
002694 	221 	78 	109 	109 
002695 	221 	78 	109 	109 
002696 	221 	78 	109 	109 
002697 	221 	78 	109 	109 
002698 	221 	78 	109 	109 
002699 	221 	78 	109 	109 
002700 	221 	78 	109 	109 
002701 	221 	78 	109 	109 
002702 	221 	78 	109 	109 
002703 	221 	78 	109 	109 
002704 	221 	78 	109 	109 
002705 	221 	78 	109 	109 
002706 	221 	78 	109 	109 
002707 	221 	78 	109 	109 
002708 	221 	78 	109 	109 
002709 	221 	78 	109 	109 
002710 	221 	78 	109 	109 
002711 	221 	78 	109 	109 
002712 	221 	78 	109 	109 
002713 	208 	80 	130 	130 
002714 	221 	90 	109 	109 
