Identity  : 	id11053
Reference : 	0m_0bY8p9_k
Offset    : 	0
FV Conf   : 	15.221
ASD Conf  : 	5.163

FRAME 	X 	Y 	W 	H 
007759 	294 	85 	90 	91 
007760 	294 	85 	90 	91 
007761 	294 	85 	90 	91 
007762 	294 	85 	90 	91 
007763 	294 	85 	90 	91 
007764 	294 	85 	90 	91 
007765 	294 	85 	90 	91 
007766 	294 	85 	90 	91 
007767 	294 	85 	90 	91 
007768 	294 	85 	90 	91 
007769 	304 	85 	90 	91 
007770 	304 	85 	90 	91 
007771 	304 	85 	90 	91 
007772 	304 	85 	90 	91 
007773 	304 	85 	90 	91 
007774 	304 	75 	90 	91 
007775 	304 	75 	90 	91 
007776 	304 	75 	90 	91 
007777 	304 	75 	90 	91 
007778 	304 	75 	90 	91 
007779 	304 	75 	90 	91 
007780 	304 	75 	90 	91 
007781 	304 	75 	90 	91 
007782 	304 	65 	90 	91 
007783 	304 	65 	90 	91 
007784 	304 	65 	90 	91 
007785 	304 	65 	90 	91 
007786 	304 	65 	90 	91 
007787 	304 	65 	90 	91 
007788 	304 	65 	90 	91 
007789 	319 	79 	76 	76 
007790 	319 	79 	76 	76 
007791 	314 	65 	90 	91 
007792 	314 	65 	90 	91 
007793 	314 	75 	90 	91 
007794 	314 	75 	90 	91 
007795 	323 	75 	91 	91 
007796 	323 	75 	91 	91 
007797 	323 	85 	91 	91 
007798 	323 	85 	91 	91 
007799 	323 	85 	91 	91 
007800 	323 	85 	91 	91 
007801 	323 	85 	91 	91 
007802 	323 	85 	91 	91 
007803 	323 	85 	91 	91 
007804 	323 	85 	91 	91 
007805 	323 	85 	91 	91 
007806 	327 	87 	76 	76 
007807 	327 	87 	76 	76 
007808 	327 	87 	76 	76 
007809 	327 	87 	76 	76 
007810 	327 	87 	76 	76 
007811 	327 	87 	76 	76 
007812 	314 	75 	90 	91 
007813 	314 	75 	90 	91 
007814 	314 	75 	90 	91 
007815 	314 	75 	90 	91 
007816 	319 	87 	76 	76 
007817 	314 	75 	90 	91 
007818 	319 	87 	76 	76 
007819 	314 	75 	90 	91 
007820 	319 	87 	76 	76 
007821 	319 	87 	76 	76 
007822 	314 	85 	90 	91 
007823 	314 	75 	90 	91 
007824 	327 	87 	76 	76 
007825 	327 	87 	76 	76 
007826 	327 	87 	76 	76 
007827 	327 	87 	76 	76 
007828 	327 	87 	76 	76 
007829 	314 	75 	90 	91 
007830 	314 	75 	90 	91 
007831 	314 	75 	90 	91 
007832 	314 	75 	90 	91 
007833 	314 	75 	90 	91 
007834 	314 	75 	90 	91 
007835 	314 	75 	90 	91 
007836 	314 	75 	90 	91 
007837 	314 	75 	90 	91 
007838 	314 	75 	90 	91 
007839 	314 	75 	90 	91 
007840 	314 	85 	90 	91 
007841 	314 	75 	90 	91 
007842 	327 	87 	76 	76 
007843 	327 	87 	76 	76 
007844 	327 	87 	76 	76 
007845 	327 	87 	76 	76 
007846 	323 	75 	91 	91 
007847 	314 	75 	90 	91 
007848 	314 	75 	90 	91 
007849 	314 	75 	90 	91 
007850 	314 	75 	90 	91 
007851 	314 	75 	90 	91 
007852 	304 	75 	90 	91 
007853 	304 	75 	90 	91 
007854 	304 	75 	90 	91 
007855 	304 	75 	90 	91 
007856 	304 	75 	90 	91 
007857 	304 	75 	90 	91 
007858 	319 	87 	76 	76 
007859 	314 	75 	90 	91 
007860 	314 	75 	90 	91 
007861 	319 	87 	76 	76 
007862 	319 	87 	76 	76 
007863 	319 	87 	76 	76 
007864 	319 	87 	76 	76 
007865 	319 	87 	76 	76 
007866 	319 	87 	76 	76 
007867 	304 	75 	90 	91 
007868 	304 	75 	90 	91 
007869 	304 	75 	90 	91 
