Identity  : 	id11064
Reference : 	0WHDpnAmNss
Offset    : 	-3
FV Conf   : 	18.968
ASD Conf  : 	4.431

FRAME 	X 	Y 	W 	H 
000304 	181 	96 	156 	156 
000305 	181 	96 	156 	156 
000306 	181 	96 	156 	156 
000307 	181 	96 	156 	156 
000308 	181 	96 	156 	156 
000309 	194 	94 	130 	130 
000310 	194 	94 	130 	130 
000311 	181 	96 	156 	156 
000312 	181 	96 	156 	156 
000313 	181 	96 	156 	156 
000314 	181 	96 	156 	156 
000315 	181 	96 	156 	156 
000316 	181 	96 	156 	156 
000317 	181 	96 	156 	156 
000318 	208 	109 	130 	130 
000319 	194 	94 	130 	130 
000320 	194 	94 	130 	130 
000321 	194 	94 	130 	130 
000322 	194 	94 	130 	130 
000323 	194 	94 	130 	130 
000324 	194 	109 	130 	130 
000325 	181 	96 	156 	156 
000326 	181 	96 	156 	156 
000327 	181 	96 	156 	156 
000328 	181 	96 	156 	156 
000329 	208 	109 	130 	130 
000330 	208 	109 	130 	130 
000331 	208 	109 	130 	130 
000332 	208 	109 	130 	130 
000333 	208 	109 	130 	130 
000334 	208 	109 	130 	130 
000335 	181 	96 	156 	156 
000336 	181 	96 	156 	156 
000337 	194 	109 	130 	130 
000338 	194 	109 	130 	130 
000339 	194 	109 	130 	130 
000340 	194 	109 	130 	130 
000341 	181 	96 	156 	156 
000342 	181 	96 	156 	156 
000343 	181 	96 	156 	156 
000344 	181 	96 	156 	156 
000345 	181 	96 	156 	156 
000346 	181 	96 	156 	156 
000347 	181 	96 	156 	156 
000348 	194 	109 	130 	130 
000349 	181 	96 	156 	156 
000350 	194 	109 	130 	130 
000351 	194 	109 	130 	130 
000352 	194 	109 	130 	130 
000353 	181 	96 	156 	156 
000354 	181 	96 	156 	156 
000355 	181 	96 	156 	156 
000356 	181 	96 	156 	156 
000357 	181 	96 	156 	156 
000358 	181 	96 	156 	156 
000359 	181 	96 	156 	156 
000360 	181 	96 	156 	156 
000361 	181 	96 	156 	156 
000362 	181 	96 	156 	156 
000363 	181 	96 	156 	156 
000364 	181 	96 	156 	156 
000365 	208 	109 	130 	130 
000366 	208 	109 	130 	130 
000367 	208 	109 	130 	130 
000368 	208 	109 	130 	130 
000369 	208 	109 	130 	130 
000370 	208 	109 	130 	130 
000371 	208 	109 	130 	130 
000372 	208 	109 	130 	130 
000373 	208 	109 	130 	130 
000374 	208 	109 	130 	130 
000375 	181 	96 	156 	156 
000376 	181 	96 	156 	156 
000377 	181 	96 	156 	156 
000378 	181 	96 	156 	156 
000379 	208 	109 	130 	130 
000380 	208 	109 	130 	130 
000381 	208 	109 	130 	130 
000382 	208 	109 	130 	130 
000383 	208 	109 	130 	130 
000384 	208 	109 	130 	130 
000385 	208 	109 	130 	130 
000386 	208 	109 	130 	130 
000387 	208 	109 	130 	130 
000388 	208 	94 	130 	130 
000389 	208 	94 	130 	130 
000390 	208 	94 	130 	130 
000391 	223 	94 	130 	130 
000392 	223 	109 	130 	130 
000393 	223 	109 	130 	130 
000394 	223 	109 	130 	130 
000395 	216 	96 	156 	156 
000396 	237 	109 	130 	130 
000397 	237 	109 	130 	130 
000398 	237 	109 	130 	130 
000399 	237 	109 	130 	130 
000400 	237 	109 	130 	130 
000401 	237 	109 	130 	130 
000402 	237 	109 	130 	130 
000403 	223 	109 	130 	130 
000404 	223 	109 	130 	130 
000405 	223 	109 	130 	130 
000406 	223 	109 	130 	130 
000407 	223 	109 	130 	130 
000408 	223 	109 	130 	130 
000409 	223 	109 	130 	130 
000410 	223 	109 	130 	130 
000411 	223 	109 	130 	130 
000412 	223 	109 	130 	130 
000413 	223 	109 	130 	130 
000414 	223 	109 	130 	130 
000415 	223 	109 	130 	130 
000416 	223 	109 	130 	130 
