Identity  : 	id11064
Reference : 	5dRqoNYcF_M
Offset    : 	-2
FV Conf   : 	16.384
ASD Conf  : 	5.872

FRAME 	X 	Y 	W 	H 
004136 	197 	74 	187 	187 
004137 	197 	74 	187 	187 
004138 	197 	74 	187 	187 
004139 	197 	74 	187 	187 
004140 	197 	74 	187 	187 
004141 	197 	74 	187 	187 
004142 	197 	74 	187 	187 
004143 	197 	74 	187 	187 
004144 	197 	74 	187 	187 
004145 	197 	74 	187 	187 
004146 	197 	74 	187 	187 
004147 	197 	74 	187 	187 
004148 	197 	74 	187 	187 
004149 	197 	74 	187 	187 
004150 	197 	74 	187 	187 
004151 	197 	74 	187 	187 
004152 	197 	74 	187 	187 
004153 	197 	74 	187 	187 
004154 	197 	74 	187 	187 
004155 	218 	74 	187 	187 
004156 	218 	74 	187 	187 
004157 	218 	74 	187 	187 
004158 	218 	74 	187 	187 
004159 	218 	74 	187 	187 
004160 	218 	74 	187 	187 
004161 	218 	74 	187 	187 
004162 	218 	74 	187 	187 
004163 	218 	74 	187 	187 
004164 	218 	74 	187 	187 
004165 	218 	74 	187 	187 
004166 	218 	74 	187 	187 
004167 	218 	74 	187 	187 
004168 	218 	74 	187 	187 
004169 	218 	74 	187 	187 
004170 	218 	74 	187 	187 
004171 	218 	74 	187 	187 
004172 	239 	74 	186 	187 
004173 	239 	74 	186 	187 
004174 	239 	74 	186 	187 
004175 	239 	74 	186 	187 
004176 	239 	74 	186 	187 
004177 	218 	74 	187 	187 
004178 	218 	74 	187 	187 
004179 	218 	74 	187 	187 
004180 	218 	74 	187 	187 
004181 	218 	74 	187 	187 
004182 	218 	74 	187 	187 
004183 	218 	74 	187 	187 
004184 	218 	74 	187 	187 
004185 	218 	53 	187 	187 
004186 	218 	53 	187 	187 
004187 	218 	53 	187 	187 
004188 	218 	53 	187 	187 
004189 	197 	53 	187 	187 
004190 	197 	53 	187 	187 
004191 	197 	53 	187 	187 
004192 	197 	53 	187 	187 
004193 	197 	53 	187 	187 
004194 	197 	53 	187 	187 
004195 	197 	53 	187 	187 
004196 	218 	53 	187 	187 
004197 	218 	53 	187 	187 
004198 	218 	53 	187 	187 
004199 	218 	53 	187 	187 
004200 	218 	53 	187 	187 
004201 	218 	74 	187 	187 
004202 	218 	74 	187 	187 
004203 	218 	74 	187 	187 
004204 	239 	74 	186 	187 
004205 	239 	74 	186 	187 
004206 	239 	74 	186 	187 
004207 	259 	74 	187 	187 
004208 	259 	74 	187 	187 
004209 	259 	74 	187 	187 
004210 	259 	74 	187 	187 
004211 	259 	74 	187 	187 
004212 	259 	74 	187 	187 
004213 	259 	74 	187 	187 
004214 	259 	74 	187 	187 
004215 	280 	74 	187 	187 
004216 	280 	74 	187 	187 
004217 	280 	74 	187 	187 
004218 	280 	74 	187 	187 
004219 	262 	39 	224 	224 
004220 	262 	39 	224 	224 
004221 	262 	39 	224 	224 
004222 	280 	53 	187 	187 
004223 	280 	53 	187 	187 
004224 	262 	39 	224 	224 
004225 	259 	53 	187 	187 
004226 	259 	53 	187 	187 
004227 	259 	53 	187 	187 
004228 	259 	53 	187 	187 
004229 	239 	74 	186 	187 
004230 	239 	74 	186 	187 
004231 	239 	74 	186 	187 
004232 	239 	74 	186 	187 
004233 	218 	74 	187 	187 
004234 	218 	74 	187 	187 
004235 	218 	74 	187 	187 
004236 	218 	74 	187 	187 
004237 	218 	74 	187 	187 
004238 	218 	74 	187 	187 
004239 	218 	74 	187 	187 
004240 	197 	74 	187 	187 
004241 	197 	74 	187 	187 
004242 	197 	74 	187 	187 
004243 	197 	74 	187 	187 
004244 	197 	74 	187 	187 
004245 	218 	74 	187 	187 
004246 	218 	74 	187 	187 
004247 	218 	74 	187 	187 
004248 	218 	74 	187 	187 
004249 	218 	74 	187 	187 
004250 	218 	74 	187 	187 
004251 	239 	53 	186 	187 
004252 	239 	53 	186 	187 
004253 	239 	74 	186 	187 
004254 	239 	74 	186 	187 
004255 	239 	53 	186 	187 
004256 	259 	53 	187 	187 
004257 	259 	53 	187 	187 
