Identity  : 	id11064
Reference : 	UzhXA8CMfCs
Offset    : 	-3
FV Conf   : 	16.555
ASD Conf  : 	7.549

FRAME 	X 	Y 	W 	H 
000619 	223 	94 	130 	130 
000620 	223 	94 	130 	130 
000621 	223 	94 	130 	130 
000622 	223 	109 	130 	130 
000623 	223 	109 	130 	130 
000624 	223 	109 	130 	130 
000625 	223 	109 	130 	130 
000626 	223 	109 	130 	130 
000627 	223 	109 	130 	130 
000628 	223 	109 	130 	130 
000629 	223 	109 	130 	130 
000630 	223 	109 	130 	130 
000631 	223 	109 	130 	130 
000632 	223 	109 	130 	130 
000633 	223 	109 	130 	130 
000634 	223 	109 	130 	130 
000635 	223 	109 	130 	130 
000636 	223 	109 	130 	130 
000637 	223 	109 	130 	130 
000638 	199 	79 	155 	156 
000639 	199 	79 	155 	156 
000640 	199 	79 	155 	156 
000641 	223 	109 	130 	130 
000642 	199 	79 	155 	156 
000643 	208 	94 	130 	130 
000644 	199 	96 	155 	156 
000645 	199 	96 	155 	156 
000646 	199 	96 	155 	156 
000647 	199 	96 	155 	156 
000648 	199 	96 	155 	156 
000649 	199 	96 	155 	156 
000650 	199 	96 	155 	156 
000651 	199 	96 	155 	156 
000652 	199 	96 	155 	156 
000653 	199 	96 	155 	156 
000654 	199 	96 	155 	156 
000655 	199 	96 	155 	156 
000656 	199 	96 	155 	156 
000657 	199 	96 	155 	156 
000658 	199 	79 	155 	156 
000659 	199 	79 	155 	156 
000660 	199 	79 	155 	156 
000661 	199 	79 	155 	156 
000662 	199 	79 	155 	156 
000663 	199 	79 	155 	156 
000664 	199 	79 	155 	156 
000665 	199 	79 	155 	156 
000666 	223 	109 	130 	130 
000667 	223 	109 	130 	130 
000668 	223 	109 	130 	130 
000669 	223 	109 	130 	130 
000670 	223 	109 	130 	130 
000671 	223 	109 	130 	130 
000672 	223 	109 	130 	130 
000673 	223 	109 	130 	130 
000674 	223 	109 	130 	130 
000675 	223 	109 	130 	130 
000676 	223 	109 	130 	130 
000677 	223 	109 	130 	130 
000678 	223 	109 	130 	130 
000679 	199 	96 	155 	156 
000680 	199 	96 	155 	156 
000681 	199 	96 	155 	156 
000682 	199 	79 	155 	156 
000683 	199 	96 	155 	156 
000684 	199 	96 	155 	156 
000685 	199 	96 	155 	156 
000686 	199 	96 	155 	156 
000687 	199 	79 	155 	156 
000688 	199 	79 	155 	156 
000689 	199 	79 	155 	156 
000690 	199 	79 	155 	156 
000691 	199 	79 	155 	156 
000692 	208 	109 	130 	130 
000693 	208 	94 	130 	130 
000694 	208 	94 	130 	130 
000695 	208 	94 	130 	130 
000696 	208 	94 	130 	130 
000697 	199 	96 	155 	156 
000698 	199 	96 	155 	156 
000699 	199 	79 	155 	156 
000700 	199 	79 	155 	156 
000701 	199 	79 	155 	156 
000702 	199 	79 	155 	156 
000703 	199 	79 	155 	156 
000704 	199 	79 	155 	156 
000705 	199 	96 	155 	156 
000706 	199 	96 	155 	156 
