Identity  : 	id11078
Reference : 	bKymnEn9oOU
Offset    : 	-2
FV Conf   : 	20.670
ASD Conf  : 	9.020

FRAME 	X 	Y 	W 	H 
007519 	244 	87 	76 	76 
007520 	244 	87 	76 	76 
007521 	244 	87 	76 	76 
007522 	244 	87 	76 	76 
007523 	244 	87 	76 	76 
007524 	244 	79 	76 	76 
007525 	244 	79 	76 	76 
007526 	244 	79 	76 	76 
007527 	244 	87 	76 	76 
007528 	244 	87 	76 	76 
007529 	244 	87 	76 	76 
007530 	244 	87 	76 	76 
007531 	244 	87 	76 	76 
007532 	244 	87 	76 	76 
007533 	244 	87 	76 	76 
007534 	244 	87 	76 	76 
007535 	234 	85 	90 	91 
007536 	234 	85 	90 	91 
007537 	234 	85 	90 	91 
007538 	234 	85 	90 	91 
007539 	234 	85 	90 	91 
007540 	234 	85 	90 	91 
007541 	234 	85 	90 	91 
007542 	234 	85 	90 	91 
007543 	244 	87 	76 	76 
007544 	244 	87 	76 	76 
007545 	244 	87 	76 	76 
007546 	244 	87 	76 	76 
007547 	244 	87 	76 	76 
007548 	244 	87 	76 	76 
007549 	244 	87 	76 	76 
007550 	244 	87 	76 	76 
007551 	244 	87 	76 	76 
007552 	244 	87 	76 	76 
007553 	244 	87 	76 	76 
007554 	244 	87 	76 	76 
007555 	244 	87 	76 	76 
007556 	244 	85 	90 	91 
007557 	244 	85 	90 	91 
007558 	244 	85 	90 	91 
007559 	244 	85 	90 	91 
007560 	253 	87 	75 	76 
007561 	253 	87 	75 	76 
007562 	253 	87 	75 	76 
007563 	253 	87 	75 	76 
007564 	244 	75 	90 	91 
007565 	244 	85 	90 	91 
007566 	244 	85 	90 	91 
007567 	244 	85 	90 	91 
007568 	244 	85 	90 	91 
007569 	244 	75 	90 	91 
007570 	244 	75 	90 	91 
007571 	244 	75 	90 	91 
007572 	244 	75 	90 	91 
007573 	244 	75 	90 	91 
007574 	244 	75 	90 	91 
007575 	244 	75 	90 	91 
007576 	244 	75 	90 	91 
007577 	244 	75 	90 	91 
