Identity  : 	id11078
Reference : 	f914B_KEiao
Offset    : 	-2
FV Conf   : 	18.982
ASD Conf  : 	5.500

FRAME 	X 	Y 	W 	H 
004654 	221 	66 	109 	109 
004655 	221 	66 	109 	109 
004656 	221 	66 	109 	109 
004657 	221 	66 	109 	109 
004658 	221 	66 	109 	109 
004659 	209 	54 	109 	109 
004660 	209 	54 	109 	109 
004661 	209 	54 	109 	109 
004662 	209 	54 	109 	109 
004663 	221 	66 	109 	109 
004664 	221 	66 	109 	109 
004665 	221 	66 	109 	109 
004666 	221 	66 	109 	109 
004667 	221 	78 	109 	109 
004668 	221 	78 	109 	109 
004669 	221 	78 	109 	109 
004670 	221 	78 	109 	109 
004671 	221 	78 	109 	109 
004672 	221 	78 	109 	109 
004673 	233 	66 	109 	109 
004674 	233 	66 	109 	109 
004675 	233 	66 	109 	109 
004676 	233 	66 	109 	109 
004677 	239 	66 	109 	109 
004678 	245 	66 	109 	109 
004679 	245 	66 	109 	109 
004680 	237 	51 	130 	130 
004681 	237 	51 	130 	130 
004682 	237 	51 	130 	130 
004683 	237 	51 	130 	130 
004684 	237 	51 	130 	130 
004685 	237 	51 	130 	130 
004686 	237 	51 	130 	130 
004687 	237 	51 	130 	130 
004688 	237 	51 	130 	130 
004689 	237 	51 	130 	130 
004690 	257 	66 	109 	109 
004691 	257 	66 	109 	109 
004692 	257 	66 	109 	109 
004693 	257 	66 	109 	109 
004694 	257 	66 	109 	109 
004695 	257 	66 	109 	109 
004696 	257 	66 	109 	109 
004697 	251 	66 	130 	130 
004698 	251 	66 	130 	130 
004699 	251 	66 	130 	130 
004700 	251 	66 	130 	130 
004701 	251 	66 	130 	130 
004702 	251 	66 	130 	130 
004703 	251 	66 	130 	130 
004704 	251 	66 	130 	130 
004705 	251 	66 	130 	130 
004706 	251 	66 	130 	130 
004707 	269 	66 	108 	109 
004708 	269 	66 	108 	109 
004709 	266 	66 	130 	130 
004710 	266 	66 	130 	130 
004711 	266 	66 	130 	130 
004712 	266 	66 	130 	130 
004713 	266 	66 	130 	130 
004714 	266 	66 	130 	130 
004715 	266 	66 	130 	130 
004716 	266 	66 	130 	130 
004717 	266 	66 	130 	130 
004718 	266 	66 	130 	130 
004719 	266 	66 	130 	130 
004720 	266 	66 	130 	130 
004721 	266 	66 	130 	130 
004722 	266 	66 	130 	130 
004723 	269 	66 	108 	109 
004724 	269 	66 	108 	109 
004725 	251 	66 	130 	130 
004726 	251 	66 	130 	130 
004727 	251 	66 	130 	130 
004728 	251 	66 	130 	130 
004729 	251 	66 	130 	130 
004730 	251 	66 	130 	130 
004731 	251 	66 	130 	130 
004732 	251 	66 	130 	130 
004733 	251 	66 	130 	130 
004734 	251 	66 	130 	130 
004735 	251 	66 	130 	130 
004736 	251 	66 	130 	130 
004737 	251 	66 	130 	130 
004738 	251 	66 	130 	130 
004739 	269 	78 	108 	109 
004740 	269 	78 	108 	109 
004741 	251 	66 	130 	130 
004742 	251 	66 	130 	130 
004743 	251 	66 	130 	130 
004744 	251 	66 	130 	130 
004745 	251 	66 	130 	130 
004746 	269 	78 	108 	109 
004747 	251 	66 	130 	130 
004748 	266 	66 	130 	130 
