Identity  : 	id11083
Reference : 	ltiC9NlMIDw
Offset    : 	-1
FV Conf   : 	14.075
ASD Conf  : 	8.187

FRAME 	X 	Y 	W 	H 
003401 	173 	114 	109 	109 
003402 	173 	114 	109 	109 
003403 	173 	114 	109 	109 
003404 	173 	114 	109 	109 
003405 	173 	114 	109 	109 
003406 	173 	114 	109 	109 
003407 	173 	114 	109 	109 
003408 	173 	114 	109 	109 
003409 	173 	114 	109 	109 
003410 	173 	114 	109 	109 
003411 	173 	114 	109 	109 
003412 	173 	102 	109 	109 
003413 	173 	102 	109 	109 
003414 	173 	102 	109 	109 
003415 	173 	102 	109 	109 
003416 	173 	102 	109 	109 
003417 	173 	102 	109 	109 
003418 	173 	102 	109 	109 
003419 	173 	102 	109 	109 
003420 	173 	102 	109 	109 
003421 	173 	102 	109 	109 
003422 	173 	102 	109 	109 
003423 	173 	102 	109 	109 
003424 	151 	94 	130 	130 
003425 	151 	94 	130 	130 
003426 	161 	102 	109 	109 
003427 	161 	102 	109 	109 
003428 	161 	102 	109 	109 
003429 	161 	102 	109 	109 
003430 	161 	114 	109 	109 
003431 	161 	114 	109 	109 
003432 	161 	114 	109 	109 
003433 	161 	114 	109 	109 
003434 	161 	114 	109 	109 
003435 	161 	114 	109 	109 
003436 	161 	114 	109 	109 
003437 	161 	114 	109 	109 
003438 	161 	114 	109 	109 
003439 	161 	114 	109 	109 
003440 	161 	114 	109 	109 
003441 	161 	114 	109 	109 
003442 	161 	114 	109 	109 
003443 	161 	114 	109 	109 
003444 	161 	114 	109 	109 
003445 	161 	102 	109 	109 
003446 	161 	102 	109 	109 
003447 	151 	94 	130 	130 
003448 	151 	94 	130 	130 
003449 	151 	94 	130 	130 
003450 	161 	102 	109 	109 
003451 	161 	114 	109 	109 
003452 	161 	114 	109 	109 
003453 	161 	114 	109 	109 
003454 	161 	114 	109 	109 
003455 	150 	114 	108 	109 
003456 	150 	114 	108 	109 
003457 	150 	114 	108 	109 
003458 	150 	102 	108 	109 
003459 	150 	102 	108 	109 
003460 	150 	102 	108 	109 
003461 	150 	102 	108 	109 
003462 	150 	102 	108 	109 
003463 	150 	114 	108 	109 
003464 	150 	114 	108 	109 
003465 	150 	114 	108 	109 
003466 	150 	114 	108 	109 
003467 	150 	114 	108 	109 
003468 	150 	114 	108 	109 
003469 	150 	114 	108 	109 
003470 	150 	114 	108 	109 
003471 	137 	109 	130 	130 
003472 	138 	114 	108 	109 
003473 	138 	114 	108 	109 
003474 	138 	114 	108 	109 
003475 	138 	114 	108 	109 
003476 	122 	109 	130 	130 
003477 	126 	114 	108 	109 
003478 	126 	114 	108 	109 
003479 	126 	114 	108 	109 
003480 	126 	114 	108 	109 
003481 	126 	102 	108 	109 
003482 	122 	109 	130 	130 
003483 	138 	102 	108 	109 
003484 	138 	102 	108 	109 
003485 	138 	102 	108 	109 
003486 	138 	102 	108 	109 
