Identity  : 	id11083
Reference : 	ltiC9NlMIDw
Offset    : 	0
FV Conf   : 	12.686
ASD Conf  : 	7.942

FRAME 	X 	Y 	W 	H 
021008 	161 	102 	109 	109 
021009 	161 	102 	109 	109 
021010 	161 	102 	109 	109 
021011 	161 	102 	109 	109 
021012 	161 	102 	109 	109 
021013 	161 	102 	109 	109 
021014 	161 	102 	109 	109 
021015 	161 	102 	109 	109 
021016 	161 	102 	109 	109 
021017 	161 	102 	109 	109 
021018 	161 	102 	109 	109 
021019 	161 	102 	109 	109 
021020 	161 	102 	109 	109 
021021 	151 	94 	130 	130 
021022 	151 	94 	130 	130 
021023 	161 	114 	109 	109 
021024 	161 	114 	109 	109 
021025 	161 	114 	109 	109 
021026 	151 	109 	130 	130 
021027 	151 	109 	130 	130 
021028 	151 	109 	130 	130 
021029 	151 	109 	130 	130 
021030 	151 	109 	130 	130 
021031 	151 	109 	130 	130 
021032 	151 	109 	130 	130 
021033 	161 	114 	109 	109 
021034 	161 	114 	109 	109 
021035 	161 	114 	109 	109 
021036 	161 	114 	109 	109 
021037 	161 	114 	109 	109 
021038 	161 	114 	109 	109 
021039 	161 	114 	109 	109 
021040 	161 	114 	109 	109 
021041 	161 	114 	109 	109 
021042 	151 	94 	130 	130 
021043 	151 	94 	130 	130 
021044 	150 	114 	108 	109 
021045 	137 	94 	130 	130 
021046 	137 	94 	130 	130 
021047 	150 	102 	108 	109 
021048 	150 	102 	108 	109 
021049 	150 	102 	108 	109 
021050 	150 	102 	108 	109 
021051 	150 	102 	108 	109 
021052 	150 	102 	108 	109 
021053 	137 	94 	130 	130 
021054 	150 	102 	108 	109 
021055 	137 	94 	130 	130 
021056 	150 	102 	108 	109 
021057 	150 	114 	108 	109 
021058 	150 	114 	108 	109 
021059 	150 	114 	108 	109 
021060 	150 	114 	108 	109 
021061 	150 	114 	108 	109 
021062 	150 	114 	108 	109 
021063 	137 	109 	130 	130 
021064 	150 	114 	108 	109 
021065 	150 	114 	108 	109 
021066 	150 	114 	108 	109 
021067 	150 	114 	108 	109 
021068 	150 	114 	108 	109 
021069 	150 	114 	108 	109 
021070 	150 	114 	108 	109 
021071 	150 	114 	108 	109 
021072 	150 	114 	108 	109 
021073 	150 	114 	108 	109 
021074 	150 	114 	108 	109 
021075 	150 	114 	108 	109 
021076 	150 	114 	108 	109 
021077 	150 	114 	108 	109 
021078 	150 	114 	108 	109 
021079 	150 	114 	108 	109 
021080 	150 	114 	108 	109 
021081 	150 	114 	108 	109 
021082 	150 	114 	108 	109 
021083 	150 	114 	108 	109 
021084 	150 	114 	108 	109 
021085 	150 	114 	108 	109 
021086 	150 	114 	108 	109 
021087 	150 	114 	108 	109 
021088 	137 	94 	130 	130 
021089 	150 	102 	108 	109 
021090 	150 	102 	108 	109 
021091 	150 	102 	108 	109 
021092 	150 	102 	108 	109 
021093 	150 	102 	108 	109 
021094 	150 	102 	108 	109 
021095 	150 	102 	108 	109 
021096 	150 	102 	108 	109 
