Identity  : 	id11092
Reference : 	HYKhm9ulxSU
Offset    : 	-2
FV Conf   : 	19.086
ASD Conf  : 	6.972

FRAME 	X 	Y 	W 	H 
000884 	301 	95 	186 	186 
000885 	301 	95 	186 	186 
000886 	301 	95 	186 	186 
000887 	301 	95 	186 	186 
000888 	301 	95 	186 	186 
000889 	301 	95 	186 	186 
000890 	280 	115 	187 	187 
000891 	280 	115 	187 	187 
000892 	280 	115 	187 	187 
000893 	259 	115 	187 	187 
000894 	259 	115 	187 	187 
000895 	259 	115 	187 	187 
000896 	259 	115 	187 	187 
000897 	259 	115 	187 	187 
000898 	259 	115 	187 	187 
000899 	239 	115 	186 	187 
000900 	239 	115 	186 	187 
000901 	239 	115 	186 	187 
000902 	259 	115 	187 	187 
000903 	259 	115 	187 	187 
000904 	239 	115 	186 	187 
000905 	239 	115 	186 	187 
000906 	239 	115 	186 	187 
000907 	239 	95 	186 	186 
000908 	239 	95 	186 	186 
000909 	239 	95 	186 	186 
000910 	239 	95 	186 	186 
000911 	239 	95 	186 	186 
000912 	267 	113 	156 	156 
000913 	239 	95 	186 	186 
000914 	239 	95 	186 	186 
000915 	239 	95 	186 	186 
000916 	239 	95 	186 	186 
000917 	267 	113 	156 	156 
000918 	259 	95 	187 	186 
000919 	259 	95 	187 	186 
000920 	285 	113 	155 	156 
000921 	259 	95 	187 	186 
000922 	259 	95 	187 	186 
000923 	259 	95 	187 	186 
000924 	259 	115 	187 	187 
000925 	259 	115 	187 	187 
000926 	259 	115 	187 	187 
000927 	259 	115 	187 	187 
000928 	259 	115 	187 	187 
000929 	259 	115 	187 	187 
000930 	267 	113 	156 	156 
000931 	259 	95 	187 	186 
000932 	259 	95 	187 	186 
000933 	259 	95 	187 	186 
000934 	259 	95 	187 	186 
000935 	259 	95 	187 	186 
000936 	259 	95 	187 	186 
000937 	259 	95 	187 	186 
000938 	259 	95 	187 	186 
000939 	259 	95 	187 	186 
000940 	259 	95 	187 	186 
000941 	259 	95 	187 	186 
000942 	267 	96 	156 	156 
000943 	267 	79 	156 	156 
000944 	267 	79 	156 	156 
000945 	267 	79 	156 	156 
000946 	267 	79 	156 	156 
000947 	267 	79 	156 	156 
000948 	259 	74 	187 	187 
000949 	259 	74 	187 	187 
000950 	259 	95 	187 	186 
000951 	285 	113 	155 	156 
000952 	285 	113 	155 	156 
000953 	285 	113 	155 	156 
000954 	285 	113 	155 	156 
000955 	280 	95 	187 	186 
000956 	302 	96 	156 	156 
000957 	302 	96 	156 	156 
000958 	302 	96 	156 	156 
000959 	302 	96 	156 	156 
000960 	302 	96 	156 	156 
000961 	302 	113 	156 	156 
000962 	302 	113 	156 	156 
000963 	301 	115 	186 	187 
000964 	301 	115 	186 	187 
000965 	301 	115 	186 	187 
000966 	319 	113 	156 	156 
000967 	319 	113 	156 	156 
000968 	319 	113 	156 	156 
000969 	319 	96 	156 	156 
000970 	319 	96 	156 	156 
000971 	319 	96 	156 	156 
000972 	301 	95 	186 	186 
000973 	319 	113 	156 	156 
000974 	302 	113 	156 	156 
000975 	302 	113 	156 	156 
000976 	302 	113 	156 	156 
000977 	302 	113 	156 	156 
000978 	302 	113 	156 	156 
000979 	302 	113 	156 	156 
000980 	302 	113 	156 	156 
000981 	302 	113 	156 	156 
000982 	302 	113 	156 	156 
000983 	302 	113 	156 	156 
000984 	302 	113 	156 	156 
000985 	302 	113 	156 	156 
000986 	302 	113 	156 	156 
000987 	302 	96 	156 	156 
000988 	302 	96 	156 	156 
000989 	302 	96 	156 	156 
000990 	302 	96 	156 	156 
000991 	302 	96 	156 	156 
000992 	280 	95 	187 	186 
000993 	280 	95 	187 	186 
000994 	280 	95 	187 	186 
000995 	285 	113 	155 	156 
000996 	285 	113 	155 	156 
000997 	285 	96 	155 	156 
000998 	285 	96 	155 	156 
000999 	285 	96 	155 	156 
001000 	259 	74 	187 	187 
001001 	259 	74 	187 	187 
001002 	259 	74 	187 	187 
001003 	259 	74 	187 	187 
001004 	259 	74 	187 	187 
001005 	259 	74 	187 	187 
001006 	259 	74 	187 	187 
001007 	259 	74 	187 	187 
001008 	259 	74 	187 	187 
001009 	259 	74 	187 	187 
001010 	267 	96 	156 	156 
001011 	267 	96 	156 	156 
001012 	259 	74 	187 	187 
001013 	259 	74 	187 	187 
001014 	259 	74 	187 	187 
001015 	259 	74 	187 	187 
001016 	259 	74 	187 	187 
001017 	259 	74 	187 	187 
