Identity  : 	id11092
Reference : 	UpfWxiSoIeE
Offset    : 	-4
FV Conf   : 	15.457
ASD Conf  : 	5.553

FRAME 	X 	Y 	W 	H 
002031 	237 	109 	130 	130 
002032 	237 	109 	130 	130 
002033 	237 	109 	130 	130 
002034 	237 	109 	130 	130 
002035 	237 	109 	130 	130 
002036 	237 	109 	130 	130 
002037 	237 	109 	130 	130 
002038 	237 	109 	130 	130 
002039 	237 	109 	130 	130 
002040 	237 	109 	130 	130 
002041 	237 	109 	130 	130 
002042 	237 	109 	130 	130 
002043 	237 	109 	130 	130 
002044 	237 	109 	130 	130 
002045 	237 	109 	130 	130 
002046 	237 	109 	130 	130 
002047 	237 	109 	130 	130 
002048 	237 	109 	130 	130 
002049 	237 	109 	130 	130 
002050 	237 	109 	130 	130 
002051 	237 	109 	130 	130 
002052 	233 	96 	156 	156 
002053 	233 	96 	156 	156 
002054 	233 	96 	156 	156 
002055 	233 	96 	156 	156 
002056 	233 	96 	156 	156 
002057 	237 	109 	130 	130 
002058 	237 	109 	130 	130 
002059 	237 	109 	130 	130 
002060 	233 	96 	156 	156 
002061 	233 	96 	156 	156 
002062 	233 	96 	156 	156 
002063 	233 	96 	156 	156 
002064 	233 	96 	156 	156 
002065 	233 	96 	156 	156 
002066 	233 	96 	156 	156 
002067 	233 	96 	156 	156 
002068 	233 	96 	156 	156 
002069 	233 	96 	156 	156 
002070 	251 	109 	130 	130 
002071 	251 	109 	130 	130 
002072 	233 	96 	156 	156 
002073 	233 	96 	156 	156 
002074 	233 	96 	156 	156 
002075 	233 	96 	156 	156 
002076 	233 	96 	156 	156 
002077 	233 	96 	156 	156 
002078 	233 	96 	156 	156 
002079 	233 	96 	156 	156 
002080 	233 	96 	156 	156 
002081 	233 	96 	156 	156 
002082 	237 	109 	130 	130 
002083 	237 	109 	130 	130 
002084 	237 	109 	130 	130 
002085 	237 	109 	130 	130 
002086 	237 	109 	130 	130 
002087 	237 	109 	130 	130 
002088 	216 	96 	156 	156 
002089 	216 	96 	156 	156 
002090 	216 	96 	156 	156 
002091 	216 	96 	156 	156 
002092 	216 	96 	156 	156 
002093 	216 	96 	156 	156 
002094 	216 	96 	156 	156 
002095 	237 	109 	130 	130 
002096 	237 	109 	130 	130 
002097 	237 	109 	130 	130 
002098 	237 	109 	130 	130 
002099 	233 	96 	156 	156 
002100 	233 	96 	156 	156 
002101 	233 	79 	156 	156 
002102 	251 	109 	130 	130 
002103 	251 	109 	130 	130 
002104 	250 	79 	156 	156 
002105 	250 	79 	156 	156 
002106 	250 	79 	156 	156 
002107 	250 	79 	156 	156 
002108 	250 	96 	156 	156 
002109 	250 	96 	156 	156 
002110 	250 	79 	156 	156 
002111 	250 	79 	156 	156 
002112 	250 	79 	156 	156 
002113 	250 	79 	156 	156 
002114 	250 	79 	156 	156 
002115 	250 	79 	156 	156 
002116 	251 	109 	130 	130 
002117 	251 	109 	130 	130 
002118 	251 	109 	130 	130 
002119 	251 	109 	130 	130 
002120 	233 	96 	156 	156 
002121 	233 	96 	156 	156 
002122 	233 	96 	156 	156 
002123 	237 	109 	130 	130 
002124 	237 	109 	130 	130 
002125 	237 	109 	130 	130 
002126 	237 	109 	130 	130 
002127 	237 	109 	130 	130 
002128 	237 	109 	130 	130 
002129 	233 	96 	156 	156 
002130 	233 	96 	156 	156 
002131 	233 	96 	156 	156 
002132 	233 	96 	156 	156 
002133 	233 	96 	156 	156 
002134 	233 	96 	156 	156 
002135 	251 	109 	130 	130 
002136 	233 	96 	156 	156 
002137 	233 	96 	156 	156 
002138 	233 	96 	156 	156 
002139 	233 	96 	156 	156 
002140 	233 	96 	156 	156 
002141 	250 	96 	156 	156 
002142 	233 	96 	156 	156 
002143 	250 	96 	156 	156 
002144 	251 	109 	130 	130 
002145 	251 	109 	130 	130 
002146 	233 	96 	156 	156 
002147 	251 	109 	130 	130 
002148 	233 	96 	156 	156 
002149 	233 	96 	156 	156 
002150 	233 	96 	156 	156 
002151 	233 	96 	156 	156 
002152 	233 	96 	156 	156 
002153 	233 	96 	156 	156 
002154 	233 	96 	156 	156 
002155 	233 	96 	156 	156 
002156 	233 	96 	156 	156 
002157 	233 	96 	156 	156 
002158 	251 	109 	130 	130 
002159 	251 	109 	130 	130 
002160 	251 	109 	130 	130 
002161 	251 	109 	130 	130 
002162 	251 	109 	130 	130 
002163 	233 	96 	156 	156 
002164 	233 	96 	156 	156 
002165 	233 	96 	156 	156 
002166 	233 	96 	156 	156 
002167 	233 	96 	156 	156 
002168 	251 	109 	130 	130 
002169 	251 	109 	130 	130 
002170 	251 	109 	130 	130 
002171 	251 	123 	130 	130 
002172 	251 	123 	130 	130 
002173 	251 	123 	130 	130 
002174 	251 	123 	130 	130 
002175 	250 	96 	156 	156 
002176 	250 	96 	156 	156 
