Identity  : 	id11105
Reference : 	XRGwBNXIhgo
Offset    : 	-2
FV Conf   : 	19.971
ASD Conf  : 	8.373

FRAME 	X 	Y 	W 	H 
004928 	137 	109 	130 	130 
004929 	137 	109 	130 	130 
004930 	137 	109 	130 	130 
004931 	137 	109 	130 	130 
004932 	137 	109 	130 	130 
004933 	137 	109 	130 	130 
004934 	137 	109 	130 	130 
004935 	137 	109 	130 	130 
004936 	137 	109 	130 	130 
004937 	137 	109 	130 	130 
004938 	137 	109 	130 	130 
004939 	137 	109 	130 	130 
004940 	137 	109 	130 	130 
004941 	137 	109 	130 	130 
004942 	137 	109 	130 	130 
004943 	137 	109 	130 	130 
004944 	113 	96 	155 	156 
004945 	113 	96 	155 	156 
004946 	122 	109 	130 	130 
004947 	122 	94 	130 	130 
004948 	122 	94 	130 	130 
004949 	137 	94 	130 	130 
004950 	137 	94 	130 	130 
004951 	137 	94 	130 	130 
004952 	137 	94 	130 	130 
004953 	122 	94 	130 	130 
004954 	122 	94 	130 	130 
004955 	122 	94 	130 	130 
004956 	122 	94 	130 	130 
004957 	113 	96 	155 	156 
004958 	113 	96 	155 	156 
004959 	113 	96 	155 	156 
004960 	113 	96 	155 	156 
004961 	122 	109 	130 	130 
004962 	122 	109 	130 	130 
004963 	122 	109 	130 	130 
004964 	122 	109 	130 	130 
004965 	122 	109 	130 	130 
004966 	113 	96 	155 	156 
004967 	113 	96 	155 	156 
004968 	113 	96 	155 	156 
004969 	137 	109 	130 	130 
004970 	137 	109 	130 	130 
004971 	137 	109 	130 	130 
004972 	137 	109 	130 	130 
004973 	137 	109 	130 	130 
004974 	137 	109 	130 	130 
004975 	137 	109 	130 	130 
004976 	137 	109 	130 	130 
004977 	137 	109 	130 	130 
004978 	137 	109 	130 	130 
004979 	137 	109 	130 	130 
004980 	137 	109 	130 	130 
004981 	137 	109 	130 	130 
004982 	137 	109 	130 	130 
004983 	137 	109 	130 	130 
004984 	137 	109 	130 	130 
004985 	137 	109 	130 	130 
004986 	113 	96 	155 	156 
004987 	122 	109 	130 	130 
004988 	122 	109 	130 	130 
004989 	122 	109 	130 	130 
004990 	122 	109 	130 	130 
004991 	122 	109 	130 	130 
004992 	122 	109 	130 	130 
004993 	122 	109 	130 	130 
004994 	137 	109 	130 	130 
004995 	137 	109 	130 	130 
004996 	137 	109 	130 	130 
004997 	137 	109 	130 	130 
004998 	137 	109 	130 	130 
004999 	137 	109 	130 	130 
005000 	137 	109 	130 	130 
005001 	137 	109 	130 	130 
005002 	137 	109 	130 	130 
005003 	137 	109 	130 	130 
005004 	137 	109 	130 	130 
005005 	137 	109 	130 	130 
005006 	137 	109 	130 	130 
005007 	137 	109 	130 	130 
005008 	137 	109 	130 	130 
005009 	137 	109 	130 	130 
005010 	113 	96 	155 	156 
005011 	113 	96 	155 	156 
005012 	122 	123 	130 	130 
005013 	122 	123 	130 	130 
005014 	122 	123 	130 	130 
005015 	122 	123 	130 	130 
005016 	122 	123 	130 	130 
005017 	122 	123 	130 	130 
005018 	108 	123 	130 	130 
005019 	108 	123 	130 	130 
005020 	108 	123 	130 	130 
005021 	108 	123 	130 	130 
005022 	108 	123 	130 	130 
005023 	122 	123 	130 	130 
005024 	108 	123 	130 	130 
005025 	122 	123 	130 	130 
005026 	122 	123 	130 	130 
005027 	122 	123 	130 	130 
005028 	122 	123 	130 	130 
005029 	122 	123 	130 	130 
005030 	122 	123 	130 	130 
005031 	122 	123 	130 	130 
005032 	122 	123 	130 	130 
005033 	122 	123 	130 	130 
005034 	122 	123 	130 	130 
005035 	122 	123 	130 	130 
005036 	122 	123 	130 	130 
005037 	122 	123 	130 	130 
005038 	122 	123 	130 	130 
