Identity  : 	id11112
Reference : 	FUiiruCPVTI
Offset    : 	-3
FV Conf   : 	14.653
ASD Conf  : 	6.176

FRAME 	X 	Y 	W 	H 
000269 	365 	54 	108 	109 
000270 	383 	75 	91 	91 
000271 	383 	75 	91 	91 
000272 	365 	54 	108 	109 
000273 	383 	75 	91 	91 
000274 	383 	75 	91 	91 
000275 	365 	66 	108 	109 
000276 	365 	66 	108 	109 
000277 	365 	66 	108 	109 
000278 	365 	66 	108 	109 
000279 	365 	66 	108 	109 
000280 	383 	85 	91 	91 
000281 	383 	75 	91 	91 
000282 	383 	75 	91 	91 
000283 	376 	66 	109 	109 
000284 	393 	75 	91 	91 
000285 	393 	75 	91 	91 
000286 	393 	75 	91 	91 
000287 	393 	75 	91 	91 
000288 	393 	75 	91 	91 
000289 	393 	75 	91 	91 
000290 	383 	75 	91 	91 
000291 	383 	75 	91 	91 
000292 	383 	75 	91 	91 
000293 	376 	66 	109 	109 
000294 	376 	66 	109 	109 
000295 	376 	66 	109 	109 
000296 	376 	66 	109 	109 
000297 	376 	66 	109 	109 
000298 	383 	75 	91 	91 
000299 	383 	75 	91 	91 
000300 	383 	75 	91 	91 
000301 	383 	75 	91 	91 
000302 	376 	66 	109 	109 
000303 	376 	66 	109 	109 
000304 	376 	66 	109 	109 
000305 	376 	66 	109 	109 
000306 	376 	66 	109 	109 
000307 	376 	66 	109 	109 
000308 	376 	66 	109 	109 
000309 	376 	66 	109 	109 
000310 	383 	85 	91 	91 
000311 	383 	85 	91 	91 
000312 	383 	85 	91 	91 
000313 	383 	85 	91 	91 
000314 	365 	78 	108 	109 
000315 	365 	78 	108 	109 
000316 	365 	78 	108 	109 
000317 	373 	85 	91 	91 
000318 	365 	78 	108 	109 
000319 	353 	90 	108 	109 
000320 	353 	90 	108 	109 
000321 	353 	90 	108 	109 
000322 	353 	90 	108 	109 
000323 	353 	90 	108 	109 
000324 	353 	90 	108 	109 
000325 	353 	90 	108 	109 
000326 	353 	90 	108 	109 
000327 	353 	90 	108 	109 
000328 	353 	90 	108 	109 
000329 	353 	78 	108 	109 
000330 	353 	78 	108 	109 
000331 	373 	85 	91 	91 
000332 	373 	85 	91 	91 
000333 	373 	85 	91 	91 
000334 	373 	85 	91 	91 
000335 	365 	66 	108 	109 
000336 	365 	66 	108 	109 
000337 	373 	75 	91 	91 
000338 	373 	75 	91 	91 
000339 	373 	75 	91 	91 
000340 	373 	75 	91 	91 
000341 	373 	75 	91 	91 
000342 	373 	75 	91 	91 
000343 	365 	66 	108 	109 
000344 	365 	66 	108 	109 
000345 	365 	66 	108 	109 
000346 	373 	75 	91 	91 
000347 	373 	75 	91 	91 
000348 	373 	75 	91 	91 
000349 	373 	75 	91 	91 
000350 	365 	66 	108 	109 
000351 	365 	66 	108 	109 
000352 	365 	66 	108 	109 
000353 	365 	66 	108 	109 
000354 	365 	66 	108 	109 
000355 	365 	66 	108 	109 
000356 	365 	66 	108 	109 
000357 	365 	66 	108 	109 
000358 	365 	66 	108 	109 
000359 	365 	66 	108 	109 
000360 	365 	66 	108 	109 
000361 	365 	66 	108 	109 
000362 	383 	75 	91 	91 
000363 	365 	66 	108 	109 
000364 	365 	66 	108 	109 
000365 	365 	66 	108 	109 
000366 	365 	66 	108 	109 
000367 	365 	66 	108 	109 
000368 	365 	66 	108 	109 
000369 	365 	66 	108 	109 
000370 	365 	66 	108 	109 
000371 	365 	66 	108 	109 
000372 	365 	66 	108 	109 
000373 	365 	66 	108 	109 
000374 	365 	66 	108 	109 
000375 	365 	66 	108 	109 
000376 	365 	66 	108 	109 
000377 	365 	66 	108 	109 
000378 	365 	66 	108 	109 
000379 	365 	66 	108 	109 
000380 	365 	66 	108 	109 
000381 	365 	66 	108 	109 
000382 	365 	66 	108 	109 
000383 	365 	66 	108 	109 
000384 	365 	66 	108 	109 
000385 	365 	66 	108 	109 
000386 	365 	66 	108 	109 
000387 	365 	66 	108 	109 
000388 	365 	66 	108 	109 
000389 	365 	66 	108 	109 
000390 	365 	66 	108 	109 
000391 	365 	66 	108 	109 
000392 	365 	66 	108 	109 
000393 	365 	66 	108 	109 
000394 	365 	66 	108 	109 
000395 	365 	66 	108 	109 
000396 	365 	66 	108 	109 
000397 	365 	66 	108 	109 
000398 	365 	66 	108 	109 
000399 	365 	66 	108 	109 
000400 	365 	66 	108 	109 
000401 	365 	66 	108 	109 
000402 	365 	66 	108 	109 
000403 	365 	66 	108 	109 
000404 	365 	66 	108 	109 
000405 	365 	66 	108 	109 
000406 	365 	66 	108 	109 
000407 	365 	66 	108 	109 
000408 	365 	66 	108 	109 
000409 	365 	66 	108 	109 
000410 	365 	66 	108 	109 
000411 	365 	66 	108 	109 
000412 	365 	66 	108 	109 
000413 	365 	66 	108 	109 
000414 	365 	66 	108 	109 
000415 	365 	66 	108 	109 
000416 	365 	66 	108 	109 
000417 	365 	66 	108 	109 
000418 	365 	66 	108 	109 
000419 	365 	66 	108 	109 
000420 	365 	66 	108 	109 
000421 	365 	66 	108 	109 
000422 	365 	66 	108 	109 
000423 	365 	66 	108 	109 
000424 	365 	66 	108 	109 
000425 	365 	66 	108 	109 
000426 	365 	66 	108 	109 
000427 	365 	66 	108 	109 
000428 	365 	66 	108 	109 
000429 	365 	66 	108 	109 
000430 	373 	85 	91 	91 
000431 	373 	85 	91 	91 
000432 	373 	85 	91 	91 
000433 	365 	66 	108 	109 
000434 	365 	66 	108 	109 
000435 	373 	85 	91 	91 
000436 	373 	85 	91 	91 
000437 	373 	85 	91 	91 
000438 	373 	85 	91 	91 
000439 	373 	85 	91 	91 
000440 	373 	85 	91 	91 
000441 	373 	85 	91 	91 
000442 	373 	85 	91 	91 
000443 	373 	85 	91 	91 
000444 	365 	66 	108 	109 
000445 	365 	66 	108 	109 
000446 	365 	66 	108 	109 
000447 	373 	85 	91 	91 
000448 	373 	85 	91 	91 
000449 	373 	85 	91 	91 
000450 	373 	85 	91 	91 
000451 	365 	66 	108 	109 
000452 	365 	66 	108 	109 
000453 	373 	85 	91 	91 
000454 	365 	66 	108 	109 
000455 	365 	66 	108 	109 
000456 	365 	66 	108 	109 
000457 	365 	66 	108 	109 
000458 	365 	66 	108 	109 
000459 	365 	66 	108 	109 
000460 	365 	66 	108 	109 
000461 	365 	66 	108 	109 
000462 	365 	66 	108 	109 
000463 	365 	66 	108 	109 
000464 	365 	66 	108 	109 
000465 	365 	66 	108 	109 
000466 	365 	66 	108 	109 
000467 	365 	66 	108 	109 
000468 	373 	85 	91 	91 
000469 	365 	66 	108 	109 
000470 	365 	66 	108 	109 
000471 	365 	66 	108 	109 
000472 	365 	66 	108 	109 
000473 	365 	66 	108 	109 
000474 	365 	66 	108 	109 
000475 	365 	66 	108 	109 
000476 	365 	66 	108 	109 
000477 	365 	66 	108 	109 
000478 	365 	66 	108 	109 
000479 	365 	66 	108 	109 
000480 	365 	66 	108 	109 
000481 	365 	66 	108 	109 
000482 	365 	66 	108 	109 
000483 	365 	66 	108 	109 
000484 	383 	75 	91 	91 
000485 	383 	75 	91 	91 
000486 	383 	75 	91 	91 
000487 	383 	75 	91 	91 
000488 	383 	75 	91 	91 
000489 	383 	75 	91 	91 
000490 	383 	75 	91 	91 
000491 	383 	75 	91 	91 
000492 	383 	75 	91 	91 
000493 	383 	75 	91 	91 
000494 	383 	75 	91 	91 
000495 	383 	75 	91 	91 
000496 	383 	75 	91 	91 
