Identity  : 	id11112
Reference : 	UEPsY-pWLx8
Offset    : 	1
FV Conf   : 	17.286
ASD Conf  : 	6.178

FRAME 	X 	Y 	W 	H 
005808 	208 	94 	130 	130 
005809 	208 	94 	130 	130 
005810 	208 	94 	130 	130 
005811 	208 	94 	130 	130 
005812 	208 	94 	130 	130 
005813 	208 	94 	130 	130 
005814 	208 	94 	130 	130 
005815 	208 	94 	130 	130 
005816 	208 	94 	130 	130 
005817 	208 	94 	130 	130 
005818 	208 	94 	130 	130 
005819 	208 	94 	130 	130 
005820 	208 	94 	130 	130 
005821 	208 	94 	130 	130 
005822 	208 	94 	130 	130 
005823 	208 	94 	130 	130 
005824 	208 	94 	130 	130 
005825 	223 	94 	130 	130 
005826 	223 	94 	130 	130 
005827 	223 	94 	130 	130 
005828 	223 	94 	130 	130 
005829 	223 	94 	130 	130 
005830 	208 	94 	130 	130 
005831 	208 	94 	130 	130 
005832 	208 	94 	130 	130 
005833 	223 	94 	130 	130 
005834 	199 	79 	155 	156 
005835 	199 	79 	155 	156 
005836 	208 	94 	130 	130 
005837 	208 	94 	130 	130 
005838 	208 	94 	130 	130 
005839 	208 	94 	130 	130 
005840 	199 	79 	155 	156 
005841 	199 	79 	155 	156 
005842 	208 	94 	130 	130 
005843 	199 	79 	155 	156 
005844 	199 	79 	155 	156 
005845 	199 	79 	155 	156 
005846 	199 	79 	155 	156 
005847 	199 	96 	155 	156 
005848 	199 	79 	155 	156 
005849 	199 	96 	155 	156 
005850 	199 	96 	155 	156 
005851 	199 	79 	155 	156 
005852 	199 	79 	155 	156 
005853 	199 	96 	155 	156 
005854 	199 	96 	155 	156 
005855 	199 	96 	155 	156 
005856 	199 	96 	155 	156 
005857 	199 	79 	155 	156 
005858 	199 	79 	155 	156 
005859 	199 	79 	155 	156 
005860 	199 	96 	155 	156 
005861 	208 	109 	130 	130 
005862 	199 	96 	155 	156 
005863 	199 	96 	155 	156 
005864 	199 	96 	155 	156 
005865 	199 	96 	155 	156 
005866 	199 	96 	155 	156 
005867 	199 	96 	155 	156 
005868 	199 	96 	155 	156 
005869 	199 	96 	155 	156 
005870 	208 	94 	130 	130 
005871 	208 	94 	130 	130 
