Identity  : 	id11117
Reference : 	52leuMl23jA
Offset    : 	-4
FV Conf   : 	13.314
ASD Conf  : 	6.809

FRAME 	X 	Y 	W 	H 
004716 	323 	94 	130 	130 
004717 	323 	94 	130 	130 
004718 	323 	94 	130 	130 
004719 	323 	94 	130 	130 
004720 	323 	94 	130 	130 
004721 	323 	94 	130 	130 
004722 	323 	94 	130 	130 
004723 	302 	79 	156 	156 
004724 	309 	80 	130 	130 
004725 	309 	80 	130 	130 
004726 	309 	80 	130 	130 
004727 	309 	80 	130 	130 
004728 	323 	94 	130 	130 
004729 	323 	94 	130 	130 
004730 	323 	94 	130 	130 
004731 	323 	94 	130 	130 
004732 	309 	80 	130 	130 
004733 	309 	80 	130 	130 
004734 	309 	80 	130 	130 
004735 	309 	80 	130 	130 
004736 	309 	80 	130 	130 
004737 	309 	80 	130 	130 
004738 	323 	94 	130 	130 
004739 	309 	80 	130 	130 
004740 	309 	80 	130 	130 
004741 	309 	80 	130 	130 
004742 	309 	80 	130 	130 
004743 	309 	80 	130 	130 
004744 	309 	80 	130 	130 
004745 	309 	80 	130 	130 
004746 	309 	80 	130 	130 
004747 	309 	80 	130 	130 
004748 	309 	80 	130 	130 
004749 	309 	80 	130 	130 
004750 	309 	80 	130 	130 
004751 	309 	80 	130 	130 
004752 	309 	80 	130 	130 
004753 	309 	80 	130 	130 
004754 	309 	80 	130 	130 
004755 	309 	80 	130 	130 
004756 	309 	80 	130 	130 
004757 	302 	62 	156 	155 
004758 	309 	80 	130 	130 
004759 	309 	80 	130 	130 
004760 	309 	80 	130 	130 
004761 	309 	80 	130 	130 
004762 	309 	80 	130 	130 
004763 	302 	62 	156 	155 
004764 	302 	62 	156 	155 
004765 	302 	62 	156 	155 
004766 	302 	62 	156 	155 
004767 	323 	94 	130 	130 
004768 	323 	94 	130 	130 
004769 	323 	94 	130 	130 
004770 	323 	94 	130 	130 
004771 	323 	94 	130 	130 
004772 	302 	79 	156 	156 
004773 	323 	94 	130 	130 
004774 	323 	94 	130 	130 
004775 	323 	94 	130 	130 
004776 	302 	79 	156 	156 
004777 	323 	94 	130 	130 
004778 	323 	94 	130 	130 
004779 	323 	94 	130 	130 
004780 	309 	80 	130 	130 
004781 	323 	94 	130 	130 
004782 	309 	80 	130 	130 
004783 	309 	80 	130 	130 
004784 	309 	80 	130 	130 
004785 	309 	80 	130 	130 
004786 	309 	80 	130 	130 
004787 	309 	80 	130 	130 
004788 	309 	80 	130 	130 
004789 	309 	80 	130 	130 
004790 	309 	80 	130 	130 
004791 	302 	79 	156 	156 
004792 	302 	79 	156 	156 
004793 	309 	80 	130 	130 
004794 	309 	80 	130 	130 
004795 	309 	80 	130 	130 
004796 	309 	80 	130 	130 
004797 	309 	80 	130 	130 
004798 	309 	80 	130 	130 
004799 	309 	80 	130 	130 
004800 	309 	80 	130 	130 
004801 	309 	80 	130 	130 
004802 	309 	80 	130 	130 
004803 	309 	80 	130 	130 
004804 	309 	80 	130 	130 
004805 	309 	80 	130 	130 
004806 	309 	80 	130 	130 
004807 	309 	80 	130 	130 
004808 	309 	80 	130 	130 
004809 	309 	80 	130 	130 
004810 	323 	94 	130 	130 
004811 	323 	94 	130 	130 
004812 	323 	94 	130 	130 
004813 	323 	94 	130 	130 
004814 	323 	94 	130 	130 
004815 	323 	94 	130 	130 
004816 	323 	94 	130 	130 
004817 	323 	94 	130 	130 
004818 	323 	94 	130 	130 
