Identity  : 	id11117
Reference : 	jjsVwJ8FdB4
Offset    : 	-2
FV Conf   : 	14.991
ASD Conf  : 	7.350

FRAME 	X 	Y 	W 	H 
002571 	233 	79 	156 	156 
002572 	233 	79 	156 	156 
002573 	233 	79 	156 	156 
002574 	233 	79 	156 	156 
002575 	233 	79 	156 	156 
002576 	233 	79 	156 	156 
002577 	233 	79 	156 	156 
002578 	233 	79 	156 	156 
002579 	216 	79 	156 	156 
002580 	216 	79 	156 	156 
002581 	216 	79 	156 	156 
002582 	216 	79 	156 	156 
002583 	216 	79 	156 	156 
002584 	216 	79 	156 	156 
002585 	216 	79 	156 	156 
002586 	216 	79 	156 	156 
002587 	216 	79 	156 	156 
002588 	233 	79 	156 	156 
002589 	233 	79 	156 	156 
002590 	233 	79 	156 	156 
002591 	233 	79 	156 	156 
002592 	233 	79 	156 	156 
002593 	233 	79 	156 	156 
002594 	233 	79 	156 	156 
002595 	233 	79 	156 	156 
002596 	233 	79 	156 	156 
002597 	233 	79 	156 	156 
002598 	233 	79 	156 	156 
002599 	233 	79 	156 	156 
002600 	233 	79 	156 	156 
002601 	233 	79 	156 	156 
002602 	233 	79 	156 	156 
002603 	233 	79 	156 	156 
002604 	233 	79 	156 	156 
002605 	233 	79 	156 	156 
002606 	233 	79 	156 	156 
002607 	233 	79 	156 	156 
002608 	233 	79 	156 	156 
002609 	233 	79 	156 	156 
002610 	233 	79 	156 	156 
002611 	233 	79 	156 	156 
002612 	233 	79 	156 	156 
002613 	233 	79 	156 	156 
002614 	233 	79 	156 	156 
002615 	233 	79 	156 	156 
002616 	233 	79 	156 	156 
002617 	233 	79 	156 	156 
002618 	233 	79 	156 	156 
002619 	233 	79 	156 	156 
002620 	233 	79 	156 	156 
002621 	233 	79 	156 	156 
002622 	233 	79 	156 	156 
002623 	233 	79 	156 	156 
002624 	233 	79 	156 	156 
002625 	233 	79 	156 	156 
002626 	233 	79 	156 	156 
002627 	233 	79 	156 	156 
002628 	233 	79 	156 	156 
002629 	233 	79 	156 	156 
002630 	233 	79 	156 	156 
002631 	233 	79 	156 	156 
002632 	233 	79 	156 	156 
002633 	233 	79 	156 	156 
002634 	233 	79 	156 	156 
002635 	233 	79 	156 	156 
002636 	233 	79 	156 	156 
002637 	233 	79 	156 	156 
002638 	233 	79 	156 	156 
002639 	233 	79 	156 	156 
002640 	233 	79 	156 	156 
002641 	233 	79 	156 	156 
002642 	233 	79 	156 	156 
002643 	233 	79 	156 	156 
002644 	233 	79 	156 	156 
002645 	233 	79 	156 	156 
002646 	233 	79 	156 	156 
002647 	233 	79 	156 	156 
002648 	233 	79 	156 	156 
002649 	233 	79 	156 	156 
002650 	233 	79 	156 	156 
002651 	233 	79 	156 	156 
002652 	233 	79 	156 	156 
002653 	233 	79 	156 	156 
002654 	233 	79 	156 	156 
002655 	233 	79 	156 	156 
002656 	233 	79 	156 	156 
002657 	233 	79 	156 	156 
002658 	233 	79 	156 	156 
002659 	233 	79 	156 	156 
002660 	250 	79 	156 	156 
002661 	250 	79 	156 	156 
002662 	250 	79 	156 	156 
002663 	250 	79 	156 	156 
002664 	250 	79 	156 	156 
002665 	250 	79 	156 	156 
002666 	250 	79 	156 	156 
002667 	250 	79 	156 	156 
002668 	250 	79 	156 	156 
002669 	233 	79 	156 	156 
002670 	233 	79 	156 	156 
002671 	233 	79 	156 	156 
002672 	233 	79 	156 	156 
002673 	233 	79 	156 	156 
002674 	233 	79 	156 	156 
002675 	233 	79 	156 	156 
002676 	233 	79 	156 	156 
002677 	233 	79 	156 	156 
002678 	233 	79 	156 	156 
002679 	233 	79 	156 	156 
002680 	233 	79 	156 	156 
002681 	233 	79 	156 	156 
002682 	233 	79 	156 	156 
002683 	233 	79 	156 	156 
002684 	233 	79 	156 	156 
002685 	233 	79 	156 	156 
002686 	233 	79 	156 	156 
002687 	233 	79 	156 	156 
002688 	233 	79 	156 	156 
002689 	233 	79 	156 	156 
002690 	233 	79 	156 	156 
002691 	233 	79 	156 	156 
002692 	233 	79 	156 	156 
002693 	233 	79 	156 	156 
002694 	233 	79 	156 	156 
002695 	233 	79 	156 	156 
002696 	233 	79 	156 	156 
002697 	233 	79 	156 	156 
002698 	233 	79 	156 	156 
002699 	216 	79 	156 	156 
002700 	216 	79 	156 	156 
002701 	216 	79 	156 	156 
002702 	216 	79 	156 	156 
002703 	216 	79 	156 	156 
002704 	216 	79 	156 	156 
002705 	216 	79 	156 	156 
002706 	216 	79 	156 	156 
002707 	216 	79 	156 	156 
002708 	216 	79 	156 	156 
002709 	216 	79 	156 	156 
002710 	233 	79 	156 	156 
002711 	233 	79 	156 	156 
002712 	216 	79 	156 	156 
002713 	233 	79 	156 	156 
002714 	233 	79 	156 	156 
002715 	216 	79 	156 	156 
002716 	216 	79 	156 	156 
002717 	216 	79 	156 	156 
002718 	216 	79 	156 	156 
002719 	216 	79 	156 	156 
002720 	216 	79 	156 	156 
002721 	216 	79 	156 	156 
002722 	216 	79 	156 	156 
002723 	216 	79 	156 	156 
002724 	216 	79 	156 	156 
002725 	216 	79 	156 	156 
002726 	216 	79 	156 	156 
002727 	216 	62 	156 	155 
002728 	197 	53 	187 	187 
002729 	197 	53 	187 	187 
002730 	197 	53 	187 	187 
002731 	216 	62 	156 	155 
002732 	216 	62 	156 	155 
002733 	216 	62 	156 	155 
002734 	216 	62 	156 	155 
002735 	216 	62 	156 	155 
002736 	216 	62 	156 	155 
002737 	216 	79 	156 	156 
002738 	216 	79 	156 	156 
002739 	216 	62 	156 	155 
002740 	216 	62 	156 	155 
002741 	216 	62 	156 	155 
002742 	216 	62 	156 	155 
002743 	216 	62 	156 	155 
002744 	216 	79 	156 	156 
002745 	216 	79 	156 	156 
002746 	216 	62 	156 	155 
002747 	216 	79 	156 	156 
002748 	216 	79 	156 	156 
002749 	216 	79 	156 	156 
002750 	216 	79 	156 	156 
002751 	216 	62 	156 	155 
002752 	216 	79 	156 	156 
002753 	216 	62 	156 	155 
002754 	216 	62 	156 	155 
002755 	216 	62 	156 	155 
002756 	216 	62 	156 	155 
002757 	216 	62 	156 	155 
002758 	216 	62 	156 	155 
002759 	216 	62 	156 	155 
002760 	216 	62 	156 	155 
002761 	233 	62 	156 	155 
002762 	233 	62 	156 	155 
002763 	233 	62 	156 	155 
002764 	233 	62 	156 	155 
002765 	233 	62 	156 	155 
002766 	233 	62 	156 	155 
002767 	233 	62 	156 	155 
002768 	233 	62 	156 	155 
002769 	233 	62 	156 	155 
002770 	233 	62 	156 	155 
002771 	233 	62 	156 	155 
002772 	233 	62 	156 	155 
002773 	233 	62 	156 	155 
002774 	233 	62 	156 	155 
002775 	233 	62 	156 	155 
002776 	233 	62 	156 	155 
002777 	233 	62 	156 	155 
002778 	233 	62 	156 	155 
002779 	233 	62 	156 	155 
002780 	233 	62 	156 	155 
002781 	233 	62 	156 	155 
002782 	233 	62 	156 	155 
002783 	233 	62 	156 	155 
002784 	233 	62 	156 	155 
002785 	233 	62 	156 	155 
002786 	233 	62 	156 	155 
