Identity  : 	id11131
Reference : 	ceVcAkd7Hmg
Offset    : 	1
FV Conf   : 	24.056
ASD Conf  : 	9.008

FRAME 	X 	Y 	W 	H 
003176 	274 	45 	90 	91 
003177 	274 	45 	90 	91 
003178 	274 	45 	90 	91 
003179 	274 	45 	90 	91 
003180 	274 	55 	90 	91 
003181 	274 	55 	90 	91 
003182 	274 	55 	90 	91 
003183 	274 	55 	90 	91 
003184 	274 	55 	90 	91 
003185 	274 	55 	90 	91 
003186 	274 	55 	90 	91 
003187 	274 	55 	90 	91 
003188 	274 	55 	90 	91 
003189 	264 	55 	90 	91 
003190 	264 	55 	90 	91 
003191 	264 	55 	90 	91 
003192 	264 	55 	90 	91 
003193 	264 	55 	90 	91 
003194 	264 	65 	90 	91 
003195 	264 	65 	90 	91 
003196 	264 	65 	90 	91 
003197 	274 	65 	90 	91 
003198 	274 	65 	90 	91 
003199 	269 	54 	108 	109 
003200 	269 	54 	108 	109 
003201 	269 	54 	108 	109 
003202 	269 	54 	108 	109 
003203 	269 	54 	108 	109 
003204 	269 	54 	108 	109 
003205 	284 	65 	90 	91 
003206 	284 	65 	90 	91 
003207 	284 	65 	90 	91 
003208 	284 	65 	90 	91 
003209 	284 	75 	90 	91 
003210 	284 	75 	90 	91 
003211 	284 	75 	90 	91 
003212 	281 	66 	108 	109 
003213 	281 	66 	108 	109 
003214 	281 	66 	108 	109 
003215 	281 	66 	108 	109 
003216 	281 	66 	108 	109 
003217 	281 	66 	108 	109 
003218 	281 	66 	108 	109 
003219 	284 	75 	90 	91 
003220 	284 	75 	90 	91 
003221 	284 	75 	90 	91 
003222 	284 	75 	90 	91 
003223 	284 	75 	90 	91 
003224 	269 	54 	108 	109 
003225 	269 	54 	108 	109 
003226 	274 	65 	90 	91 
003227 	257 	54 	109 	109 
003228 	264 	65 	90 	91 
003229 	254 	55 	90 	91 
003230 	254 	55 	90 	91 
003231 	254 	55 	90 	91 
003232 	244 	55 	90 	91 
003233 	244 	55 	90 	91 
003234 	244 	55 	90 	91 
003235 	254 	55 	90 	91 
003236 	254 	55 	90 	91 
003237 	254 	55 	90 	91 
003238 	244 	55 	90 	91 
003239 	244 	55 	90 	91 
003240 	244 	55 	90 	91 
003241 	244 	55 	90 	91 
003242 	244 	62 	76 	76 
003243 	234 	55 	90 	91 
003244 	236 	62 	76 	76 
003245 	224 	55 	91 	91 
003246 	224 	55 	91 	91 
003247 	228 	62 	76 	76 
003248 	224 	55 	91 	91 
003249 	224 	55 	91 	91 
003250 	224 	55 	91 	91 
003251 	224 	55 	91 	91 
003252 	224 	55 	91 	91 
003253 	224 	65 	91 	91 
003254 	224 	65 	91 	91 
003255 	224 	65 	91 	91 
003256 	224 	65 	91 	91 
003257 	224 	65 	91 	91 
003258 	221 	54 	109 	109 
003259 	225 	58 	103 	103 
003260 	230 	61 	96 	97 
003261 	234 	65 	90 	91 
003262 	234 	65 	90 	91 
003263 	234 	65 	90 	91 
003264 	234 	65 	90 	91 
003265 	244 	65 	90 	91 
003266 	244 	65 	90 	91 
003267 	244 	65 	90 	91 
003268 	254 	65 	90 	91 
003269 	254 	65 	90 	91 
003270 	254 	65 	90 	91 
003271 	264 	65 	90 	91 
003272 	264 	65 	90 	91 
003273 	264 	65 	90 	91 
003274 	264 	65 	90 	91 
003275 	254 	65 	90 	91 
003276 	254 	65 	90 	91 
003277 	254 	65 	90 	91 
003278 	244 	65 	90 	91 
003279 	244 	65 	90 	91 
003280 	234 	65 	90 	91 
003281 	244 	71 	76 	75 
003282 	244 	71 	76 	75 
003283 	244 	71 	76 	75 
003284 	244 	63 	83 	83 
003285 	244 	55 	90 	91 
003286 	244 	55 	90 	91 
003287 	254 	55 	90 	91 
003288 	254 	55 	90 	91 
