Identity  : 	id11131
Reference : 	u2tsC27cnqk
Offset    : 	-3
FV Conf   : 	18.225
ASD Conf  : 	5.414

FRAME 	X 	Y 	W 	H 
001024 	259 	136 	187 	187 
001025 	239 	136 	186 	187 
001026 	239 	136 	186 	187 
001027 	239 	136 	186 	187 
001028 	218 	136 	187 	187 
001029 	218 	115 	187 	187 
001030 	233 	113 	156 	156 
001031 	218 	74 	187 	187 
001032 	218 	74 	187 	187 
001033 	250 	96 	156 	156 
001034 	250 	96 	156 	156 
001035 	239 	53 	186 	187 
001036 	239 	53 	186 	187 
001037 	267 	96 	156 	156 
001038 	267 	96 	156 	156 
001039 	259 	74 	187 	187 
001040 	259 	74 	187 	187 
001041 	259 	74 	187 	187 
001042 	285 	96 	155 	156 
001043 	285 	96 	155 	156 
001044 	285 	96 	155 	156 
001045 	285 	96 	155 	156 
001046 	285 	96 	155 	156 
001047 	309 	109 	130 	130 
001048 	317 	114 	108 	109 
001049 	317 	114 	108 	109 
001050 	294 	94 	130 	130 
001051 	294 	94 	130 	130 
001052 	309 	94 	130 	130 
001053 	309 	94 	130 	130 
001054 	309 	94 	130 	130 
001055 	309 	94 	130 	130 
001056 	309 	94 	130 	130 
001057 	309 	109 	130 	130 
001058 	309 	109 	130 	130 
001059 	309 	109 	130 	130 
001060 	309 	109 	130 	130 
001061 	309 	109 	130 	130 
001062 	309 	109 	130 	130 
001063 	309 	109 	130 	130 
001064 	309 	109 	130 	130 
001065 	294 	109 	130 	130 
001066 	294 	109 	130 	130 
001067 	294 	109 	130 	130 
001068 	294 	94 	130 	130 
001069 	280 	94 	130 	130 
001070 	280 	94 	130 	130 
001071 	280 	80 	130 	130 
001072 	280 	80 	130 	130 
001073 	266 	80 	130 	130 
001074 	266 	80 	130 	130 
001075 	281 	102 	108 	109 
001076 	281 	102 	108 	109 
001077 	266 	94 	130 	130 
001078 	281 	102 	108 	109 
001079 	280 	94 	130 	130 
001080 	281 	102 	108 	109 
001081 	281 	90 	108 	109 
001082 	281 	90 	108 	109 
001083 	281 	90 	108 	109 
001084 	281 	90 	108 	109 
001085 	266 	94 	130 	130 
001086 	266 	94 	130 	130 
001087 	266 	94 	130 	130 
001088 	266 	94 	130 	130 
001089 	266 	94 	130 	130 
001090 	266 	94 	130 	130 
001091 	266 	94 	130 	130 
001092 	266 	94 	130 	130 
001093 	266 	94 	130 	130 
001094 	266 	94 	130 	130 
001095 	281 	102 	108 	109 
001096 	281 	102 	108 	109 
001097 	280 	80 	130 	130 
001098 	280 	80 	130 	130 
001099 	280 	80 	130 	130 
001100 	294 	66 	130 	130 
001101 	294 	66 	130 	130 
001102 	293 	78 	108 	109 
001103 	280 	66 	130 	130 
001104 	293 	78 	108 	109 
001105 	293 	78 	108 	109 
001106 	293 	78 	108 	109 
001107 	293 	78 	108 	109 
001108 	281 	78 	108 	109 
001109 	281 	78 	108 	109 
001110 	281 	78 	108 	109 
001111 	266 	66 	130 	130 
001112 	266 	66 	130 	130 
001113 	266 	66 	130 	130 
001114 	281 	90 	108 	109 
001115 	269 	90 	108 	109 
001116 	269 	90 	108 	109 
001117 	251 	80 	130 	130 
001118 	251 	80 	130 	130 
001119 	251 	80 	130 	130 
001120 	251 	80 	130 	130 
001121 	251 	80 	130 	130 
001122 	251 	80 	130 	130 
001123 	257 	102 	109 	109 
001124 	257 	102 	109 	109 
001125 	237 	80 	130 	130 
001126 	237 	94 	130 	130 
001127 	237 	94 	130 	130 
001128 	237 	94 	130 	130 
001129 	257 	102 	109 	109 
001130 	257 	102 	109 	109 
001131 	251 	94 	130 	130 
001132 	251 	94 	130 	130 
001133 	251 	94 	130 	130 
001134 	251 	94 	130 	130 
001135 	269 	102 	108 	109 
001136 	266 	94 	130 	130 
001137 	266 	80 	130 	130 
001138 	266 	80 	130 	130 
001139 	266 	94 	130 	130 
001140 	266 	94 	130 	130 
001141 	266 	94 	130 	130 
001142 	266 	94 	130 	130 
001143 	266 	94 	130 	130 
001144 	269 	102 	108 	109 
001145 	251 	94 	130 	130 
001146 	251 	94 	130 	130 
001147 	266 	94 	130 	130 
001148 	266 	94 	130 	130 
001149 	266 	94 	130 	130 
001150 	266 	94 	130 	130 
001151 	266 	94 	130 	130 
001152 	266 	94 	130 	130 
001153 	266 	94 	130 	130 
001154 	266 	94 	130 	130 
001155 	266 	94 	130 	130 
001156 	266 	94 	130 	130 
001157 	266 	94 	130 	130 
001158 	266 	94 	130 	130 
001159 	266 	94 	130 	130 
001160 	266 	94 	130 	130 
001161 	280 	80 	130 	130 
001162 	280 	80 	130 	130 
001163 	280 	80 	130 	130 
001164 	280 	80 	130 	130 
001165 	280 	80 	130 	130 
