Identity  : 	id11132
Reference : 	C_TutkIR9WE
Offset    : 	-2
FV Conf   : 	20.636
ASD Conf  : 	6.262

FRAME 	X 	Y 	W 	H 
000453 	126 	78 	108 	109 
000454 	126 	78 	108 	109 
000455 	126 	78 	108 	109 
000456 	126 	78 	108 	109 
000457 	126 	78 	108 	109 
000458 	126 	78 	108 	109 
000459 	126 	78 	108 	109 
000460 	126 	78 	108 	109 
000461 	114 	78 	108 	109 
000462 	114 	78 	108 	109 
000463 	114 	78 	108 	109 
000464 	114 	78 	108 	109 
000465 	114 	78 	108 	109 
000466 	114 	78 	108 	109 
000467 	114 	78 	108 	109 
000468 	114 	78 	108 	109 
000469 	114 	78 	108 	109 
000470 	124 	85 	91 	91 
000471 	124 	85 	91 	91 
000472 	114 	78 	108 	109 
000473 	114 	78 	108 	109 
000474 	124 	85 	91 	91 
000475 	114 	78 	108 	109 
000476 	114 	78 	108 	109 
000477 	114 	66 	108 	109 
000478 	114 	66 	108 	109 
000479 	114 	66 	108 	109 
000480 	114 	66 	108 	109 
000481 	114 	66 	108 	109 
000482 	114 	66 	108 	109 
000483 	114 	66 	108 	109 
000484 	114 	66 	108 	109 
000485 	114 	66 	108 	109 
000486 	114 	66 	108 	109 
000487 	114 	66 	108 	109 
000488 	114 	66 	108 	109 
000489 	114 	66 	108 	109 
000490 	114 	66 	108 	109 
000491 	114 	66 	108 	109 
000492 	126 	66 	108 	109 
000493 	124 	75 	91 	91 
000494 	124 	65 	91 	91 
000495 	124 	65 	91 	91 
000496 	126 	66 	108 	109 
000497 	126 	66 	108 	109 
000498 	126 	66 	108 	109 
000499 	126 	66 	108 	109 
000500 	126 	66 	108 	109 
000501 	134 	75 	91 	91 
000502 	126 	66 	108 	109 
000503 	124 	75 	91 	91 
000504 	124 	75 	91 	91 
000505 	124 	75 	91 	91 
000506 	114 	66 	108 	109 
000507 	114 	66 	108 	109 
000508 	114 	66 	108 	109 
000509 	114 	66 	108 	109 
000510 	114 	66 	108 	109 
000511 	114 	66 	108 	109 
000512 	114 	66 	108 	109 
000513 	126 	78 	108 	109 
000514 	126 	78 	108 	109 
000515 	126 	66 	108 	109 
000516 	126 	66 	108 	109 
000517 	126 	66 	108 	109 
000518 	126 	66 	108 	109 
000519 	126 	66 	108 	109 
000520 	126 	66 	108 	109 
000521 	126 	66 	108 	109 
000522 	126 	66 	108 	109 
000523 	126 	66 	108 	109 
000524 	134 	85 	91 	91 
000525 	134 	75 	91 	91 
000526 	126 	66 	108 	109 
000527 	144 	75 	91 	91 
000528 	138 	66 	108 	109 
000529 	138 	66 	108 	109 
000530 	138 	66 	108 	109 
000531 	138 	66 	108 	109 
000532 	144 	75 	91 	91 
000533 	144 	75 	91 	91 
000534 	144 	75 	91 	91 
000535 	134 	75 	91 	91 
000536 	134 	75 	91 	91 
000537 	126 	66 	108 	109 
000538 	126 	66 	108 	109 
000539 	126 	66 	108 	109 
000540 	126 	66 	108 	109 
000541 	126 	66 	108 	109 
000542 	126 	66 	108 	109 
000543 	126 	78 	108 	109 
000544 	126 	78 	108 	109 
000545 	126 	78 	108 	109 
000546 	134 	85 	91 	91 
000547 	134 	85 	91 	91 
000548 	134 	85 	91 	91 
000549 	134 	85 	91 	91 
000550 	134 	85 	91 	91 
000551 	126 	66 	108 	109 
000552 	126 	66 	108 	109 
000553 	126 	66 	108 	109 
000554 	126 	66 	108 	109 
000555 	126 	66 	108 	109 
000556 	134 	85 	91 	91 
000557 	134 	85 	91 	91 
000558 	126 	78 	108 	109 
000559 	126 	78 	108 	109 
000560 	126 	78 	108 	109 
000561 	126 	78 	108 	109 
000562 	126 	78 	108 	109 
000563 	114 	78 	108 	109 
000564 	114 	78 	108 	109 
000565 	114 	78 	108 	109 
000566 	114 	78 	108 	109 
000567 	114 	78 	108 	109 
000568 	114 	78 	108 	109 
