Identity  : 	id11149
Reference : 	bxpoZDPhZLA
Offset    : 	0
FV Conf   : 	15.388
ASD Conf  : 	6.779

FRAME 	X 	Y 	W 	H 
005658 	309 	51 	130 	130 
005659 	309 	51 	130 	130 
005660 	309 	51 	130 	130 
005661 	309 	51 	130 	130 
005662 	309 	51 	130 	130 
005663 	309 	51 	130 	130 
005664 	302 	44 	156 	156 
005665 	302 	44 	156 	156 
005666 	302 	44 	156 	156 
005667 	302 	44 	156 	156 
005668 	302 	44 	156 	156 
005669 	302 	44 	156 	156 
005670 	302 	44 	156 	156 
005671 	302 	44 	156 	156 
005672 	302 	44 	156 	156 
005673 	302 	44 	156 	156 
005674 	323 	51 	130 	130 
005675 	302 	44 	156 	156 
005676 	302 	44 	156 	156 
005677 	302 	44 	156 	156 
005678 	302 	44 	156 	156 
005679 	302 	44 	156 	156 
005680 	302 	44 	156 	156 
005681 	323 	66 	130 	130 
005682 	309 	66 	130 	130 
005683 	323 	66 	130 	130 
005684 	323 	66 	130 	130 
005685 	323 	66 	130 	130 
005686 	323 	66 	130 	130 
005687 	323 	66 	130 	130 
005688 	323 	66 	130 	130 
005689 	323 	66 	130 	130 
005690 	323 	66 	130 	130 
005691 	323 	66 	130 	130 
005692 	323 	66 	130 	130 
005693 	323 	51 	130 	130 
005694 	323 	51 	130 	130 
005695 	323 	51 	130 	130 
005696 	323 	51 	130 	130 
005697 	323 	51 	130 	130 
005698 	323 	51 	130 	130 
005699 	323 	51 	130 	130 
005700 	323 	51 	130 	130 
005701 	323 	51 	130 	130 
005702 	323 	51 	130 	130 
005703 	309 	51 	130 	130 
005704 	309 	51 	130 	130 
005705 	309 	51 	130 	130 
005706 	309 	51 	130 	130 
005707 	309 	51 	130 	130 
005708 	309 	51 	130 	130 
005709 	309 	51 	130 	130 
005710 	309 	51 	130 	130 
005711 	309 	51 	130 	130 
005712 	309 	51 	130 	130 
005713 	302 	51 	130 	130 
005714 	294 	51 	130 	130 
005715 	294 	51 	130 	130 
005716 	294 	51 	130 	130 
005717 	294 	51 	130 	130 
005718 	294 	51 	130 	130 
005719 	294 	51 	130 	130 
005720 	294 	51 	130 	130 
005721 	294 	51 	130 	130 
005722 	294 	51 	130 	130 
005723 	294 	51 	130 	130 
005724 	280 	51 	130 	130 
005725 	280 	51 	130 	130 
005726 	280 	51 	130 	130 
005727 	280 	51 	130 	130 
005728 	294 	51 	130 	130 
005729 	294 	51 	130 	130 
005730 	294 	51 	130 	130 
005731 	297 	51 	130 	130 
005732 	300 	51 	130 	130 
005733 	303 	51 	130 	130 
005734 	306 	51 	130 	130 
005735 	309 	51 	130 	130 
005736 	309 	66 	130 	130 
005737 	309 	66 	130 	130 
005738 	309 	66 	130 	130 
005739 	309 	66 	130 	130 
005740 	309 	51 	130 	130 
005741 	309 	51 	130 	130 
005742 	309 	51 	130 	130 
005743 	309 	51 	130 	130 
005744 	309 	51 	130 	130 
005745 	309 	51 	130 	130 
005746 	309 	51 	130 	130 
005747 	309 	51 	130 	130 
005748 	302 	27 	156 	156 
005749 	323 	51 	130 	130 
005750 	323 	51 	130 	130 
005751 	323 	51 	130 	130 
005752 	323 	51 	130 	130 
005753 	323 	66 	130 	130 
005754 	302 	44 	156 	156 
005755 	323 	66 	130 	130 
005756 	302 	44 	156 	156 
005757 	309 	51 	130 	130 
005758 	309 	51 	130 	130 
005759 	309 	51 	130 	130 
005760 	309 	51 	130 	130 
005761 	309 	51 	130 	130 
005762 	309 	51 	130 	130 
005763 	309 	51 	130 	130 
005764 	309 	51 	130 	130 
005765 	309 	51 	130 	130 
005766 	309 	51 	130 	130 
005767 	309 	51 	130 	130 
005768 	309 	51 	130 	130 
005769 	309 	51 	130 	130 
