Identity  : 	id11152
Reference : 	DuyC53r0ru8
Offset    : 	-2
FV Conf   : 	11.800
ASD Conf  : 	6.985

FRAME 	X 	Y 	W 	H 
002036 	385 	87 	76 	76 
002037 	385 	87 	76 	76 
002038 	383 	85 	91 	91 
002039 	383 	85 	91 	91 
002040 	394 	96 	75 	75 
002041 	402 	96 	76 	75 
002042 	402 	96 	76 	75 
002043 	402 	96 	76 	75 
002044 	393 	95 	91 	91 
002045 	393 	95 	91 	91 
002046 	402 	104 	76 	76 
002047 	393 	95 	91 	91 
002048 	402 	104 	76 	76 
002049 	402 	104 	76 	76 
002050 	393 	95 	91 	91 
002051 	394 	96 	75 	75 
002052 	394 	96 	75 	75 
002053 	394 	96 	75 	75 
002054 	383 	85 	91 	91 
002055 	383 	85 	91 	91 
002056 	385 	87 	76 	76 
002057 	385 	87 	76 	76 
002058 	385 	96 	76 	75 
002059 	373 	85 	91 	91 
002060 	377 	96 	76 	75 
002061 	377 	96 	76 	75 
002062 	385 	87 	76 	76 
002063 	377 	87 	76 	76 
002064 	377 	87 	76 	76 
002065 	373 	75 	91 	91 
002066 	373 	75 	91 	91 
002067 	373 	75 	91 	91 
002068 	373 	75 	91 	91 
002069 	373 	75 	91 	91 
002070 	377 	87 	76 	76 
002071 	377 	87 	76 	76 
002072 	363 	75 	91 	91 
002073 	363 	75 	91 	91 
002074 	363 	75 	91 	91 
002075 	363 	75 	91 	91 
002076 	363 	75 	91 	91 
002077 	377 	79 	76 	76 
002078 	377 	79 	76 	76 
002079 	377 	79 	76 	76 
002080 	377 	79 	76 	76 
002081 	363 	75 	91 	91 
002082 	363 	75 	91 	91 
002083 	363 	75 	91 	91 
002084 	363 	75 	91 	91 
002085 	363 	75 	91 	91 
002086 	363 	75 	91 	91 
002087 	363 	75 	91 	91 
002088 	363 	75 	91 	91 
002089 	363 	75 	91 	91 
002090 	363 	75 	91 	91 
002091 	369 	87 	76 	76 
002092 	353 	85 	91 	91 
002093 	353 	85 	91 	91 
002094 	353 	85 	91 	91 
002095 	353 	85 	91 	91 
002096 	353 	85 	91 	91 
002097 	361 	96 	75 	75 
002098 	361 	96 	75 	75 
002099 	343 	85 	91 	91 
002100 	343 	85 	91 	91 
002101 	343 	85 	91 	91 
002102 	343 	85 	91 	91 
002103 	343 	85 	91 	91 
002104 	343 	85 	91 	91 
002105 	343 	85 	91 	91 
002106 	352 	87 	76 	76 
002107 	343 	75 	91 	91 
002108 	343 	75 	91 	91 
002109 	343 	75 	91 	91 
002110 	343 	75 	91 	91 
002111 	333 	75 	91 	91 
002112 	333 	75 	91 	91 
002113 	333 	75 	91 	91 
002114 	333 	75 	91 	91 
002115 	344 	79 	76 	76 
002116 	344 	79 	76 	76 
002117 	344 	79 	76 	76 
002118 	344 	79 	76 	76 
002119 	344 	79 	76 	76 
002120 	344 	79 	76 	76 
002121 	333 	75 	91 	91 
002122 	333 	75 	91 	91 
002123 	333 	75 	91 	91 
002124 	343 	75 	91 	91 
002125 	343 	75 	91 	91 
002126 	343 	75 	91 	91 
002127 	343 	75 	91 	91 
002128 	343 	75 	91 	91 
002129 	353 	75 	91 	91 
002130 	353 	75 	91 	91 
002131 	353 	75 	91 	91 
002132 	363 	75 	91 	91 
002133 	377 	87 	76 	76 
002134 	377 	87 	76 	76 
002135 	385 	96 	76 	75 
002136 	385 	96 	76 	75 
002137 	385 	96 	76 	75 
002138 	394 	96 	75 	75 
002139 	394 	96 	75 	75 
002140 	394 	96 	75 	75 
002141 	394 	96 	75 	75 
002142 	394 	96 	75 	75 
002143 	394 	96 	75 	75 
002144 	394 	96 	75 	75 
002145 	394 	96 	75 	75 
002146 	383 	95 	91 	91 
002147 	394 	96 	75 	75 
002148 	394 	96 	75 	75 
002149 	394 	96 	75 	75 
002150 	394 	87 	75 	76 
002151 	394 	87 	75 	76 
002152 	385 	79 	76 	76 
002153 	383 	65 	91 	91 
002154 	383 	65 	91 	91 
002155 	373 	65 	91 	91 
002156 	373 	65 	91 	91 
002157 	373 	55 	91 	91 
002158 	373 	65 	91 	91 
002159 	373 	65 	91 	91 
002160 	373 	65 	91 	91 
002161 	363 	65 	91 	91 
002162 	369 	79 	76 	76 
002163 	353 	75 	91 	91 
002164 	353 	75 	91 	91 
002165 	353 	75 	91 	91 
002166 	353 	75 	91 	91 
002167 	343 	75 	91 	91 
002168 	343 	65 	91 	91 
002169 	343 	65 	91 	91 
002170 	343 	65 	91 	91 
002171 	343 	65 	91 	91 
002172 	343 	65 	91 	91 
002173 	333 	65 	91 	91 
002174 	333 	65 	91 	91 
002175 	333 	65 	91 	91 
002176 	333 	65 	91 	91 
002177 	333 	65 	91 	91 
002178 	333 	65 	91 	91 
002179 	343 	65 	91 	91 
002180 	343 	65 	91 	91 
002181 	343 	65 	91 	91 
002182 	343 	65 	91 	91 
002183 	343 	65 	91 	91 
002184 	343 	65 	91 	91 
002185 	343 	65 	91 	91 
002186 	343 	65 	91 	91 
002187 	343 	75 	91 	91 
002188 	343 	75 	91 	91 
002189 	343 	75 	91 	91 
002190 	353 	75 	91 	91 
002191 	353 	75 	91 	91 
002192 	353 	75 	91 	91 
002193 	363 	75 	91 	91 
002194 	363 	75 	91 	91 
002195 	373 	75 	91 	91 
002196 	373 	75 	91 	91 
002197 	373 	65 	91 	91 
002198 	373 	65 	91 	91 
002199 	373 	65 	91 	91 
002200 	373 	65 	91 	91 
002201 	373 	65 	91 	91 
002202 	373 	65 	91 	91 
002203 	373 	65 	91 	91 
002204 	377 	79 	76 	76 
002205 	377 	79 	76 	76 
002206 	363 	75 	91 	91 
002207 	369 	79 	76 	76 
002208 	353 	75 	91 	91 
002209 	353 	75 	91 	91 
002210 	353 	75 	91 	91 
002211 	343 	75 	91 	91 
002212 	343 	75 	91 	91 
002213 	343 	75 	91 	91 
002214 	343 	75 	91 	91 
002215 	343 	75 	91 	91 
002216 	343 	75 	91 	91 
002217 	333 	75 	91 	91 
002218 	333 	75 	91 	91 
002219 	333 	75 	91 	91 
002220 	333 	75 	91 	91 
002221 	333 	75 	91 	91 
002222 	343 	75 	91 	91 
002223 	343 	75 	91 	91 
002224 	343 	75 	91 	91 
002225 	343 	75 	91 	91 
002226 	343 	75 	91 	91 
002227 	343 	75 	91 	91 
002228 	343 	75 	91 	91 
