Identity  : 	id11152
Reference : 	I_jUkSDfAz4
Offset    : 	0
FV Conf   : 	16.320
ASD Conf  : 	8.925

FRAME 	X 	Y 	W 	H 
003689 	195 	112 	75 	76 
003690 	184 	105 	91 	91 
003691 	184 	105 	91 	91 
003692 	184 	105 	91 	91 
003693 	184 	105 	91 	91 
003694 	184 	105 	91 	91 
003695 	184 	105 	91 	91 
003696 	186 	112 	76 	76 
003697 	186 	104 	76 	76 
003698 	186 	104 	76 	76 
003699 	184 	85 	91 	91 
003700 	184 	85 	91 	91 
003701 	184 	85 	91 	91 
003702 	195 	96 	75 	75 
003703 	195 	96 	75 	75 
003704 	195 	96 	75 	75 
003705 	195 	96 	75 	75 
003706 	195 	96 	75 	75 
003707 	184 	85 	91 	91 
003708 	194 	85 	91 	91 
003709 	194 	85 	91 	91 
003710 	194 	85 	91 	91 
003711 	184 	85 	91 	91 
003712 	184 	85 	91 	91 
003713 	184 	85 	91 	91 
003714 	184 	85 	91 	91 
003715 	184 	85 	91 	91 
003716 	184 	85 	91 	91 
003717 	184 	85 	91 	91 
003718 	184 	85 	91 	91 
003719 	184 	85 	91 	91 
003720 	184 	85 	91 	91 
003721 	184 	85 	91 	91 
003722 	184 	85 	91 	91 
003723 	184 	85 	91 	91 
003724 	184 	85 	91 	91 
003725 	184 	85 	91 	91 
003726 	184 	85 	91 	91 
003727 	184 	85 	91 	91 
003728 	184 	85 	91 	91 
003729 	184 	85 	91 	91 
003730 	184 	85 	91 	91 
003731 	184 	85 	91 	91 
003732 	195 	96 	75 	75 
003733 	195 	96 	75 	75 
003734 	195 	96 	75 	75 
003735 	195 	104 	75 	76 
003736 	195 	104 	75 	76 
003737 	194 	95 	91 	91 
003738 	194 	95 	91 	91 
003739 	194 	105 	91 	91 
003740 	194 	105 	91 	91 
003741 	194 	105 	91 	91 
003742 	203 	112 	76 	76 
003743 	194 	105 	91 	91 
003744 	194 	105 	91 	91 
003745 	194 	105 	91 	91 
003746 	194 	95 	91 	91 
003747 	194 	95 	91 	91 
003748 	194 	95 	91 	91 
003749 	194 	95 	91 	91 
003750 	194 	95 	91 	91 
003751 	194 	95 	91 	91 
003752 	195 	104 	75 	76 
003753 	195 	104 	75 	76 
003754 	195 	104 	75 	76 
003755 	195 	104 	75 	76 
003756 	195 	104 	75 	76 
003757 	195 	104 	75 	76 
003758 	195 	104 	75 	76 
003759 	195 	104 	75 	76 
003760 	195 	104 	75 	76 
003761 	195 	104 	75 	76 
003762 	195 	104 	75 	76 
003763 	195 	104 	75 	76 
003764 	184 	95 	91 	91 
003765 	184 	95 	91 	91 
003766 	184 	95 	91 	91 
003767 	195 	96 	75 	75 
003768 	195 	96 	75 	75 
003769 	194 	95 	91 	91 
003770 	194 	95 	91 	91 
003771 	194 	95 	91 	91 
003772 	194 	95 	91 	91 
003773 	194 	95 	91 	91 
003774 	194 	95 	91 	91 
003775 	194 	95 	91 	91 
003776 	194 	95 	91 	91 
003777 	194 	95 	91 	91 
003778 	194 	95 	91 	91 
003779 	194 	95 	91 	91 
003780 	194 	95 	91 	91 
003781 	194 	95 	91 	91 
003782 	195 	96 	75 	75 
003783 	184 	85 	91 	91 
003784 	184 	85 	91 	91 
003785 	184 	85 	91 	91 
003786 	184 	75 	91 	91 
003787 	184 	75 	91 	91 
003788 	186 	96 	76 	75 
003789 	186 	96 	76 	75 
003790 	186 	96 	76 	75 
003791 	174 	85 	91 	91 
003792 	174 	85 	91 	91 
003793 	174 	85 	91 	91 
003794 	178 	87 	76 	76 
003795 	178 	87 	76 	76 
003796 	178 	87 	76 	76 
003797 	178 	87 	76 	76 
003798 	178 	87 	76 	76 
003799 	178 	87 	76 	76 
003800 	178 	87 	76 	76 
