Identity  : 	id11152
Reference : 	WKezfC8TPKw
Offset    : 	-6
FV Conf   : 	15.675
ASD Conf  : 	7.757

FRAME 	X 	Y 	W 	H 
007942 	245 	78 	109 	109 
007943 	245 	78 	109 	109 
007944 	245 	78 	109 	109 
007945 	245 	78 	109 	109 
007946 	257 	78 	109 	109 
007947 	257 	78 	109 	109 
007948 	269 	90 	108 	109 
007949 	281 	90 	108 	109 
007950 	281 	90 	108 	109 
007951 	281 	90 	108 	109 
007952 	281 	90 	108 	109 
007953 	281 	90 	108 	109 
007954 	281 	90 	108 	109 
007955 	281 	90 	108 	109 
007956 	281 	90 	108 	109 
007957 	284 	95 	90 	91 
007958 	281 	78 	108 	109 
007959 	281 	78 	108 	109 
007960 	294 	85 	90 	91 
007961 	294 	85 	90 	91 
007962 	293 	78 	108 	109 
007963 	293 	78 	108 	109 
007964 	304 	95 	90 	91 
007965 	304 	95 	90 	91 
007966 	304 	95 	90 	91 
007967 	294 	95 	90 	91 
007968 	294 	95 	90 	91 
007969 	281 	90 	108 	109 
007970 	269 	90 	108 	109 
007971 	257 	78 	109 	109 
007972 	245 	78 	109 	109 
007973 	245 	78 	109 	109 
007974 	233 	78 	109 	109 
007975 	233 	78 	109 	109 
007976 	233 	78 	109 	109 
007977 	233 	78 	109 	109 
007978 	233 	66 	109 	109 
007979 	233 	66 	109 	109 
007980 	233 	78 	109 	109 
007981 	233 	78 	109 	109 
007982 	233 	78 	109 	109 
007983 	233 	78 	109 	109 
007984 	233 	78 	109 	109 
007985 	245 	78 	109 	109 
007986 	245 	78 	109 	109 
007987 	245 	78 	109 	109 
007988 	245 	78 	109 	109 
007989 	245 	78 	109 	109 
007990 	245 	78 	109 	109 
007991 	245 	78 	109 	109 
007992 	245 	78 	109 	109 
007993 	245 	90 	109 	109 
007994 	245 	90 	109 	109 
007995 	233 	90 	109 	109 
007996 	233 	78 	109 	109 
007997 	233 	78 	109 	109 
007998 	233 	78 	109 	109 
007999 	233 	78 	109 	109 
008000 	245 	78 	109 	109 
008001 	245 	78 	109 	109 
008002 	245 	78 	109 	109 
008003 	245 	78 	109 	109 
008004 	245 	78 	109 	109 
008005 	245 	78 	109 	109 
008006 	257 	78 	109 	109 
008007 	257 	66 	109 	109 
008008 	269 	66 	108 	109 
008009 	281 	78 	108 	109 
008010 	281 	78 	108 	109 
008011 	293 	78 	108 	109 
008012 	305 	78 	108 	109 
008013 	305 	78 	108 	109 
