Identity  : 	id11152
Reference : 	hZVePVkaaW0
Offset    : 	-1
FV Conf   : 	14.724
ASD Conf  : 	6.228

FRAME 	X 	Y 	W 	H 
004877 	156 	74 	187 	187 
004878 	181 	79 	156 	156 
004879 	181 	79 	156 	156 
004880 	181 	79 	156 	156 
004881 	181 	79 	156 	156 
004882 	181 	79 	156 	156 
004883 	181 	79 	156 	156 
004884 	181 	79 	156 	156 
004885 	208 	94 	130 	130 
004886 	199 	79 	155 	156 
004887 	199 	79 	155 	156 
004888 	223 	94 	130 	130 
004889 	197 	74 	187 	187 
004890 	197 	74 	187 	187 
004891 	197 	74 	187 	187 
004892 	197 	74 	187 	187 
004893 	197 	74 	187 	187 
004894 	197 	74 	187 	187 
004895 	216 	96 	156 	156 
004896 	216 	96 	156 	156 
004897 	197 	95 	187 	186 
004898 	216 	113 	156 	156 
004899 	216 	113 	156 	156 
004900 	216 	113 	156 	156 
004901 	216 	113 	156 	156 
004902 	217 	104 	172 	171 
004903 	218 	95 	187 	186 
004904 	218 	95 	187 	186 
004905 	218 	95 	187 	186 
004906 	218 	95 	187 	186 
004907 	218 	95 	187 	186 
004908 	233 	130 	156 	156 
004909 	233 	130 	156 	156 
004910 	218 	95 	187 	186 
004911 	218 	95 	187 	186 
004912 	218 	95 	187 	186 
004913 	218 	95 	187 	186 
004914 	218 	95 	187 	186 
004915 	218 	95 	187 	186 
004916 	218 	95 	187 	186 
004917 	233 	96 	156 	156 
004918 	251 	109 	130 	130 
004919 	233 	96 	156 	156 
004920 	233 	96 	156 	156 
004921 	197 	74 	187 	187 
004922 	197 	74 	187 	187 
004923 	197 	74 	187 	187 
004924 	197 	74 	187 	187 
004925 	197 	74 	187 	187 
004926 	197 	74 	187 	187 
004927 	197 	74 	187 	187 
004928 	199 	79 	155 	156 
004929 	199 	79 	155 	156 
004930 	199 	79 	155 	156 
004931 	199 	79 	155 	156 
004932 	199 	96 	155 	156 
004933 	177 	74 	187 	187 
004934 	177 	74 	187 	187 
004935 	177 	74 	187 	187 
004936 	177 	74 	187 	187 
004937 	177 	74 	187 	187 
004938 	177 	74 	187 	187 
004939 	177 	74 	187 	187 
004940 	197 	74 	187 	187 
004941 	223 	109 	130 	130 
004942 	223 	109 	130 	130 
004943 	223 	109 	130 	130 
004944 	216 	96 	156 	156 
004945 	197 	74 	187 	187 
004946 	216 	96 	156 	156 
004947 	216 	79 	156 	156 
004948 	216 	79 	156 	156 
004949 	237 	94 	130 	130 
004950 	237 	94 	130 	130 
004951 	216 	79 	156 	156 
004952 	216 	79 	156 	156 
004953 	223 	94 	130 	130 
004954 	223 	94 	130 	130 
004955 	223 	94 	130 	130 
004956 	223 	94 	130 	130 
004957 	223 	94 	130 	130 
004958 	223 	94 	130 	130 
004959 	223 	94 	130 	130 
004960 	223 	94 	130 	130 
004961 	199 	79 	155 	156 
004962 	199 	79 	155 	156 
004963 	199 	79 	155 	156 
004964 	199 	79 	155 	156 
004965 	199 	79 	155 	156 
004966 	223 	94 	130 	130 
004967 	197 	53 	187 	187 
004968 	216 	79 	156 	156 
004969 	216 	79 	156 	156 
004970 	216 	79 	156 	156 
004971 	216 	79 	156 	156 
004972 	216 	79 	156 	156 
004973 	216 	79 	156 	156 
004974 	216 	79 	156 	156 
004975 	216 	79 	156 	156 
004976 	216 	79 	156 	156 
004977 	216 	79 	156 	156 
004978 	216 	79 	156 	156 
004979 	216 	79 	156 	156 
004980 	216 	79 	156 	156 
004981 	216 	79 	156 	156 
004982 	216 	79 	156 	156 
