Identity  : 	id11152
Reference : 	nXZszoPK7Ms
Offset    : 	-1
FV Conf   : 	13.369
ASD Conf  : 	9.084

FRAME 	X 	Y 	W 	H 
003252 	274 	115 	90 	91 
003253 	264 	115 	90 	91 
003254 	245 	102 	109 	109 
003255 	245 	102 	109 	109 
003256 	244 	105 	90 	91 
003257 	233 	90 	109 	109 
003258 	233 	90 	109 	109 
003259 	233 	90 	109 	109 
003260 	233 	90 	109 	109 
003261 	244 	105 	90 	91 
003262 	254 	105 	90 	91 
003263 	245 	90 	109 	109 
003264 	245 	90 	109 	109 
003265 	257 	90 	109 	109 
003266 	257 	90 	109 	109 
003267 	257 	90 	109 	109 
003268 	269 	90 	108 	109 
003269 	269 	90 	108 	109 
003270 	284 	95 	90 	91 
003271 	284 	95 	90 	91 
003272 	284 	95 	90 	91 
003273 	281 	90 	108 	109 
003274 	284 	95 	90 	91 
003275 	284 	95 	90 	91 
003276 	284 	95 	90 	91 
003277 	269 	90 	108 	109 
003278 	269 	90 	108 	109 
003279 	269 	90 	108 	109 
003280 	269 	90 	108 	109 
003281 	269 	90 	108 	109 
003282 	257 	78 	109 	109 
003283 	257 	78 	109 	109 
003284 	257 	78 	109 	109 
003285 	257 	78 	109 	109 
003286 	245 	78 	109 	109 
003287 	264 	85 	90 	91 
003288 	264 	85 	90 	91 
003289 	264 	85 	90 	91 
003290 	264 	85 	90 	91 
003291 	257 	78 	109 	109 
003292 	257 	78 	109 	109 
003293 	257 	78 	109 	109 
003294 	257 	78 	109 	109 
003295 	257 	78 	109 	109 
003296 	257 	78 	109 	109 
003297 	257 	78 	109 	109 
003298 	257 	78 	109 	109 
003299 	257 	78 	109 	109 
003300 	264 	85 	90 	91 
003301 	245 	78 	109 	109 
003302 	245 	78 	109 	109 
003303 	245 	78 	109 	109 
003304 	245 	78 	109 	109 
003305 	245 	66 	109 	109 
003306 	245 	66 	109 	109 
003307 	245 	66 	109 	109 
003308 	245 	66 	109 	109 
003309 	245 	66 	109 	109 
003310 	245 	66 	109 	109 
003311 	245 	78 	109 	109 
003312 	245 	78 	109 	109 
003313 	245 	78 	109 	109 
003314 	245 	78 	109 	109 
003315 	245 	78 	109 	109 
003316 	245 	78 	109 	109 
003317 	245 	78 	109 	109 
003318 	245 	78 	109 	109 
003319 	245 	78 	109 	109 
003320 	245 	78 	109 	109 
003321 	245 	78 	109 	109 
003322 	245 	78 	109 	109 
003323 	245 	78 	109 	109 
003324 	245 	78 	109 	109 
003325 	245 	78 	109 	109 
003326 	245 	78 	109 	109 
003327 	245 	78 	109 	109 
003328 	257 	78 	109 	109 
003329 	257 	78 	109 	109 
003330 	257 	78 	109 	109 
003331 	257 	90 	109 	109 
003332 	257 	90 	109 	109 
003333 	257 	90 	109 	109 
003334 	257 	90 	109 	109 
003335 	257 	90 	109 	109 
003336 	257 	90 	109 	109 
003337 	257 	90 	109 	109 
003338 	257 	90 	109 	109 
003339 	257 	90 	109 	109 
003340 	257 	90 	109 	109 
003341 	257 	90 	109 	109 
003342 	257 	90 	109 	109 
003343 	257 	90 	109 	109 
003344 	257 	90 	109 	109 
003345 	269 	90 	108 	109 
003346 	269 	90 	108 	109 
003347 	269 	90 	108 	109 
003348 	269 	90 	108 	109 
003349 	269 	90 	108 	109 
003350 	269 	90 	108 	109 
003351 	269 	90 	108 	109 
003352 	269 	90 	108 	109 
003353 	269 	90 	108 	109 
003354 	269 	90 	108 	109 
003355 	269 	90 	108 	109 
003356 	269 	90 	108 	109 
