Identity  : 	id11170
Reference : 	AVSiY2PbTtc
Offset    : 	-4
FV Conf   : 	15.812
ASD Conf  : 	6.256

FRAME 	X 	Y 	W 	H 
007215 	120 	104 	76 	76 
007216 	120 	104 	76 	76 
007217 	120 	104 	76 	76 
007218 	120 	104 	76 	76 
007219 	128 	112 	76 	76 
007220 	128 	104 	76 	76 
007221 	128 	104 	76 	76 
007222 	128 	104 	76 	76 
007223 	128 	96 	76 	75 
007224 	141 	100 	64 	64 
007225 	137 	96 	75 	75 
007226 	137 	96 	75 	75 
007227 	128 	87 	76 	76 
007228 	128 	87 	76 	76 
007229 	128 	87 	76 	76 
007230 	128 	79 	76 	76 
007231 	124 	75 	91 	91 
007232 	137 	79 	75 	76 
007233 	137 	79 	75 	76 
007234 	137 	79 	75 	76 
007235 	137 	79 	75 	76 
007236 	145 	79 	76 	76 
007237 	145 	79 	76 	76 
007238 	153 	79 	76 	76 
007239 	153 	79 	76 	76 
007240 	153 	79 	76 	76 
007241 	154 	75 	91 	91 
007242 	162 	79 	75 	76 
007243 	162 	87 	75 	76 
007244 	164 	85 	91 	91 
007245 	170 	87 	75 	76 
007246 	170 	96 	75 	75 
007247 	170 	96 	75 	75 
007248 	178 	96 	76 	75 
007249 	178 	96 	76 	75 
007250 	178 	96 	76 	75 
007251 	186 	96 	76 	75 
007252 	186 	96 	76 	75 
007253 	186 	96 	76 	75 
007254 	186 	96 	76 	75 
007255 	197 	93 	63 	64 
007256 	186 	96 	76 	75 
007257 	186 	96 	76 	75 
007258 	178 	96 	76 	75 
007259 	178 	96 	76 	75 
007260 	164 	95 	91 	91 
007261 	164 	95 	91 	91 
007262 	162 	104 	75 	76 
007263 	154 	95 	91 	91 
007264 	154 	95 	91 	91 
007265 	154 	95 	91 	91 
007266 	154 	95 	91 	91 
007267 	162 	104 	75 	76 
007268 	162 	104 	75 	76 
007269 	162 	104 	75 	76 
007270 	154 	95 	91 	91 
007271 	154 	95 	91 	91 
007272 	154 	95 	91 	91 
007273 	153 	96 	76 	75 
007274 	153 	96 	76 	75 
007275 	153 	96 	76 	75 
007276 	153 	87 	76 	76 
007277 	154 	85 	91 	91 
007278 	154 	85 	91 	91 
007279 	153 	87 	76 	76 
007280 	153 	87 	76 	76 
007281 	145 	96 	76 	75 
007282 	145 	104 	76 	76 
007283 	145 	104 	76 	76 
007284 	134 	95 	91 	91 
007285 	134 	95 	91 	91 
007286 	134 	95 	91 	91 
007287 	145 	104 	76 	76 
007288 	145 	104 	76 	76 
007289 	145 	104 	76 	76 
007290 	145 	104 	76 	76 
007291 	145 	104 	76 	76 
007292 	145 	104 	76 	76 
007293 	145 	104 	76 	76 
007294 	144 	95 	91 	91 
007295 	144 	95 	91 	91 
007296 	144 	95 	91 	91 
007297 	144 	95 	91 	91 
007298 	153 	104 	76 	76 
007299 	153 	104 	76 	76 
007300 	153 	104 	76 	76 
007301 	162 	104 	75 	76 
007302 	162 	104 	75 	76 
007303 	154 	95 	91 	91 
007304 	154 	95 	91 	91 
007305 	154 	95 	91 	91 
007306 	154 	95 	91 	91 
007307 	154 	95 	91 	91 
007308 	170 	104 	75 	76 
007309 	170 	104 	75 	76 
007310 	170 	104 	75 	76 
007311 	170 	104 	75 	76 
007312 	164 	95 	91 	91 
007313 	164 	95 	91 	91 
007314 	164 	95 	91 	91 
007315 	164 	95 	91 	91 
007316 	178 	104 	76 	76 
007317 	178 	104 	76 	76 
007318 	178 	104 	76 	76 
007319 	178 	104 	76 	76 
007320 	178 	104 	76 	76 
007321 	178 	104 	76 	76 
007322 	178 	104 	76 	76 
007323 	178 	104 	76 	76 
007324 	178 	104 	76 	76 
007325 	178 	104 	76 	76 
007326 	178 	104 	76 	76 
007327 	178 	104 	76 	76 
007328 	174 	95 	91 	91 
007329 	174 	85 	91 	91 
007330 	174 	85 	91 	91 
007331 	186 	87 	76 	76 
007332 	186 	87 	76 	76 
007333 	186 	87 	76 	76 
