Identity  : 	id11170
Reference : 	MttkU1NuJ00
Offset    : 	-1
FV Conf   : 	13.362
ASD Conf  : 	6.846

FRAME 	X 	Y 	W 	H 
004774 	185 	66 	109 	109 
004775 	185 	78 	109 	109 
004776 	185 	78 	109 	109 
004777 	185 	78 	109 	109 
004778 	185 	78 	109 	109 
004779 	185 	78 	109 	109 
004780 	197 	90 	109 	109 
004781 	197 	90 	109 	109 
004782 	197 	90 	109 	109 
004783 	197 	102 	109 	109 
004784 	209 	102 	109 	109 
004785 	209 	102 	109 	109 
004786 	209 	114 	109 	109 
004787 	209 	114 	109 	109 
004788 	209 	114 	109 	109 
004789 	208 	109 	130 	130 
004790 	208 	109 	130 	130 
004791 	208 	109 	130 	130 
004792 	208 	109 	130 	130 
004793 	208 	94 	130 	130 
004794 	208 	94 	130 	130 
004795 	208 	94 	130 	130 
004796 	208 	93 	123 	123 
004797 	209 	91 	116 	116 
004798 	209 	90 	109 	109 
004799 	203 	90 	109 	109 
004800 	197 	90 	109 	109 
004801 	185 	78 	109 	109 
004802 	185 	78 	109 	109 
004803 	185 	78 	109 	109 
004804 	185 	66 	109 	109 
004805 	185 	66 	109 	109 
004806 	185 	66 	109 	109 
004807 	185 	66 	109 	109 
004808 	185 	66 	109 	109 
004809 	197 	78 	109 	109 
004810 	197 	90 	109 	109 
004811 	197 	90 	109 	109 
004812 	209 	102 	109 	109 
004813 	209 	102 	109 	109 
004814 	208 	109 	130 	130 
004815 	208 	109 	130 	130 
004816 	221 	126 	109 	109 
004817 	221 	126 	109 	109 
004818 	221 	126 	109 	109 
004819 	233 	138 	109 	109 
004820 	233 	138 	109 	109 
004821 	233 	138 	109 	109 
004822 	233 	150 	109 	109 
004823 	233 	150 	109 	109 
004824 	233 	150 	109 	109 
004825 	233 	138 	109 	109 
004826 	233 	138 	109 	109 
004827 	233 	138 	109 	109 
004828 	233 	138 	109 	109 
004829 	233 	126 	109 	109 
004830 	221 	126 	109 	109 
004831 	221 	126 	109 	109 
004832 	208 	109 	130 	130 
004833 	208 	109 	130 	130 
004834 	209 	102 	109 	109 
004835 	209 	102 	109 	109 
004836 	203 	102 	109 	109 
004837 	197 	102 	109 	109 
004838 	197 	90 	109 	109 
004839 	185 	90 	109 	109 
004840 	173 	90 	109 	109 
004841 	161 	90 	109 	109 
004842 	161 	102 	109 	109 
004843 	150 	102 	108 	109 
004844 	138 	90 	108 	109 
004845 	144 	95 	91 	91 
004846 	126 	78 	108 	109 
004847 	126 	78 	108 	109 
004848 	126 	78 	108 	109 
004849 	124 	85 	91 	91 
004850 	124 	85 	91 	91 
004851 	124 	85 	91 	91 
004852 	124 	85 	91 	91 
004853 	124 	85 	91 	91 
004854 	124 	75 	91 	91 
004855 	114 	78 	108 	109 
004856 	114 	78 	108 	109 
004857 	114 	78 	108 	109 
004858 	124 	75 	91 	91 
004859 	124 	75 	91 	91 
004860 	124 	75 	91 	91 
004861 	124 	75 	91 	91 
004862 	124 	75 	91 	91 
004863 	134 	85 	91 	91 
004864 	126 	78 	108 	109 
004865 	134 	85 	91 	91 
004866 	134 	85 	91 	91 
004867 	134 	75 	91 	91 
004868 	134 	75 	91 	91 
004869 	134 	75 	91 	91 
004870 	134 	75 	91 	91 
004871 	134 	75 	91 	91 
004872 	134 	75 	91 	91 
004873 	134 	75 	91 	91 
004874 	134 	75 	91 	91 
004875 	134 	75 	91 	91 
004876 	134 	75 	91 	91 
004877 	134 	75 	91 	91 
004878 	134 	75 	91 	91 
004879 	134 	75 	91 	91 
004880 	126 	78 	108 	109 
004881 	126 	78 	108 	109 
004882 	126 	78 	108 	109 
004883 	144 	85 	91 	91 
004884 	144 	85 	91 	91 
004885 	144 	85 	91 	91 
004886 	144 	85 	91 	91 
004887 	144 	85 	91 	91 
004888 	138 	78 	108 	109 
004889 	150 	66 	108 	109 
004890 	150 	66 	108 	109 
004891 	150 	66 	108 	109 
004892 	150 	66 	108 	109 
004893 	150 	66 	108 	109 
004894 	150 	66 	108 	109 
004895 	150 	66 	108 	109 
004896 	161 	66 	109 	109 
004897 	161 	66 	109 	109 
004898 	161 	66 	109 	109 
004899 	161 	66 	109 	109 
004900 	161 	66 	109 	109 
004901 	161 	66 	109 	109 
004902 	161 	78 	109 	109 
004903 	161 	78 	109 	109 
004904 	161 	90 	109 	109 
004905 	161 	90 	109 	109 
004906 	161 	102 	109 	109 
004907 	161 	102 	109 	109 
