Identity  : 	id11170
Reference : 	_lp2R7hhyHM
Offset    : 	-2
FV Conf   : 	14.620
ASD Conf  : 	6.076

FRAME 	X 	Y 	W 	H 
004383 	341 	54 	108 	109 
004384 	341 	54 	108 	109 
004385 	353 	65 	91 	91 
004386 	353 	65 	91 	91 
004387 	353 	65 	91 	91 
004388 	353 	65 	91 	91 
004389 	353 	65 	91 	91 
004390 	353 	65 	91 	91 
004391 	353 	65 	91 	91 
004392 	353 	65 	91 	91 
004393 	353 	65 	91 	91 
004394 	353 	65 	91 	91 
004395 	353 	65 	91 	91 
004396 	353 	65 	91 	91 
004397 	353 	65 	91 	91 
004398 	353 	65 	91 	91 
004399 	353 	65 	91 	91 
004400 	353 	65 	91 	91 
004401 	353 	65 	91 	91 
004402 	353 	65 	91 	91 
004403 	353 	65 	91 	91 
004404 	341 	66 	108 	109 
004405 	341 	66 	108 	109 
004406 	353 	66 	108 	109 
004407 	353 	66 	108 	109 
004408 	363 	65 	91 	91 
004409 	363 	65 	91 	91 
004410 	363 	65 	91 	91 
004411 	363 	65 	91 	91 
004412 	353 	66 	108 	109 
004413 	353 	66 	108 	109 
004414 	353 	66 	108 	109 
004415 	353 	66 	108 	109 
004416 	363 	75 	91 	91 
004417 	353 	66 	108 	109 
004418 	353 	66 	108 	109 
004419 	353 	66 	108 	109 
004420 	341 	66 	108 	109 
004421 	341 	66 	108 	109 
004422 	341 	78 	108 	109 
004423 	329 	78 	108 	109 
004424 	329 	78 	108 	109 
004425 	343 	95 	91 	91 
004426 	343 	85 	91 	91 
004427 	329 	78 	108 	109 
004428 	329 	90 	108 	109 
004429 	329 	90 	108 	109 
004430 	329 	90 	108 	109 
004431 	329 	90 	108 	109 
004432 	333 	95 	91 	91 
004433 	333 	95 	91 	91 
004434 	333 	95 	91 	91 
004435 	333 	95 	91 	91 
004436 	333 	95 	91 	91 
004437 	329 	78 	108 	109 
004438 	329 	78 	108 	109 
004439 	329 	78 	108 	109 
004440 	329 	66 	108 	109 
004441 	329 	66 	108 	109 
004442 	343 	65 	91 	91 
004443 	343 	65 	91 	91 
004444 	343 	65 	91 	91 
004445 	341 	54 	108 	109 
004446 	341 	54 	108 	109 
004447 	353 	55 	91 	91 
004448 	341 	43 	108 	108 
004449 	353 	45 	91 	91 
004450 	353 	45 	91 	91 
004451 	353 	45 	91 	91 
004452 	353 	45 	91 	91 
004453 	353 	45 	91 	91 
004454 	353 	45 	91 	91 
004455 	353 	35 	91 	91 
004456 	353 	35 	91 	91 
004457 	343 	35 	91 	91 
004458 	343 	35 	91 	91 
004459 	343 	35 	91 	91 
004460 	343 	35 	91 	91 
004461 	333 	35 	91 	91 
004462 	333 	35 	91 	91 
004463 	323 	35 	91 	91 
004464 	323 	35 	91 	91 
004465 	323 	35 	91 	91 
004466 	314 	35 	90 	91 
004467 	314 	35 	90 	91 
004468 	314 	35 	90 	91 
004469 	314 	35 	90 	91 
004470 	319 	46 	76 	76 
004471 	304 	35 	90 	91 
004472 	304 	35 	90 	91 
004473 	311 	46 	75 	76 
004474 	304 	45 	90 	91 
004475 	304 	45 	90 	91 
004476 	311 	46 	75 	76 
004477 	311 	46 	75 	76 
004478 	311 	46 	75 	76 
004479 	304 	45 	90 	91 
004480 	311 	46 	75 	76 
004481 	304 	45 	90 	91 
004482 	304 	45 	90 	91 
004483 	311 	46 	75 	76 
004484 	304 	45 	90 	91 
004485 	304 	45 	90 	91 
004486 	304 	45 	90 	91 
004487 	304 	45 	90 	91 
004488 	304 	45 	90 	91 
004489 	304 	45 	90 	91 
004490 	304 	45 	90 	91 
004491 	304 	45 	90 	91 
004492 	304 	45 	90 	91 
004493 	304 	45 	90 	91 
004494 	304 	45 	90 	91 
004495 	304 	45 	90 	91 
004496 	304 	45 	90 	91 
004497 	304 	45 	90 	91 
004498 	304 	45 	90 	91 
004499 	304 	45 	90 	91 
004500 	304 	45 	90 	91 
004501 	304 	45 	90 	91 
004502 	304 	45 	90 	91 
004503 	304 	45 	90 	91 
004504 	304 	45 	90 	91 
004505 	304 	45 	90 	91 
004506 	314 	45 	90 	91 
004507 	314 	45 	90 	91 
