Identity  : 	id11170
Reference : 	pX4D7Rf1aPw
Offset    : 	-1
FV Conf   : 	16.224
ASD Conf  : 	7.939

FRAME 	X 	Y 	W 	H 
002766 	197 	138 	109 	109 
002767 	197 	126 	109 	109 
002768 	185 	126 	109 	109 
002769 	185 	126 	109 	109 
002770 	185 	138 	109 	109 
002771 	185 	138 	109 	109 
002772 	197 	138 	109 	109 
002773 	197 	126 	109 	109 
002774 	197 	126 	109 	109 
002775 	180 	109 	130 	130 
002776 	180 	109 	130 	130 
002777 	185 	126 	109 	109 
002778 	185 	126 	109 	109 
002779 	185 	126 	109 	109 
002780 	180 	109 	130 	130 
002781 	180 	109 	130 	130 
002782 	180 	109 	130 	130 
002783 	180 	109 	130 	130 
002784 	180 	109 	130 	130 
002785 	180 	109 	130 	130 
002786 	197 	114 	109 	109 
002787 	185 	114 	109 	109 
002788 	185 	114 	109 	109 
002789 	185 	114 	109 	109 
002790 	185 	114 	109 	109 
002791 	185 	114 	109 	109 
002792 	185 	126 	109 	109 
002793 	197 	126 	109 	109 
002794 	197 	126 	109 	109 
002795 	197 	126 	109 	109 
002796 	197 	114 	109 	109 
002797 	197 	114 	109 	109 
002798 	197 	114 	109 	109 
002799 	185 	114 	109 	109 
002800 	180 	109 	130 	130 
002801 	197 	126 	109 	109 
002802 	197 	126 	109 	109 
002803 	197 	114 	109 	109 
002804 	180 	109 	130 	130 
002805 	197 	114 	109 	109 
002806 	197 	114 	109 	109 
002807 	180 	94 	130 	130 
002808 	180 	94 	130 	130 
002809 	185 	114 	109 	109 
002810 	185 	114 	109 	109 
002811 	185 	114 	109 	109 
002812 	185 	114 	109 	109 
002813 	185 	114 	109 	109 
002814 	185 	114 	109 	109 
002815 	185 	114 	109 	109 
002816 	185 	114 	109 	109 
002817 	185 	114 	109 	109 
002818 	185 	114 	109 	109 
002819 	185 	114 	109 	109 
002820 	185 	114 	109 	109 
002821 	185 	114 	109 	109 
002822 	173 	114 	109 	109 
002823 	173 	114 	109 	109 
002824 	173 	114 	109 	109 
002825 	173 	114 	109 	109 
002826 	173 	114 	109 	109 
002827 	173 	114 	109 	109 
002828 	173 	114 	109 	109 
002829 	173 	114 	109 	109 
002830 	173 	114 	109 	109 
002831 	173 	114 	109 	109 
002832 	173 	114 	109 	109 
002833 	173 	114 	109 	109 
002834 	173 	114 	109 	109 
002835 	173 	114 	109 	109 
002836 	173 	114 	109 	109 
002837 	173 	114 	109 	109 
002838 	173 	114 	109 	109 
002839 	173 	114 	109 	109 
002840 	173 	114 	109 	109 
002841 	173 	114 	109 	109 
002842 	173 	114 	109 	109 
002843 	185 	114 	109 	109 
002844 	185 	114 	109 	109 
002845 	185 	114 	109 	109 
002846 	185 	114 	109 	109 
002847 	185 	126 	109 	109 
002848 	185 	126 	109 	109 
002849 	185 	126 	109 	109 
002850 	185 	126 	109 	109 
002851 	185 	126 	109 	109 
002852 	185 	126 	109 	109 
002853 	185 	126 	109 	109 
002854 	185 	114 	109 	109 
002855 	185 	114 	109 	109 
002856 	185 	114 	109 	109 
002857 	185 	114 	109 	109 
002858 	185 	114 	109 	109 
002859 	185 	114 	109 	109 
002860 	185 	114 	109 	109 
002861 	185 	114 	109 	109 
002862 	185 	114 	109 	109 
002863 	185 	114 	109 	109 
002864 	185 	114 	109 	109 
002865 	185 	114 	109 	109 
002866 	185 	114 	109 	109 
002867 	185 	114 	109 	109 
002868 	185 	114 	109 	109 
002869 	185 	114 	109 	109 
002870 	185 	114 	109 	109 
002871 	185 	114 	109 	109 
002872 	185 	114 	109 	109 
002873 	185 	114 	109 	109 
002874 	185 	114 	109 	109 
002875 	185 	114 	109 	109 
002876 	185 	114 	109 	109 
002877 	185 	114 	109 	109 
002878 	185 	114 	109 	109 
002879 	185 	114 	109 	109 
002880 	185 	114 	109 	109 
002881 	185 	114 	109 	109 
002882 	173 	114 	109 	109 
002883 	173 	114 	109 	109 
002884 	173 	114 	109 	109 
002885 	173 	114 	109 	109 
002886 	173 	114 	109 	109 
002887 	173 	114 	109 	109 
002888 	173 	114 	109 	109 
002889 	173 	114 	109 	109 
002890 	173 	114 	109 	109 
002891 	173 	114 	109 	109 
002892 	173 	114 	109 	109 
002893 	173 	114 	109 	109 
002894 	173 	114 	109 	109 
002895 	173 	114 	109 	109 
002896 	173 	114 	109 	109 
002897 	173 	114 	109 	109 
002898 	173 	114 	109 	109 
002899 	173 	114 	109 	109 
002900 	173 	114 	109 	109 
002901 	173 	114 	109 	109 
002902 	173 	114 	109 	109 
002903 	173 	114 	109 	109 
002904 	173 	114 	109 	109 
002905 	173 	114 	109 	109 
002906 	173 	114 	109 	109 
002907 	173 	114 	109 	109 
002908 	173 	114 	109 	109 
002909 	173 	114 	109 	109 
002910 	173 	114 	109 	109 
002911 	173 	114 	109 	109 
002912 	173 	114 	109 	109 
002913 	173 	114 	109 	109 
002914 	173 	114 	109 	109 
002915 	173 	114 	109 	109 
002916 	173 	114 	109 	109 
002917 	173 	114 	109 	109 
002918 	173 	114 	109 	109 
002919 	173 	114 	109 	109 
002920 	173 	114 	109 	109 
002921 	173 	114 	109 	109 
002922 	173 	114 	109 	109 
002923 	173 	114 	109 	109 
002924 	173 	114 	109 	109 
002925 	173 	114 	109 	109 
002926 	173 	114 	109 	109 
002927 	173 	114 	109 	109 
002928 	173 	114 	109 	109 
002929 	173 	114 	109 	109 
002930 	173 	114 	109 	109 
002931 	161 	114 	109 	109 
002932 	161 	114 	109 	109 
002933 	173 	114 	109 	109 
002934 	173 	114 	109 	109 
002935 	173 	114 	109 	109 
002936 	173 	114 	109 	109 
002937 	173 	114 	109 	109 
002938 	173 	114 	109 	109 
002939 	173 	114 	109 	109 
002940 	173 	114 	109 	109 
002941 	173 	114 	109 	109 
002942 	173 	114 	109 	109 
002943 	173 	114 	109 	109 
002944 	173 	114 	109 	109 
002945 	173 	114 	109 	109 
002946 	173 	114 	109 	109 
002947 	173 	114 	109 	109 
002948 	173 	114 	109 	109 
002949 	173 	114 	109 	109 
002950 	173 	114 	109 	109 
002951 	173 	114 	109 	109 
002952 	173 	114 	109 	109 
002953 	173 	114 	109 	109 
002954 	173 	114 	109 	109 
002955 	173 	114 	109 	109 
002956 	173 	114 	109 	109 
002957 	173 	114 	109 	109 
002958 	173 	114 	109 	109 
002959 	173 	114 	109 	109 
002960 	173 	114 	109 	109 
002961 	173 	114 	109 	109 
002962 	173 	114 	109 	109 
002963 	173 	114 	109 	109 
002964 	173 	114 	109 	109 
002965 	173 	114 	109 	109 
