Identity  : 	id11191
Reference : 	GzDzAW8NiPs
Offset    : 	-1
FV Conf   : 	14.267
ASD Conf  : 	4.921

FRAME 	X 	Y 	W 	H 
005256 	294 	105 	90 	91 
005257 	294 	105 	90 	91 
005258 	294 	105 	90 	91 
005259 	294 	105 	90 	91 
005260 	294 	105 	90 	91 
005261 	294 	105 	90 	91 
005262 	281 	90 	108 	109 
005263 	281 	90 	108 	109 
005264 	281 	90 	108 	109 
005265 	281 	90 	108 	109 
005266 	294 	105 	90 	91 
005267 	294 	105 	90 	91 
005268 	294 	105 	90 	91 
005269 	294 	105 	90 	91 
005270 	281 	102 	108 	109 
005271 	281 	102 	108 	109 
005272 	294 	115 	90 	91 
005273 	294 	115 	90 	91 
005274 	293 	102 	108 	109 
005275 	293 	102 	108 	109 
005276 	293 	102 	108 	109 
005277 	304 	105 	90 	91 
005278 	304 	105 	90 	91 
005279 	305 	90 	108 	109 
005280 	305 	90 	108 	109 
005281 	293 	90 	108 	109 
005282 	293 	90 	108 	109 
005283 	293 	90 	108 	109 
005284 	293 	90 	108 	109 
005285 	293 	90 	108 	109 
005286 	293 	90 	108 	109 
005287 	304 	95 	90 	91 
005288 	304 	95 	90 	91 
005289 	304 	95 	90 	91 
005290 	304 	95 	90 	91 
005291 	304 	95 	90 	91 
005292 	304 	95 	90 	91 
005293 	304 	105 	90 	91 
005294 	304 	105 	90 	91 
005295 	304 	105 	90 	91 
005296 	304 	105 	90 	91 
005297 	304 	105 	90 	91 
005298 	304 	105 	90 	91 
005299 	304 	105 	90 	91 
005300 	304 	105 	90 	91 
005301 	304 	95 	90 	91 
005302 	304 	95 	90 	91 
005303 	314 	95 	90 	91 
005304 	314 	95 	90 	91 
005305 	314 	95 	90 	91 
005306 	314 	105 	90 	91 
005307 	314 	105 	90 	91 
005308 	314 	95 	90 	91 
005309 	314 	95 	90 	91 
005310 	314 	95 	90 	91 
005311 	314 	95 	90 	91 
005312 	317 	90 	108 	109 
005313 	323 	105 	91 	91 
005314 	323 	105 	91 	91 
005315 	323 	105 	91 	91 
005316 	333 	105 	91 	91 
005317 	329 	102 	108 	109 
005318 	336 	104 	100 	100 
005319 	343 	105 	91 	91 
005320 	342 	98 	100 	100 
005321 	341 	90 	108 	109 
005322 	341 	90 	108 	109 
005323 	341 	90 	108 	109 
005324 	341 	90 	108 	109 
005325 	341 	90 	108 	109 
005326 	341 	90 	108 	109 
005327 	329 	90 	108 	109 
005328 	329 	90 	108 	109 
005329 	333 	105 	91 	91 
005330 	317 	90 	108 	109 
005331 	323 	95 	91 	91 
005332 	305 	90 	108 	109 
005333 	305 	90 	108 	109 
005334 	304 	95 	90 	91 
005335 	293 	90 	108 	109 
005336 	293 	90 	108 	109 
005337 	293 	90 	108 	109 
005338 	293 	90 	108 	109 
005339 	293 	90 	108 	109 
005340 	293 	90 	108 	109 
005341 	304 	105 	90 	91 
005342 	294 	105 	90 	91 
005343 	294 	105 	90 	91 
005344 	294 	105 	90 	91 
005345 	294 	105 	90 	91 
005346 	294 	105 	90 	91 
005347 	293 	102 	108 	109 
005348 	293 	102 	108 	109 
005349 	293 	102 	108 	109 
005350 	293 	102 	108 	109 
005351 	293 	102 	108 	109 
005352 	293 	102 	108 	109 
005353 	293 	102 	108 	109 
005354 	293 	102 	108 	109 
005355 	294 	115 	90 	91 
005356 	294 	115 	90 	91 
005357 	294 	115 	90 	91 
