Identity  : 	id11191
Reference : 	cyV9KCZP634
Offset    : 	0
FV Conf   : 	13.671
ASD Conf  : 	5.126

FRAME 	X 	Y 	W 	H 
005463 	269 	31 	108 	108 
005464 	269 	31 	108 	108 
005465 	269 	43 	108 	108 
005466 	269 	31 	108 	108 
005467 	269 	31 	108 	108 
005468 	281 	43 	108 	108 
005469 	281 	43 	108 	108 
005470 	281 	31 	108 	108 
005471 	281 	31 	108 	108 
005472 	281 	43 	108 	108 
005473 	294 	55 	90 	91 
005474 	281 	31 	108 	108 
005475 	281 	31 	108 	108 
005476 	281 	31 	108 	108 
005477 	281 	31 	108 	108 
005478 	281 	31 	108 	108 
005479 	281 	31 	108 	108 
005480 	281 	43 	108 	108 
005481 	281 	43 	108 	108 
005482 	281 	43 	108 	108 
005483 	281 	31 	108 	108 
005484 	281 	31 	108 	108 
005485 	281 	31 	108 	108 
005486 	294 	45 	90 	91 
005487 	294 	45 	90 	91 
005488 	293 	43 	108 	108 
005489 	293 	43 	108 	108 
005490 	293 	43 	108 	108 
005491 	293 	43 	108 	108 
005492 	293 	43 	108 	108 
005493 	304 	55 	90 	91 
005494 	304 	55 	90 	91 
005495 	304 	55 	90 	91 
005496 	305 	54 	108 	109 
005497 	305 	54 	108 	109 
005498 	305 	54 	108 	109 
005499 	305 	54 	108 	109 
005500 	305 	54 	108 	109 
005501 	305 	54 	108 	109 
005502 	314 	65 	90 	91 
005503 	304 	65 	90 	91 
005504 	304 	65 	90 	91 
005505 	304 	65 	90 	91 
005506 	304 	75 	90 	91 
005507 	304 	75 	90 	91 
005508 	304 	75 	90 	91 
005509 	305 	66 	108 	109 
005510 	305 	66 	108 	109 
005511 	305 	66 	108 	109 
005512 	305 	66 	108 	109 
005513 	317 	66 	108 	109 
005514 	317 	66 	108 	109 
005515 	317 	66 	108 	109 
005516 	317 	66 	108 	109 
005517 	317 	66 	108 	109 
005518 	317 	66 	108 	109 
005519 	305 	66 	108 	109 
005520 	305 	66 	108 	109 
005521 	305 	66 	108 	109 
005522 	305 	66 	108 	109 
005523 	305 	66 	108 	109 
005524 	305 	66 	108 	109 
005525 	305 	66 	108 	109 
005526 	305 	66 	108 	109 
005527 	305 	66 	108 	109 
005528 	317 	66 	108 	109 
005529 	317 	66 	108 	109 
005530 	317 	66 	108 	109 
005531 	317 	66 	108 	109 
005532 	317 	66 	108 	109 
005533 	317 	66 	108 	109 
005534 	317 	66 	108 	109 
005535 	317 	66 	108 	109 
005536 	317 	66 	108 	109 
005537 	317 	66 	108 	109 
005538 	323 	75 	91 	91 
005539 	317 	66 	108 	109 
005540 	317 	66 	108 	109 
005541 	317 	66 	108 	109 
005542 	317 	66 	108 	109 
005543 	317 	66 	108 	109 
005544 	317 	66 	108 	109 
005545 	333 	75 	91 	91 
005546 	333 	75 	91 	91 
005547 	333 	75 	91 	91 
005548 	333 	75 	91 	91 
005549 	333 	75 	91 	91 
005550 	317 	66 	108 	109 
005551 	317 	66 	108 	109 
005552 	317 	66 	108 	109 
005553 	317 	66 	108 	109 
005554 	317 	66 	108 	109 
005555 	317 	66 	108 	109 
005556 	323 	75 	91 	91 
005557 	323 	75 	91 	91 
005558 	323 	75 	91 	91 
005559 	323 	75 	91 	91 
005560 	323 	75 	91 	91 
005561 	323 	75 	91 	91 
005562 	323 	75 	91 	91 
005563 	323 	75 	91 	91 
005564 	323 	75 	91 	91 
005565 	323 	75 	91 	91 
005566 	323 	75 	91 	91 
005567 	323 	75 	91 	91 
005568 	323 	75 	91 	91 
005569 	323 	75 	91 	91 
005570 	323 	75 	91 	91 
005571 	323 	75 	91 	91 
005572 	323 	75 	91 	91 
005573 	317 	66 	108 	109 
005574 	323 	75 	91 	91 
005575 	323 	75 	91 	91 
005576 	323 	75 	91 	91 
005577 	323 	75 	91 	91 
005578 	323 	75 	91 	91 
005579 	323 	75 	91 	91 
005580 	323 	75 	91 	91 
005581 	317 	66 	108 	109 
005582 	317 	66 	108 	109 
005583 	323 	75 	91 	91 
005584 	323 	75 	91 	91 
005585 	323 	75 	91 	91 
005586 	314 	75 	90 	91 
005587 	314 	75 	90 	91 
005588 	314 	75 	90 	91 
005589 	323 	75 	91 	91 
005590 	323 	75 	91 	91 
005591 	317 	66 	108 	109 
005592 	317 	66 	108 	109 
005593 	333 	65 	91 	91 
005594 	329 	54 	108 	109 
005595 	329 	54 	108 	109 
005596 	329 	54 	108 	109 
005597 	343 	65 	91 	91 
005598 	343 	65 	91 	91 
005599 	343 	75 	91 	91 
005600 	343 	75 	91 	91 
005601 	343 	75 	91 	91 
005602 	343 	75 	91 	91 
005603 	329 	66 	108 	109 
005604 	329 	54 	108 	109 
005605 	333 	55 	91 	91 
005606 	317 	43 	108 	108 
005607 	317 	43 	108 	108 
005608 	320 	44 	100 	100 
005609 	323 	45 	91 	91 
005610 	318 	45 	90 	91 
005611 	314 	45 	90 	91 
005612 	314 	45 	90 	91 
005613 	314 	55 	90 	91 
005614 	304 	55 	90 	91 
005615 	304 	55 	90 	91 
005616 	304 	55 	90 	91 
