Identity  : 	id11194
Reference : 	RKdfSqy4NOs
Offset    : 	0
FV Conf   : 	18.016
ASD Conf  : 	9.077

FRAME 	X 	Y 	W 	H 
006905 	174 	85 	91 	91 
006906 	173 	78 	109 	109 
006907 	174 	85 	91 	91 
006908 	174 	85 	91 	91 
006909 	174 	85 	91 	91 
006910 	161 	78 	109 	109 
006911 	161 	78 	109 	109 
006912 	164 	85 	91 	91 
006913 	150 	78 	108 	109 
006914 	150 	78 	108 	109 
006915 	150 	78 	108 	109 
006916 	150 	78 	108 	109 
006917 	164 	95 	91 	91 
006918 	161 	78 	109 	109 
006919 	161 	78 	109 	109 
006920 	161 	78 	109 	109 
006921 	161 	78 	109 	109 
006922 	161 	78 	109 	109 
006923 	161 	78 	109 	109 
006924 	161 	78 	109 	109 
006925 	174 	85 	91 	91 
006926 	174 	85 	91 	91 
006927 	173 	78 	109 	109 
006928 	173 	78 	109 	109 
006929 	174 	85 	91 	91 
006930 	174 	85 	91 	91 
006931 	174 	85 	91 	91 
006932 	161 	66 	109 	109 
006933 	161 	66 	109 	109 
006934 	161 	66 	109 	109 
006935 	161 	66 	109 	109 
006936 	161 	66 	109 	109 
006937 	173 	78 	109 	109 
006938 	173 	78 	109 	109 
006939 	173 	78 	109 	109 
006940 	184 	85 	91 	91 
006941 	185 	78 	109 	109 
006942 	185 	78 	109 	109 
006943 	185 	78 	109 	109 
006944 	185 	78 	109 	109 
006945 	194 	85 	91 	91 
006946 	194 	85 	91 	91 
006947 	194 	85 	91 	91 
006948 	185 	78 	109 	109 
006949 	184 	85 	91 	91 
006950 	173 	78 	109 	109 
006951 	173 	78 	109 	109 
006952 	161 	66 	109 	109 
006953 	161 	66 	109 	109 
006954 	161 	66 	109 	109 
006955 	161 	66 	109 	109 
006956 	161 	66 	109 	109 
006957 	161 	66 	109 	109 
006958 	161 	66 	109 	109 
006959 	161 	66 	109 	109 
006960 	161 	66 	109 	109 
006961 	161 	66 	109 	109 
006962 	161 	66 	109 	109 
006963 	164 	85 	91 	91 
006964 	164 	85 	91 	91 
006965 	164 	85 	91 	91 
006966 	164 	85 	91 	91 
006967 	164 	85 	91 	91 
006968 	164 	85 	91 	91 
006969 	161 	78 	109 	109 
006970 	161 	78 	109 	109 
006971 	174 	85 	91 	91 
006972 	174 	75 	91 	91 
006973 	184 	75 	91 	91 
006974 	173 	66 	109 	109 
006975 	173 	66 	109 	109 
006976 	173 	66 	109 	109 
006977 	184 	75 	91 	91 
006978 	173 	66 	109 	109 
006979 	173 	66 	109 	109 
006980 	161 	66 	109 	109 
006981 	161 	66 	109 	109 
006982 	161 	66 	109 	109 
006983 	150 	66 	108 	109 
006984 	150 	66 	108 	109 
006985 	150 	66 	108 	109 
006986 	150 	66 	108 	109 
006987 	150 	66 	108 	109 
006988 	150 	66 	108 	109 
006989 	150 	66 	108 	109 
006990 	161 	66 	109 	109 
006991 	161 	66 	109 	109 
006992 	161 	66 	109 	109 
006993 	161 	66 	109 	109 
006994 	164 	85 	91 	91 
006995 	161 	66 	109 	109 
006996 	164 	75 	91 	91 
006997 	164 	75 	91 	91 
006998 	164 	75 	91 	91 
006999 	164 	75 	91 	91 
007000 	164 	75 	91 	91 
007001 	164 	75 	91 	91 
007002 	164 	75 	91 	91 
007003 	164 	75 	91 	91 
007004 	161 	66 	109 	109 
007005 	164 	75 	91 	91 
007006 	161 	66 	109 	109 
007007 	161 	66 	109 	109 
007008 	174 	75 	91 	91 
007009 	174 	75 	91 	91 
007010 	174 	75 	91 	91 
007011 	174 	75 	91 	91 
007012 	161 	66 	109 	109 
007013 	161 	66 	109 	109 
007014 	161 	66 	109 	109 
007015 	161 	66 	109 	109 
007016 	161 	66 	109 	109 
007017 	161 	66 	109 	109 
007018 	161 	66 	109 	109 
007019 	161 	66 	109 	109 
007020 	161 	66 	109 	109 
007021 	161 	66 	109 	109 
007022 	161 	66 	109 	109 
007023 	161 	66 	109 	109 
007024 	161 	66 	109 	109 
007025 	161 	66 	109 	109 
007026 	161 	66 	109 	109 
007027 	161 	66 	109 	109 
007028 	161 	66 	109 	109 
007029 	161 	66 	109 	109 
007030 	161 	66 	109 	109 
007031 	161 	66 	109 	109 
007032 	161 	66 	109 	109 
007033 	161 	66 	109 	109 
