Identity  : 	id11211
Reference : 	6mnL46vX6NY
Offset    : 	-4
FV Conf   : 	15.879
ASD Conf  : 	8.091

FRAME 	X 	Y 	W 	H 
001684 	233 	90 	109 	109 
001685 	233 	90 	109 	109 
001686 	233 	90 	109 	109 
001687 	233 	90 	109 	109 
001688 	233 	90 	109 	109 
001689 	233 	90 	109 	109 
001690 	233 	90 	109 	109 
001691 	233 	90 	109 	109 
001692 	233 	90 	109 	109 
001693 	233 	90 	109 	109 
001694 	233 	90 	109 	109 
001695 	233 	90 	109 	109 
001696 	208 	66 	130 	130 
001697 	208 	66 	130 	130 
001698 	221 	90 	109 	109 
001699 	221 	90 	109 	109 
001700 	221 	90 	109 	109 
001701 	208 	66 	130 	130 
001702 	208 	66 	130 	130 
001703 	221 	90 	109 	109 
001704 	208 	66 	130 	130 
001705 	221 	90 	109 	109 
001706 	221 	90 	109 	109 
001707 	221 	90 	109 	109 
001708 	221 	90 	109 	109 
001709 	221 	90 	109 	109 
001710 	221 	90 	109 	109 
001711 	221 	90 	109 	109 
001712 	221 	90 	109 	109 
001713 	221 	90 	109 	109 
001714 	221 	90 	109 	109 
001715 	221 	90 	109 	109 
001716 	221 	90 	109 	109 
001717 	208 	80 	130 	130 
001718 	208 	80 	130 	130 
001719 	208 	80 	130 	130 
001720 	208 	80 	130 	130 
001721 	208 	80 	130 	130 
001722 	208 	80 	130 	130 
001723 	208 	80 	130 	130 
001724 	208 	80 	130 	130 
001725 	208 	80 	130 	130 
001726 	208 	80 	130 	130 
001727 	208 	80 	130 	130 
001728 	208 	80 	130 	130 
001729 	208 	80 	130 	130 
001730 	208 	80 	130 	130 
001731 	208 	80 	130 	130 
001732 	208 	80 	130 	130 
001733 	208 	80 	130 	130 
001734 	208 	80 	130 	130 
001735 	208 	80 	130 	130 
001736 	208 	80 	130 	130 
001737 	208 	80 	130 	130 
001738 	208 	80 	130 	130 
001739 	208 	80 	130 	130 
001740 	208 	80 	130 	130 
001741 	208 	80 	130 	130 
001742 	208 	80 	130 	130 
001743 	208 	80 	130 	130 
001744 	208 	80 	130 	130 
001745 	208 	80 	130 	130 
001746 	208 	80 	130 	130 
001747 	208 	80 	130 	130 
001748 	208 	80 	130 	130 
001749 	208 	80 	130 	130 
001750 	208 	80 	130 	130 
001751 	208 	80 	130 	130 
001752 	208 	80 	130 	130 
001753 	208 	80 	130 	130 
001754 	208 	80 	130 	130 
001755 	208 	80 	130 	130 
001756 	208 	80 	130 	130 
001757 	208 	80 	130 	130 
001758 	208 	80 	130 	130 
001759 	208 	80 	130 	130 
001760 	208 	80 	130 	130 
001761 	221 	90 	109 	109 
001762 	221 	90 	109 	109 
001763 	221 	90 	109 	109 
001764 	221 	90 	109 	109 
001765 	221 	90 	109 	109 
001766 	221 	90 	109 	109 
001767 	221 	90 	109 	109 
001768 	221 	90 	109 	109 
001769 	221 	90 	109 	109 
001770 	221 	90 	109 	109 
001771 	221 	90 	109 	109 
001772 	221 	90 	109 	109 
001773 	221 	90 	109 	109 
001774 	221 	90 	109 	109 
001775 	208 	80 	130 	130 
001776 	208 	80 	130 	130 
001777 	208 	80 	130 	130 
001778 	208 	80 	130 	130 
001779 	208 	80 	130 	130 
001780 	208 	80 	130 	130 
001781 	221 	90 	109 	109 
001782 	221 	90 	109 	109 
001783 	208 	80 	130 	130 
001784 	221 	90 	109 	109 
001785 	221 	90 	109 	109 
001786 	208 	66 	130 	130 
001787 	208 	66 	130 	130 
001788 	208 	66 	130 	130 
001789 	208 	66 	130 	130 
001790 	208 	66 	130 	130 
001791 	208 	66 	130 	130 
001792 	208 	66 	130 	130 
001793 	223 	66 	130 	130 
001794 	223 	66 	130 	130 
001795 	223 	66 	130 	130 
001796 	223 	66 	130 	130 
001797 	223 	66 	130 	130 
001798 	223 	66 	130 	130 
001799 	223 	66 	130 	130 
001800 	223 	66 	130 	130 
001801 	223 	66 	130 	130 
001802 	223 	66 	130 	130 
001803 	223 	66 	130 	130 
001804 	223 	66 	130 	130 
001805 	223 	66 	130 	130 
001806 	223 	66 	130 	130 
001807 	223 	66 	130 	130 
001808 	223 	66 	130 	130 
001809 	223 	66 	130 	130 
001810 	223 	66 	130 	130 
001811 	223 	66 	130 	130 
001812 	223 	66 	130 	130 
001813 	223 	66 	130 	130 
001814 	223 	66 	130 	130 
001815 	223 	66 	130 	130 
001816 	223 	66 	130 	130 
