Identity  : 	id11211
Reference : 	F61EC40dTxE
Offset    : 	4
FV Conf   : 	15.215
ASD Conf  : 	7.319

FRAME 	X 	Y 	W 	H 
001032 	304 	65 	90 	91 
001033 	304 	65 	90 	91 
001034 	304 	65 	90 	91 
001035 	304 	65 	90 	91 
001036 	294 	65 	90 	91 
001037 	294 	65 	90 	91 
001038 	294 	65 	90 	91 
001039 	294 	65 	90 	91 
001040 	294 	65 	90 	91 
001041 	294 	65 	90 	91 
001042 	284 	65 	90 	91 
001043 	284 	65 	90 	91 
001044 	284 	65 	90 	91 
001045 	284 	65 	90 	91 
001046 	284 	65 	90 	91 
001047 	284 	65 	90 	91 
001048 	284 	65 	90 	91 
001049 	284 	65 	90 	91 
001050 	284 	65 	90 	91 
001051 	284 	65 	90 	91 
001052 	284 	65 	90 	91 
001053 	284 	65 	90 	91 
001054 	284 	65 	90 	91 
001055 	284 	65 	90 	91 
001056 	284 	65 	90 	91 
001057 	284 	65 	90 	91 
001058 	284 	65 	90 	91 
001059 	284 	55 	90 	91 
001060 	284 	55 	90 	91 
001061 	284 	55 	90 	91 
001062 	284 	55 	90 	91 
001063 	284 	55 	90 	91 
001064 	284 	55 	90 	91 
001065 	284 	55 	90 	91 
001066 	284 	55 	90 	91 
001067 	284 	55 	90 	91 
001068 	284 	55 	90 	91 
001069 	284 	55 	90 	91 
001070 	284 	55 	90 	91 
001071 	284 	55 	90 	91 
001072 	284 	55 	90 	91 
001073 	284 	55 	90 	91 
001074 	284 	55 	90 	91 
001075 	284 	55 	90 	91 
001076 	284 	55 	90 	91 
001077 	284 	55 	90 	91 
001078 	284 	55 	90 	91 
001079 	284 	55 	90 	91 
001080 	284 	55 	90 	91 
001081 	284 	55 	90 	91 
001082 	284 	55 	90 	91 
001083 	284 	55 	90 	91 
001084 	284 	55 	90 	91 
001085 	284 	55 	90 	91 
001086 	284 	55 	90 	91 
001087 	284 	55 	90 	91 
001088 	284 	55 	90 	91 
001089 	284 	55 	90 	91 
001090 	284 	55 	90 	91 
001091 	284 	55 	90 	91 
001092 	294 	55 	90 	91 
001093 	294 	55 	90 	91 
001094 	294 	55 	90 	91 
001095 	294 	55 	90 	91 
001096 	294 	55 	90 	91 
001097 	294 	55 	90 	91 
001098 	294 	55 	90 	91 
001099 	294 	55 	90 	91 
001100 	294 	55 	90 	91 
001101 	294 	55 	90 	91 
001102 	294 	55 	90 	91 
001103 	294 	55 	90 	91 
001104 	294 	65 	90 	91 
001105 	294 	65 	90 	91 
001106 	294 	65 	90 	91 
001107 	294 	65 	90 	91 
001108 	294 	65 	90 	91 
001109 	294 	65 	90 	91 
001110 	294 	65 	90 	91 
001111 	294 	65 	90 	91 
001112 	294 	65 	90 	91 
001113 	294 	65 	90 	91 
001114 	294 	65 	90 	91 
001115 	294 	65 	90 	91 
001116 	293 	54 	108 	109 
001117 	294 	65 	90 	91 
001118 	294 	65 	90 	91 
001119 	294 	65 	90 	91 
001120 	294 	65 	90 	91 
001121 	294 	65 	90 	91 
001122 	294 	65 	90 	91 
001123 	294 	65 	90 	91 
001124 	294 	65 	90 	91 
001125 	294 	65 	90 	91 
001126 	294 	65 	90 	91 
001127 	294 	65 	90 	91 
001128 	294 	65 	90 	91 
001129 	294 	65 	90 	91 
001130 	294 	65 	90 	91 
001131 	294 	65 	90 	91 
001132 	294 	65 	90 	91 
001133 	294 	65 	90 	91 
001134 	294 	65 	90 	91 
001135 	294 	65 	90 	91 
001136 	294 	65 	90 	91 
001137 	294 	65 	90 	91 
001138 	294 	65 	90 	91 
