Identity  : 	id11211
Reference : 	O77p-6-AqP4
Offset    : 	0
FV Conf   : 	14.445
ASD Conf  : 	6.680

FRAME 	X 	Y 	W 	H 
021103 	284 	55 	90 	91 
021104 	284 	55 	90 	91 
021105 	284 	55 	90 	91 
021106 	284 	55 	90 	91 
021107 	294 	55 	90 	91 
021108 	294 	55 	90 	91 
021109 	294 	55 	90 	91 
021110 	294 	55 	90 	91 
021111 	294 	55 	90 	91 
021112 	294 	55 	90 	91 
021113 	294 	55 	90 	91 
021114 	294 	55 	90 	91 
021115 	294 	55 	90 	91 
021116 	294 	55 	90 	91 
021117 	294 	55 	90 	91 
021118 	294 	55 	90 	91 
021119 	294 	55 	90 	91 
021120 	294 	55 	90 	91 
021121 	294 	55 	90 	91 
021122 	294 	55 	90 	91 
021123 	294 	55 	90 	91 
021124 	294 	55 	90 	91 
021125 	294 	55 	90 	91 
021126 	294 	55 	90 	91 
021127 	294 	55 	90 	91 
021128 	294 	55 	90 	91 
021129 	294 	55 	90 	91 
021130 	294 	55 	90 	91 
021131 	294 	55 	90 	91 
021132 	294 	55 	90 	91 
021133 	294 	55 	90 	91 
021134 	294 	55 	90 	91 
021135 	294 	55 	90 	91 
021136 	294 	55 	90 	91 
021137 	294 	55 	90 	91 
021138 	294 	55 	90 	91 
021139 	294 	55 	90 	91 
021140 	294 	55 	90 	91 
021141 	294 	55 	90 	91 
021142 	294 	55 	90 	91 
021143 	294 	55 	90 	91 
021144 	294 	55 	90 	91 
021145 	294 	55 	90 	91 
021146 	294 	55 	90 	91 
021147 	294 	55 	90 	91 
021148 	294 	55 	90 	91 
021149 	294 	55 	90 	91 
021150 	294 	55 	90 	91 
021151 	294 	55 	90 	91 
021152 	294 	55 	90 	91 
021153 	294 	55 	90 	91 
021154 	294 	55 	90 	91 
021155 	294 	55 	90 	91 
021156 	294 	55 	90 	91 
021157 	294 	55 	90 	91 
021158 	294 	65 	90 	91 
021159 	294 	65 	90 	91 
021160 	294 	65 	90 	91 
021161 	294 	65 	90 	91 
021162 	294 	65 	90 	91 
021163 	294 	65 	90 	91 
021164 	294 	65 	90 	91 
021165 	294 	55 	90 	91 
021166 	294 	55 	90 	91 
021167 	284 	55 	90 	91 
021168 	284 	55 	90 	91 
021169 	284 	55 	90 	91 
021170 	284 	55 	90 	91 
021171 	284 	55 	90 	91 
021172 	294 	55 	90 	91 
021173 	294 	55 	90 	91 
021174 	294 	55 	90 	91 
021175 	294 	55 	90 	91 
021176 	294 	55 	90 	91 
021177 	294 	55 	90 	91 
021178 	294 	55 	90 	91 
021179 	294 	55 	90 	91 
021180 	294 	55 	90 	91 
021181 	294 	55 	90 	91 
021182 	294 	55 	90 	91 
021183 	294 	55 	90 	91 
021184 	293 	43 	108 	108 
021185 	304 	55 	90 	91 
021186 	304 	55 	90 	91 
021187 	304 	55 	90 	91 
021188 	304 	55 	90 	91 
021189 	304 	55 	90 	91 
021190 	304 	55 	90 	91 
021191 	304 	55 	90 	91 
021192 	304 	55 	90 	91 
021193 	304 	55 	90 	91 
021194 	304 	55 	90 	91 
021195 	304 	55 	90 	91 
021196 	304 	55 	90 	91 
021197 	294 	55 	90 	91 
021198 	294 	55 	90 	91 
021199 	294 	55 	90 	91 
021200 	294 	55 	90 	91 
021201 	294 	55 	90 	91 
021202 	294 	55 	90 	91 
021203 	294 	55 	90 	91 
021204 	294 	55 	90 	91 
021205 	294 	55 	90 	91 
021206 	294 	55 	90 	91 
021207 	294 	55 	90 	91 
021208 	294 	55 	90 	91 
021209 	294 	55 	90 	91 
021210 	294 	65 	90 	91 
021211 	294 	65 	90 	91 
021212 	294 	65 	90 	91 
021213 	294 	65 	90 	91 
021214 	294 	55 	90 	91 
021215 	294 	55 	90 	91 
021216 	294 	55 	90 	91 
021217 	294 	55 	90 	91 
021218 	294 	55 	90 	91 
021219 	284 	55 	90 	91 
