Identity  : 	id11211
Reference : 	rQlTPXdxjCY
Offset    : 	1
FV Conf   : 	13.218
ASD Conf  : 	5.646

FRAME 	X 	Y 	W 	H 
011630 	498 	55 	53 	53 
011631 	498 	55 	53 	53 
011632 	498 	55 	53 	53 
011633 	498 	55 	53 	53 
011634 	494 	52 	63 	63 
011635 	498 	55 	53 	53 
011636 	498 	55 	53 	53 
011637 	498 	55 	53 	53 
011638 	498 	55 	53 	53 
011639 	487 	52 	63 	63 
011640 	487 	52 	63 	63 
011641 	487 	52 	63 	63 
011642 	486 	55 	53 	53 
011643 	486 	55 	53 	53 
011644 	486 	60 	53 	53 
011645 	480 	60 	53 	53 
011646 	480 	60 	53 	53 
011647 	480 	60 	53 	53 
011648 	480 	60 	53 	53 
011649 	480 	60 	53 	53 
011650 	480 	60 	53 	53 
011651 	473 	59 	63 	63 
011652 	480 	60 	53 	53 
011653 	480 	60 	53 	53 
011654 	480 	60 	53 	53 
011655 	480 	66 	53 	53 
011656 	480 	60 	53 	53 
011657 	480 	60 	53 	53 
011658 	473 	59 	63 	63 
011659 	480 	60 	53 	53 
011660 	480 	52 	63 	63 
011661 	480 	52 	63 	63 
011662 	480 	52 	63 	63 
011663 	480 	52 	63 	63 
011664 	480 	52 	63 	63 
011665 	480 	52 	63 	63 
011666 	480 	52 	63 	63 
011667 	480 	52 	63 	63 
011668 	480 	52 	63 	63 
011669 	480 	52 	63 	63 
011670 	480 	52 	63 	63 
011671 	480 	52 	63 	63 
011672 	480 	52 	63 	63 
011673 	480 	52 	63 	63 
011674 	480 	52 	63 	63 
011675 	486 	60 	53 	53 
011676 	480 	52 	63 	63 
011677 	480 	52 	63 	63 
011678 	486 	60 	53 	53 
011679 	486 	60 	53 	53 
011680 	486 	60 	53 	53 
011681 	486 	55 	53 	53 
011682 	486 	60 	53 	53 
011683 	486 	60 	53 	53 
011684 	486 	60 	53 	53 
011685 	486 	55 	53 	53 
011686 	486 	60 	53 	53 
011687 	486 	60 	53 	53 
011688 	486 	60 	53 	53 
011689 	486 	60 	53 	53 
011690 	486 	60 	53 	53 
011691 	486 	60 	53 	53 
011692 	486 	60 	53 	53 
011693 	486 	60 	53 	53 
011694 	486 	60 	53 	53 
011695 	486 	60 	53 	53 
011696 	486 	60 	53 	53 
011697 	486 	60 	53 	53 
011698 	486 	60 	53 	53 
011699 	486 	55 	53 	53 
011700 	486 	55 	53 	53 
011701 	486 	55 	53 	53 
011702 	486 	55 	53 	53 
011703 	486 	55 	53 	53 
011704 	486 	55 	53 	53 
011705 	486 	55 	53 	53 
011706 	486 	55 	53 	53 
011707 	486 	55 	53 	53 
011708 	486 	55 	53 	53 
011709 	480 	52 	63 	63 
011710 	486 	60 	53 	53 
011711 	486 	60 	53 	53 
011712 	486 	60 	53 	53 
011713 	486 	60 	53 	53 
011714 	486 	60 	53 	53 
011715 	486 	60 	53 	53 
011716 	486 	60 	53 	53 
011717 	486 	60 	53 	53 
011718 	486 	60 	53 	53 
011719 	486 	60 	53 	53 
011720 	486 	60 	53 	53 
011721 	486 	60 	53 	53 
011722 	486 	60 	53 	53 
011723 	486 	60 	53 	53 
011724 	486 	60 	53 	53 
011725 	487 	52 	63 	63 
011726 	487 	52 	63 	63 
011727 	487 	52 	63 	63 
011728 	492 	55 	53 	53 
011729 	487 	52 	63 	63 
011730 	487 	52 	63 	63 
011731 	487 	52 	63 	63 
011732 	492 	55 	53 	53 
011733 	492 	55 	53 	53 
011734 	492 	55 	53 	53 
011735 	492 	55 	53 	53 
011736 	492 	55 	53 	53 
011737 	487 	52 	63 	63 
011738 	492 	55 	53 	53 
011739 	492 	55 	53 	53 
011740 	487 	52 	63 	63 
011741 	487 	52 	63 	63 
