Identity  : 	id11211
Reference : 	t9mtPhZEJoQ
Offset    : 	-1
FV Conf   : 	15.962
ASD Conf  : 	5.597

FRAME 	X 	Y 	W 	H 
007155 	337 	80 	130 	130 
007156 	323 	80 	130 	130 
007157 	323 	80 	130 	130 
007158 	323 	80 	130 	130 
007159 	323 	80 	130 	130 
007160 	323 	80 	130 	130 
007161 	323 	80 	130 	130 
007162 	323 	80 	130 	130 
007163 	323 	80 	130 	130 
007164 	323 	80 	130 	130 
007165 	323 	80 	130 	130 
007166 	323 	80 	130 	130 
007167 	323 	80 	130 	130 
007168 	323 	80 	130 	130 
007169 	323 	80 	130 	130 
007170 	323 	80 	130 	130 
007171 	323 	94 	130 	130 
007172 	319 	79 	156 	156 
007173 	323 	80 	130 	130 
007174 	323 	80 	130 	130 
007175 	323 	80 	130 	130 
007176 	323 	80 	130 	130 
007177 	323 	80 	130 	130 
007178 	319 	79 	156 	156 
007179 	337 	80 	130 	130 
007180 	337 	80 	130 	130 
007181 	337 	80 	130 	130 
007182 	337 	80 	130 	130 
007183 	337 	80 	130 	130 
007184 	337 	80 	130 	130 
007185 	319 	79 	156 	156 
007186 	319 	79 	156 	156 
007187 	319 	79 	156 	156 
007188 	319 	79 	156 	156 
007189 	319 	79 	156 	156 
007190 	319 	79 	156 	156 
007191 	319 	79 	156 	156 
007192 	319 	79 	156 	156 
007193 	323 	80 	130 	130 
007194 	323 	80 	130 	130 
007195 	319 	79 	156 	156 
007196 	319 	79 	156 	156 
007197 	319 	79 	156 	156 
007198 	323 	80 	130 	130 
007199 	323 	80 	130 	130 
007200 	323 	80 	130 	130 
007201 	323 	80 	130 	130 
007202 	323 	80 	130 	130 
007203 	319 	79 	156 	156 
007204 	319 	79 	156 	156 
007205 	319 	79 	156 	156 
007206 	319 	79 	156 	156 
007207 	319 	79 	156 	156 
007208 	319 	79 	156 	156 
007209 	319 	79 	156 	156 
007210 	319 	79 	156 	156 
007211 	319 	79 	156 	156 
007212 	319 	79 	156 	156 
007213 	319 	79 	156 	156 
007214 	319 	79 	156 	156 
007215 	323 	80 	130 	130 
007216 	323 	80 	130 	130 
007217 	323 	80 	130 	130 
007218 	323 	80 	130 	130 
007219 	323 	80 	130 	130 
007220 	323 	80 	130 	130 
007221 	323 	80 	130 	130 
007222 	323 	80 	130 	130 
007223 	323 	80 	130 	130 
007224 	323 	80 	130 	130 
007225 	323 	80 	130 	130 
007226 	323 	80 	130 	130 
007227 	323 	80 	130 	130 
007228 	323 	80 	130 	130 
007229 	323 	80 	130 	130 
007230 	323 	80 	130 	130 
007231 	323 	80 	130 	130 
007232 	323 	80 	130 	130 
007233 	319 	79 	156 	156 
007234 	319 	79 	156 	156 
007235 	319 	79 	156 	156 
007236 	319 	79 	156 	156 
007237 	337 	80 	130 	130 
007238 	337 	80 	130 	130 
007239 	337 	80 	130 	130 
007240 	337 	80 	130 	130 
007241 	337 	80 	130 	130 
007242 	337 	80 	130 	130 
007243 	337 	80 	130 	130 
007244 	337 	80 	130 	130 
007245 	319 	79 	156 	156 
007246 	319 	79 	156 	156 
007247 	319 	79 	156 	156 
007248 	319 	79 	156 	156 
007249 	319 	79 	156 	156 
007250 	323 	94 	130 	130 
007251 	323 	94 	130 	130 
007252 	323 	94 	130 	130 
007253 	323 	94 	130 	130 
007254 	323 	94 	130 	130 
007255 	323 	94 	130 	130 
007256 	323 	94 	130 	130 
007257 	323 	94 	130 	130 
007258 	323 	94 	130 	130 
007259 	323 	94 	130 	130 
007260 	323 	94 	130 	130 
007261 	323 	94 	130 	130 
007262 	323 	94 	130 	130 
007263 	323 	94 	130 	130 
007264 	323 	94 	130 	130 
007265 	323 	94 	130 	130 
007266 	323 	94 	130 	130 
007267 	323 	94 	130 	130 
007268 	323 	94 	130 	130 
007269 	323 	94 	130 	130 
007270 	323 	94 	130 	130 
007271 	323 	94 	130 	130 
007272 	323 	94 	130 	130 
007273 	323 	94 	130 	130 
007274 	323 	94 	130 	130 
007275 	323 	94 	130 	130 
007276 	323 	94 	130 	130 
007277 	323 	94 	130 	130 
007278 	323 	94 	130 	130 
007279 	323 	94 	130 	130 
007280 	323 	94 	130 	130 
007281 	323 	94 	130 	130 
007282 	323 	94 	130 	130 
007283 	323 	94 	130 	130 
007284 	323 	94 	130 	130 
007285 	323 	94 	130 	130 
007286 	323 	94 	130 	130 
007287 	323 	80 	130 	130 
007288 	323 	80 	130 	130 
007289 	323 	80 	130 	130 
007290 	323 	80 	130 	130 
007291 	319 	79 	156 	156 
007292 	319 	79 	156 	156 
007293 	319 	79 	156 	156 
007294 	319 	79 	156 	156 
007295 	319 	79 	156 	156 
007296 	319 	79 	156 	156 
007297 	319 	79 	156 	156 
007298 	319 	79 	156 	156 
007299 	337 	80 	130 	130 
007300 	337 	80 	130 	130 
007301 	337 	80 	130 	130 
007302 	337 	80 	130 	130 
007303 	337 	80 	130 	130 
007304 	337 	80 	130 	130 
007305 	337 	80 	130 	130 
007306 	337 	80 	130 	130 
007307 	337 	80 	130 	130 
007308 	337 	80 	130 	130 
007309 	319 	79 	156 	156 
007310 	319 	79 	156 	156 
007311 	319 	79 	156 	156 
007312 	319 	79 	156 	156 
007313 	319 	79 	156 	156 
007314 	323 	94 	130 	130 
007315 	323 	94 	130 	130 
007316 	323 	94 	130 	130 
007317 	323 	80 	130 	130 
007318 	323 	80 	130 	130 
007319 	323 	80 	130 	130 
007320 	323 	80 	130 	130 
007321 	323 	80 	130 	130 
007322 	323 	80 	130 	130 
007323 	323 	80 	130 	130 
