Identity  : 	id11211
Reference : 	wSJV1G7J6wQ
Offset    : 	1
FV Conf   : 	11.983
ASD Conf  : 	8.158

FRAME 	X 	Y 	W 	H 
014202 	233 	78 	109 	109 
014203 	233 	78 	109 	109 
014204 	233 	78 	109 	109 
014205 	233 	90 	109 	109 
014206 	221 	78 	109 	109 
014207 	221 	78 	109 	109 
014208 	221 	78 	109 	109 
014209 	221 	78 	109 	109 
014210 	221 	78 	109 	109 
014211 	221 	78 	109 	109 
014212 	233 	78 	109 	109 
014213 	233 	78 	109 	109 
014214 	233 	78 	109 	109 
014215 	233 	78 	109 	109 
014216 	254 	85 	90 	91 
014217 	245 	78 	109 	109 
014218 	245 	78 	109 	109 
014219 	245 	78 	109 	109 
014220 	264 	85 	90 	91 
014221 	257 	78 	109 	109 
014222 	257 	78 	109 	109 
014223 	257 	90 	109 	109 
014224 	257 	90 	109 	109 
014225 	274 	95 	90 	91 
014226 	274 	85 	90 	91 
014227 	274 	85 	90 	91 
014228 	274 	85 	90 	91 
014229 	274 	95 	90 	91 
014230 	274 	95 	90 	91 
014231 	274 	95 	90 	91 
014232 	274 	95 	90 	91 
014233 	274 	95 	90 	91 
014234 	274 	95 	90 	91 
014235 	274 	95 	90 	91 
014236 	257 	90 	109 	109 
014237 	257 	90 	109 	109 
014238 	274 	95 	90 	91 
014239 	257 	90 	109 	109 
014240 	257 	90 	109 	109 
014241 	257 	90 	109 	109 
014242 	274 	95 	90 	91 
014243 	257 	90 	109 	109 
014244 	257 	90 	109 	109 
014245 	257 	90 	109 	109 
014246 	257 	90 	109 	109 
014247 	257 	90 	109 	109 
014248 	257 	90 	109 	109 
014249 	257 	90 	109 	109 
014250 	257 	90 	109 	109 
014251 	257 	90 	109 	109 
014252 	257 	90 	109 	109 
014253 	257 	90 	109 	109 
014254 	257 	90 	109 	109 
014255 	257 	90 	109 	109 
014256 	257 	90 	109 	109 
014257 	257 	90 	109 	109 
014258 	257 	90 	109 	109 
014259 	264 	95 	90 	91 
014260 	264 	95 	90 	91 
014261 	264 	95 	90 	91 
014262 	264 	95 	90 	91 
014263 	264 	95 	90 	91 
014264 	264 	95 	90 	91 
014265 	264 	95 	90 	91 
014266 	264 	95 	90 	91 
014267 	264 	95 	90 	91 
014268 	264 	95 	90 	91 
014269 	264 	95 	90 	91 
014270 	264 	95 	90 	91 
014271 	257 	90 	109 	109 
014272 	264 	95 	90 	91 
014273 	264 	95 	90 	91 
014274 	264 	95 	90 	91 
014275 	264 	95 	90 	91 
014276 	245 	78 	109 	109 
014277 	254 	95 	90 	91 
014278 	254 	95 	90 	91 
014279 	254 	95 	90 	91 
014280 	233 	78 	109 	109 
014281 	233 	78 	109 	109 
014282 	233 	78 	109 	109 
014283 	233 	78 	109 	109 
014284 	233 	78 	109 	109 
014285 	233 	78 	109 	109 
014286 	254 	95 	90 	91 
014287 	254 	95 	90 	91 
014288 	254 	95 	90 	91 
014289 	245 	78 	109 	109 
014290 	264 	95 	90 	91 
014291 	264 	95 	90 	91 
014292 	274 	95 	90 	91 
014293 	274 	95 	90 	91 
014294 	274 	95 	90 	91 
014295 	269 	78 	108 	109 
014296 	274 	85 	90 	91 
014297 	274 	95 	90 	91 
014298 	274 	95 	90 	91 
014299 	257 	78 	109 	109 
014300 	264 	95 	90 	91 
014301 	264 	95 	90 	91 
014302 	254 	95 	90 	91 
