Identity  : 	id11250
Reference : 	41C5OqkOoJs
Offset    : 	-2
FV Conf   : 	14.749
ASD Conf  : 	6.054

FRAME 	X 	Y 	W 	H 
001542 	343 	75 	91 	91 
001543 	343 	75 	91 	91 
001544 	333 	65 	91 	91 
001545 	333 	65 	91 	91 
001546 	333 	65 	91 	91 
001547 	333 	65 	91 	91 
001548 	333 	65 	91 	91 
001549 	333 	65 	91 	91 
001550 	333 	65 	91 	91 
001551 	333 	65 	91 	91 
001552 	333 	65 	91 	91 
001553 	333 	65 	91 	91 
001554 	333 	65 	91 	91 
001555 	333 	65 	91 	91 
001556 	333 	65 	91 	91 
001557 	333 	65 	91 	91 
001558 	333 	65 	91 	91 
001559 	333 	55 	91 	91 
001560 	333 	55 	91 	91 
001561 	333 	55 	91 	91 
001562 	343 	55 	91 	91 
001563 	343 	55 	91 	91 
001564 	343 	55 	91 	91 
001565 	343 	55 	91 	91 
001566 	343 	55 	91 	91 
001567 	343 	55 	91 	91 
001568 	343 	55 	91 	91 
001569 	343 	65 	91 	91 
001570 	343 	65 	91 	91 
001571 	343 	65 	91 	91 
001572 	343 	65 	91 	91 
001573 	343 	65 	91 	91 
001574 	343 	65 	91 	91 
001575 	343 	55 	91 	91 
001576 	333 	55 	91 	91 
001577 	333 	55 	91 	91 
001578 	333 	55 	91 	91 
001579 	333 	55 	91 	91 
001580 	333 	55 	91 	91 
001581 	333 	55 	91 	91 
001582 	333 	55 	91 	91 
001583 	333 	65 	91 	91 
001584 	333 	65 	91 	91 
001585 	333 	65 	91 	91 
001586 	333 	65 	91 	91 
001587 	333 	65 	91 	91 
001588 	333 	65 	91 	91 
001589 	333 	65 	91 	91 
001590 	333 	65 	91 	91 
001591 	333 	55 	91 	91 
001592 	333 	55 	91 	91 
001593 	333 	55 	91 	91 
001594 	333 	55 	91 	91 
001595 	323 	65 	91 	91 
001596 	333 	65 	91 	91 
001597 	333 	65 	91 	91 
001598 	333 	65 	91 	91 
001599 	333 	65 	91 	91 
001600 	323 	75 	91 	91 
001601 	323 	75 	91 	91 
001602 	323 	75 	91 	91 
001603 	323 	75 	91 	91 
001604 	323 	75 	91 	91 
001605 	344 	87 	76 	76 
001606 	333 	75 	91 	91 
001607 	344 	87 	76 	76 
001608 	344 	87 	76 	76 
001609 	333 	75 	91 	91 
001610 	333 	75 	91 	91 
001611 	333 	75 	91 	91 
001612 	333 	75 	91 	91 
001613 	344 	87 	76 	76 
001614 	344 	87 	76 	76 
001615 	344 	87 	76 	76 
001616 	333 	75 	91 	91 
001617 	333 	75 	91 	91 
001618 	333 	75 	91 	91 
001619 	333 	75 	91 	91 
001620 	333 	75 	91 	91 
001621 	333 	75 	91 	91 
001622 	333 	75 	91 	91 
001623 	343 	75 	91 	91 
001624 	343 	75 	91 	91 
001625 	343 	65 	91 	91 
001626 	343 	65 	91 	91 
001627 	343 	65 	91 	91 
001628 	343 	65 	91 	91 
001629 	343 	55 	91 	91 
001630 	343 	55 	91 	91 
001631 	343 	55 	91 	91 
001632 	343 	55 	91 	91 
001633 	343 	55 	91 	91 
001634 	343 	55 	91 	91 
001635 	343 	55 	91 	91 
001636 	343 	55 	91 	91 
001637 	343 	55 	91 	91 
001638 	343 	55 	91 	91 
001639 	343 	55 	91 	91 
001640 	343 	55 	91 	91 
001641 	343 	55 	91 	91 
001642 	343 	55 	91 	91 
001643 	343 	55 	91 	91 
001644 	353 	55 	91 	91 
001645 	353 	55 	91 	91 
001646 	353 	55 	91 	91 
001647 	353 	55 	91 	91 
001648 	353 	55 	91 	91 
001649 	353 	55 	91 	91 
001650 	353 	65 	91 	91 
001651 	353 	65 	91 	91 
001652 	353 	65 	91 	91 
001653 	353 	65 	91 	91 
001654 	353 	65 	91 	91 
001655 	353 	65 	91 	91 
001656 	343 	65 	91 	91 
001657 	343 	65 	91 	91 
001658 	343 	65 	91 	91 
001659 	343 	65 	91 	91 
001660 	343 	65 	91 	91 
001661 	343 	65 	91 	91 
001662 	343 	65 	91 	91 
001663 	343 	65 	91 	91 
001664 	343 	65 	91 	91 
001665 	344 	79 	76 	76 
001666 	344 	79 	76 	76 
001667 	333 	65 	91 	91 
001668 	333 	65 	91 	91 
001669 	333 	65 	91 	91 
001670 	344 	79 	76 	76 
001671 	344 	79 	76 	76 
001672 	344 	79 	76 	76 
001673 	344 	79 	76 	76 
001674 	343 	75 	91 	91 
001675 	343 	65 	91 	91 
001676 	343 	65 	91 	91 
001677 	343 	65 	91 	91 
001678 	343 	65 	91 	91 
001679 	343 	65 	91 	91 
001680 	333 	55 	91 	91 
001681 	333 	55 	91 	91 
001682 	333 	55 	91 	91 
001683 	333 	55 	91 	91 
001684 	333 	55 	91 	91 
001685 	333 	55 	91 	91 
001686 	333 	55 	91 	91 
001687 	333 	55 	91 	91 
001688 	333 	55 	91 	91 
001689 	333 	55 	91 	91 
001690 	333 	65 	91 	91 
001691 	333 	65 	91 	91 
001692 	333 	65 	91 	91 
001693 	333 	65 	91 	91 
001694 	333 	65 	91 	91 
