Identity  : 	id11250
Reference : 	mBV0J4uJL8Q
Offset    : 	0
FV Conf   : 	20.468
ASD Conf  : 	7.287

FRAME 	X 	Y 	W 	H 
001714 	254 	95 	90 	91 
001715 	254 	95 	90 	91 
001716 	254 	95 	90 	91 
001717 	264 	95 	90 	91 
001718 	264 	95 	90 	91 
001719 	264 	95 	90 	91 
001720 	264 	95 	90 	91 
001721 	264 	95 	90 	91 
001722 	264 	95 	90 	91 
001723 	264 	95 	90 	91 
001724 	264 	95 	90 	91 
001725 	264 	95 	90 	91 
001726 	264 	95 	90 	91 
001727 	264 	95 	90 	91 
001728 	274 	95 	90 	91 
001729 	274 	95 	90 	91 
001730 	274 	105 	90 	91 
001731 	274 	105 	90 	91 
001732 	274 	105 	90 	91 
001733 	274 	105 	90 	91 
001734 	274 	105 	90 	91 
001735 	274 	105 	90 	91 
001736 	274 	105 	90 	91 
001737 	274 	95 	90 	91 
001738 	274 	95 	90 	91 
001739 	274 	95 	90 	91 
001740 	257 	90 	109 	109 
001741 	257 	78 	109 	109 
001742 	257 	78 	109 	109 
001743 	257 	78 	109 	109 
001744 	257 	78 	109 	109 
001745 	257 	78 	109 	109 
001746 	257 	78 	109 	109 
001747 	264 	95 	90 	91 
001748 	264 	95 	90 	91 
001749 	264 	95 	90 	91 
001750 	257 	90 	109 	109 
001751 	264 	105 	90 	91 
001752 	264 	105 	90 	91 
001753 	264 	105 	90 	91 
001754 	264 	105 	90 	91 
001755 	264 	105 	90 	91 
001756 	264 	105 	90 	91 
001757 	264 	105 	90 	91 
001758 	264 	105 	90 	91 
001759 	264 	105 	90 	91 
001760 	264 	105 	90 	91 
001761 	257 	90 	109 	109 
001762 	257 	90 	109 	109 
001763 	274 	95 	90 	91 
001764 	274 	95 	90 	91 
001765 	274 	85 	90 	91 
001766 	274 	85 	90 	91 
001767 	274 	85 	90 	91 
001768 	274 	85 	90 	91 
001769 	257 	78 	109 	109 
001770 	257 	78 	109 	109 
001771 	257 	78 	109 	109 
001772 	257 	78 	109 	109 
001773 	257 	78 	109 	109 
001774 	257 	78 	109 	109 
001775 	257 	78 	109 	109 
001776 	257 	78 	109 	109 
001777 	257 	78 	109 	109 
001778 	257 	78 	109 	109 
001779 	257 	78 	109 	109 
001780 	257 	78 	109 	109 
001781 	264 	95 	90 	91 
001782 	264 	95 	90 	91 
001783 	264 	95 	90 	91 
001784 	264 	95 	90 	91 
001785 	264 	85 	90 	91 
001786 	264 	85 	90 	91 
001787 	264 	85 	90 	91 
001788 	264 	85 	90 	91 
001789 	264 	85 	90 	91 
001790 	278 	96 	75 	75 
001791 	278 	96 	75 	75 
001792 	278 	96 	75 	75 
001793 	274 	95 	90 	91 
001794 	274 	95 	90 	91 
001795 	274 	85 	90 	91 
001796 	274 	85 	90 	91 
001797 	274 	85 	90 	91 
001798 	274 	85 	90 	91 
001799 	274 	85 	90 	91 
001800 	274 	85 	90 	91 
001801 	274 	85 	90 	91 
001802 	274 	85 	90 	91 
001803 	274 	95 	90 	91 
001804 	274 	95 	90 	91 
001805 	274 	95 	90 	91 
001806 	286 	87 	76 	76 
001807 	286 	87 	76 	76 
001808 	274 	95 	90 	91 
001809 	274 	95 	90 	91 
001810 	274 	95 	90 	91 
001811 	274 	95 	90 	91 
001812 	274 	95 	90 	91 
001813 	274 	95 	90 	91 
001814 	274 	95 	90 	91 
001815 	274 	95 	90 	91 
001816 	274 	95 	90 	91 
001817 	274 	95 	90 	91 
001818 	274 	95 	90 	91 
001819 	274 	95 	90 	91 
001820 	274 	95 	90 	91 
001821 	274 	95 	90 	91 
001822 	274 	95 	90 	91 
001823 	274 	95 	90 	91 
001824 	278 	96 	75 	75 
001825 	278 	96 	75 	75 
001826 	278 	104 	75 	76 
001827 	278 	104 	75 	76 
001828 	278 	104 	75 	76 
001829 	278 	104 	75 	76 
001830 	278 	104 	75 	76 
001831 	278 	96 	75 	75 
